Address,Address Tag,Token Balance,Percentage,Token
0x835678a611b28684005a5e2233695fb6cbbb0007,Binance Deposit Address,2028092.31,1.18%,BNB
0x4b16c5de96eb2117bbe5fd171e4d203624b014aa,Binance: SAFU Wallet,1364102.15,0.79%,BNB
0x489a8756c18c0b8b24ec2a2b9ff3d4d447f79bec,BNB Bridge Exploiter,1020094.76,0.59%,BNB
0xa7c0d36c4698981fab42a7d8c783674c6fe2592d,Binance Deposit Address,230754.09,0.13%,BNB
0x058a871358c1b01039a265635ea282c3f435a9ed,Binance US:Cold,216106.37,0.12%,BNB
0x0966602e47f6a3ca5692529f1d54ecd1d9b09175,-,195871.06,0.11%,BNB
0xee3b4876dd1691d21f663c3a4190a59526b6a714,-,116500.01,0.06%,BNB
0x11c993a1c69aa0fae44e392b4719295a2ef12db5,-,115004.72,0.06%,BNB
0x06eb481b81448d2bb248bf8b373a2ed4cd01f781,-,114997.66,0.06%,BNB
0x67492f474b06deab70bdd94cc7f66fef02ccd50c,-,110083.72,0.06%,BNB
0x86523c87c8ec98c7539e2c58cd813ee9d1a08d96,-,100234.7,0.05%,BNB
0x3136ed252d6ec340c7d2fb1285c15add1fd4e0fa,-,93295.93,0.05%,BNB
0x0ecc16d3fa38e1a59c10e44cda4e2e9d9941275a,Crypto.com,72518.47,0.04%,BNB
0xd183f2bbf8b28d9fec8367cb06fe72b88778c86b,-,57936.75,0.03%,BNB
0x178165a0261851e4c06624c323e78d0919a2b47c,-,55830.75,0.03%,BNB
0xfd6042df3d74ce9959922fec559d7995f3933c55,Phishing:7,48510.94,0.02%,BNB
0xbd7170971505828f17a48f0177f9203da7b57d14,-,42586.38,0.02%,BNB
0xcef8b76b76e22d40903590793accce3002908dc4,-,41999.61,0.02%,BNB
0x6a0b3611214d5001fa5efae91b7222a316c12b52,-,41428.44,0.02%,BNB
0xac2b6e125059746db1837a874d45b9d74d211caf,U.S. Government:FTX Alameda Seized Funds,40285.32,0.02%,BNB
0xf9570d56b233ca5ff0211ab20aad93b8b6370b3a,-,38515.96,0.02%,BNB
0x34368f092694cbce7bf88180db35198221437d14,-,38515,0.02%,BNB
0x1e7ffb649152ce1306314e531a98e91d76a861ae,-,37500.91,0.02%,BNB
0xf3315095db3f53af331a83cee931b1e3751cfc8f,-,36231.28,0.02%,BNB
0xb428523cdda53640a62e9f26c2d8613a9159b282,Crypto.com,28533.73,0.01%,BNB
0x4f2f8448f857994ce83ef14cf4ebb7df0bb14667,-,28472.73,0.01%,BNB
0xea886fdd981487161b8da40fe637fee15a84c664,-,26984.99,0.01%,BNB
0x2ffbadfe67579f59b31096d416964a5352185080,-,26498.33,0.01%,BNB
0x514bc8e22d055791995fcf137509be95dc20d48c,-,24819.34,0.01%,BNB
0x1c74c7cf21adfff49affd385c11a14dbbb6aa044,-,24149.99,0.01%,BNB
0x371b4aeabf297e7946abe3be84a6e27a8174e37d,-,23323.04,0.01%,BNB
0x5770815b0c2a09a43c9e5aecb7e2f3886075b605,SwissBorg,22894.77,0.01%,BNB
0x0b4c5d0eea0d3db80b1cb3e5c05ec9af4e513538,-,20004.9,0.01%,BNB
0x160f6ef9fcdde6ff3febc7a57edbfd476a8aab5b,-,20000.25,0.01%,BNB
0xb2c21bad28e65a48915c125ce3671ce1622b38d6,-,18510,0.01%,BNB
0x385ebb8adf56f1a912f11f233622ffda44829c11,-,18509.89,0.01%,BNB
0xd0850a232bdb374550f1f89d0a56b758ade966e9,-,17999.76,0.01%,BNB
0x0c501d43206b97fa4300f1b0962742b4f938f70e,-,17338.69,0.01%,BNB
0xe98f127778fa76d8d69738f8171cde24657ef632,-,16127.67,0.00%,BNB
0x3f08f17973ab4124c73200135e2b675ab2d263d9,-,15718.81,0.00%,BNB
0x0cd6388f6768a4edf88d0e42aa42c87a5a43ae4e,-,14548.51,0.00%,BNB
0xf983719ca77ded7e2cb7a6040b8b4c31db5cdcbf,-,14432.62,0.00%,BNB
0xa9fd6d6f28e25c8d13dcb5d1ac6bfd9889e86f3d,-,14430.43,0.00%,BNB
0x1a5c85d8a2ae5fa124b2577e0ff0093d1d2686f0,-,14156.66,0.00%,BNB
0x6f96042e6064ed5025b13a5b5b51702942cae537,-,14025.95,0.00%,BNB
0x47771b72c50ab637ba93eb2f166ab99a8a209cdd,Flow Traders,13500,0.00%,BNB
0xc4985393e37f5248cbad94733a1ebd938aaea7e8,-,13160.83,0.00%,BNB
0x7136f9d914c63fc2dda0612078c5f0b243408b0b,Binance Deposit Address,13150,0.00%,BNB
0xc9c9b93f742a95f35eb4c77107ffd2d72de2f687,-,12981.93,0.00%,BNB
0x3727cfcbd85390bb11b3ff421878123adb866be8,Bitbank,12590.45,0.00%,BNB
0x1fb430ba0a417db3954e91b231d885355f1a8c0b,-,12022.89,0.00%,BNB
0x350b73dd5b7c93a5f6ee735343b61b1d044a32ea,-,11456.98,0.00%,BNB
0x31f460806780f8ce2498fca548c50fa2c6754382,-,11288.09,0.00%,BNB
0x1157a2076b9bb22a85cc2c162f20fab3898f4101,FalconX:4101,10391.74,0.00%,BNB
0x7248a42eaf7a8888ed3f77da78b62c37f4b098de,Binance Deposit Address,10178.21,0.00%,BNB
0xa740580987c1e7771e81506ba6422e3f9e447f35,-,10057.37,0.00%,BNB
0x56850a9f62905ee5930150ffafbb98b6aae37bd4,-,10032.71,0.00%,BNB
0xd21566c2793923fc867eca4f330ea049ddf194a9,-,10000.09,0.00%,BNB
0xceae9a53693e74a1a344eeec0e1bad97090553d7,-,10000.09,0.00%,BNB
0x9e8aab110823c08329e976fb2e51d9dc20a460a4,-,10000.09,0.00%,BNB
0xc7c7b56bbe59fdc86d4205dd94c7ca993d000c35,-,10000.09,0.00%,BNB
0x376297684d2d893d7098e868dab8bb639d4444b1,-,10000.09,0.00%,BNB
0x85cd293e5da60181f0e3481c950612dca8bd20df,-,10000.09,0.00%,BNB
0xd0baf58136085c60c9631392b71e381358dbf2dd,-,10000.09,0.00%,BNB
0xc497e10c2f442f8fca171a45b8635fd46f22eadf,-,10000.09,0.00%,BNB
0x472996596db791e22eb607513fb63e8a9a049401,-,10000.09,0.00%,BNB
0x28c3c1415a6a8d5c91b19c8c476bc51da4ebef25,-,10000.09,0.00%,BNB
0x8b6a09dee8f9fd95c72035c8d6ed548faa91d36d,-,10000.09,0.00%,BNB
0x30871c6929817500fb5d46203bf63792fb9931cb,-,10000.09,0.00%,BNB
0x006e2d523ec4ec1ad261fbbcd192659f0b35b975,-,10000,0.00%,BNB
0x430b19f04aa885afee205feef5dbf60429f1a9c2,-,10000,0.00%,BNB
0x536d770b8c5e49fb3d4845afc2ad3aa752b01b62,-,9999,0.00%,BNB
0xf815ffa6c2ef93affb64bbc3f2d8b61f1b45d350,-,9997.99,0.00%,BNB
0x122b0b4e0f3adba869cfa8bb765565be9307b386,-,9871.98,0.00%,BNB
0x069ad4b0ada62ad6bf2688e6654827ab637530d5,-,9775.36,0.00%,BNB
0xe422a1c4ab88b9cbe4b917d011e35b538722f54a,-,9699.12,0.00%,BNB
0x74b43b25395685927f8e5a87bcc6cb02e6af6da6,-,9523.5,0.00%,BNB
0xaa5bc284e38d1eed890d6de8fdba10c30967ecd1,-,9314.07,0.00%,BNB
0x0e4158c85ff724526233c1aeb4ff6f0c46827fbe,Ceffu:Custody Hot Wallet,8838.06,0.00%,BNB
0x345ffd2d09a1633dcf4856ae0d6f63afaa748187,-,8599.99,0.00%,BNB
0x55b69477c9fd86d5b40a2adc2fc69b372d0cc5eb,-,8395,0.00%,BNB
0x682d748ad7156871ff01f1ab0f116ac17f8f340a,-,7934.5,0.00%,BNB
0x88db104745dae4297231476a62f6f8f9f7481e8d,-,7836.95,0.00%,BNB
0xcec75f3af8b3b0904ba1aeb1f98337cd5350e17f,-,7618.75,0.00%,BNB
0xe0c88ebf917ac4b661d08307dfd83c48e7b8aa2b,-,7501.57,0.00%,BNB
0xc20240109ad5da91e0efcd8009f9aeb6a41b930b,-,7436.43,0.00%,BNB
0xcb907be1d76b3e7672ea6742ccc5fcdbe9bb3530,-,7379.24,0.00%,BNB
