Address,Address Tag,Type,Token Balance,Percentage
0x058a871358c1b01039a265635ea282c3f435a9ed,Binance US:Cold,Eoa,"66,728,509.57",0.93%
0xd183f2bbf8b28d9fec8367cb06fe72b88778c86b,-,Eoa,"36,045,255.60",0.50%
0x56306851238d7aee9fac8cdd6877e92f83d5924c,-,Eoa,"30,000,000.08",0.42%
0x434742703055bd20f42142d9d70b0735a5eb1b14,-,Eoa,"28,430,000.00",0.40%
0x6a0b3611214d5001fa5efae91b7222a316c12b52,-,Eoa,"21,786,365.25",0.30%
0x56152e13828f78cdcc90a6b016df0aec0985e2f3,Bitkub,Eoa,"18,931,647.17",0.26%
0x1ab4973a48dc892cd9971ece8e01dcc7688f8f23,Bitget,Eoa,"17,301,393.35",0.24%
0xfa500178de024bf43cfa69b7e636a28ab68f2741,Stake.com,Eoa,"15,630,849.85",0.21%
0xd3a22590f8243f8e83ac230d1842c9af0404c4a1,Ceffu:Custody Cold Wallet,Eoa,"14,979,272.64",0.21%
0xd34f9d1b649c7cd5efc355c1cb6b1a481234616d,-,Eoa,"13,800,895.03",0.19%
0x53f78a071d04224b8e254e243fffc6d9f2f3fa23,KuCoin,Eoa,"13,605,011.31",0.19%
0x0966602e47f6a3ca5692529f1d54ecd1d9b09175,-,Eoa,"12,139,113.60",0.17%
0x0e4158c85ff724526233c1aeb4ff6f0c46827fbe,Ceffu:Custody Hot Wallet,Eoa,"11,763,300.38",0.16%
0x924c4b93a2ccee5f945d938c58f80e2767be9add,-,Eoa,"11,472,097.75",0.16%
0x1e5248c4642229df2eec626f5d9c4c7feec5e73f,-,Eoa,"10,054,629.88",0.14%
0x0bfb8b0156d67c381fb23f64fb52df3f22e78c50,-,Eoa,"8,606,069.81",0.12%
0x989536719a72cfd50348ccd5521256c7eb41a999,-,Eoa,"8,205,272.44",0.11%
0x4efab445c8f9eed89b39429b6b2bb04a1767251b,-,Eoa,"7,500,000.12",0.10%
0x563617b87d8bb3f2f14bb5a581f2e19f80b52008,-,Eoa,"7,112,463.55",0.10%
0xa88f86e5685fca7c5d6de0e4d944875b007137b5,BingX,Eoa,"7,069,931.90",0.09%
0x66316807258b0c2cfe51e4699943bf5244d69d7d,-,Eoa,"7,000,000.00",0.09%
0xefa417562cd30c2a571f6f27223657bba76d2110,Binance Deposit Address,Eoa,"6,228,706.05",0.08%
0x8e10039f8d9811786cef8cd58480c08cddc20e08,Binance Deposit Address,Eoa,"6,000,000.00",0.08%
0xc5d372f58670bd7a529943b1ca7e95d9510ae9ed,-,Eoa,"5,418,204.76",0.07%
0x03abeccf6abc0159385406d417262ccb8b607f4f,-,Eoa,"5,418,192.07",0.07%
0x10a6a97653b3d4e33ed02ba1b39631da9c07b657,-,Eoa,"5,418,186.41",0.07%
