Address,Address Tag,Type,Token Balance,Txhash_x,DateTime_x,Value_x,Transfer Type_x,Txhash_y,DateTime_y,Value_y,Transfer Type_y,Txhash,DateTime,Value,Transfer Type
0x058a871358c1b01039a265635ea282c3f435a9ed,Binance US:Cold,Eoa,"66,728,509.57",0xb68061ab05a7f1f44cf19fd72c297b205a0c0fd79c2bf918c4387599d2061109,2024-05-20 02:20:24,"$18,593,660.62",in,0xb68061ab05a7f1f44cf19fd72c297b205a0c0fd79c2bf918c4387599d2061109,2024-05-20 02:20:24,"$18,593,660.62",in,0xb68061ab05a7f1f44cf19fd72c297b205a0c0fd79c2bf918c4387599d2061109,2024-05-20 02:20:24,"$18,593,660.62",in
0xd183f2bbf8b28d9fec8367cb06fe72b88778c86b,-,Eoa,"36,045,255.60",0x53e5ca4f4436b3f690c4cb41a66a3edbe9be7feaf32811cb50b18e9902620c5c,2023-12-04 14:39:30,"$28,219.41",in,0x53e5ca4f4436b3f690c4cb41a66a3edbe9be7feaf32811cb50b18e9902620c5c,2023-12-04 14:39:30,"$28,219.41",in,0x53e5ca4f4436b3f690c4cb41a66a3edbe9be7feaf32811cb50b18e9902620c5c,2023-12-04 14:39:30,"$28,219.41",in
0x56306851238d7aee9fac8cdd6877e92f83d5924c,-,Eoa,"30,000,000.08",0x1ae6f155a2e2584cce0597843345e5aa3d1ee82373bc5e25e4c662899e46a677,2023-08-21 13:45:49,"$30,030,000.00",in,0x1ae6f155a2e2584cce0597843345e5aa3d1ee82373bc5e25e4c662899e46a677,2023-08-21 13:45:49,"$30,030,000.00",in,0x1ae6f155a2e2584cce0597843345e5aa3d1ee82373bc5e25e4c662899e46a677,2023-08-21 13:45:49,"$30,030,000.00",in
0x434742703055bd20f42142d9d70b0735a5eb1b14,-,Eoa,"28,430,000.00",,,,,,,,,,,,
0x6a0b3611214d5001fa5efae91b7222a316c12b52,-,Eoa,"21,786,365.25",0xdb65967a186763634e3dcbdad6803a53433fa45e9d7099a108a1b22f119027fb,2023-04-07 13:45:57,"$32,668,389.45",in,,,,,0xdb65967a186763634e3dcbdad6803a53433fa45e9d7099a108a1b22f119027fb,2023-04-07 13:45:57,"$32,668,389.45",in
0x56152e13828f78cdcc90a6b016df0aec0985e2f3,Bitkub,Eoa,"18,931,647.17",0xf259491c0833d93ec4a1b0ef0e470ea0697b5c5d539b02f9540aa73372d4a675,2024-08-02 06:58:24,"$85,079.79",in,0x28a55b062d87d2fb8f3db702550380f3d0c285ad91ee951bbb8a5aa7a377d070,2024-08-01 10:51:47,"$40,055.58",in,0xf259491c0833d93ec4a1b0ef0e470ea0697b5c5d539b02f9540aa73372d4a675,2024-08-02 06:58:24,"$85,079.79",in
0x1ab4973a48dc892cd9971ece8e01dcc7688f8f23,Bitget,Eoa,"17,301,393.35",0x8a1d8e9ee0c2fa36a7125fc08caabc4022ed2dd14116a03454712a955f1d7ee4,2024-08-02 06:57:12,"$20,019.80",in,0x8a1d8e9ee0c2fa36a7125fc08caabc4022ed2dd14116a03454712a955f1d7ee4,2024-08-02 06:57:12,"$20,019.80",in,0x8a1d8e9ee0c2fa36a7125fc08caabc4022ed2dd14116a03454712a955f1d7ee4,2024-08-02 06:57:12,"$20,019.80",in
0xfa500178de024bf43cfa69b7e636a28ab68f2741,Stake.com,Eoa,"15,630,849.85",0x58f607f7ff9696ef182d1ff37c92afe0d30e006291ffc30f00d8c8496d325d3d,2024-08-02 06:50:12,"$20,020.00",in,0x58f607f7ff9696ef182d1ff37c92afe0d30e006291ffc30f00d8c8496d325d3d,2024-08-02 06:50:12,"$20,020.00",in,0x58f607f7ff9696ef182d1ff37c92afe0d30e006291ffc30f00d8c8496d325d3d,2024-08-02 06:50:12,"$20,020.00",in
0xd3a22590f8243f8e83ac230d1842c9af0404c4a1,Ceffu:Custody Cold Wallet,Eoa,"14,979,272.64",0x9491b905756513d582b473d8a98add80ab6ddebbeec0fe0fba7f25766c6e5c80,2024-07-30 07:40:24,"$11,139,033.68",in,,,,,0x9491b905756513d582b473d8a98add80ab6ddebbeec0fe0fba7f25766c6e5c80,2024-07-30 07:40:24,"$11,139,033.68",in
0xd34f9d1b649c7cd5efc355c1cb6b1a481234616d,-,Eoa,"13,800,895.03",0xb9e2b92c47dd991fa92f8443db8d1db461ac6f53c199de317923d9ddd85325a6,2024-04-30 09:44:37,"$9,380,627.72",in,0xb9e2b92c47dd991fa92f8443db8d1db461ac6f53c199de317923d9ddd85325a6,2024-04-30 09:44:37,"$9,380,627.72",in,0xb9e2b92c47dd991fa92f8443db8d1db461ac6f53c199de317923d9ddd85325a6,2024-04-30 09:44:37,"$9,380,627.72",in
