Address,Address Tag,Type,Token Balance,Percentage
0x835678a611b28684005a5e2233695fb6cbbb0007,Binance Deposit Address,Eoa,"2,029,405.31",1.18%
0x4b16c5de96eb2117bbe5fd171e4d203624b014aa,Binance: SAFU Wallet,Eoa,"1,364,102.15",0.79%
0x489a8756c18c0b8b24ec2a2b9ff3d4d447f79bec,BNB Bridge Exploiter,Eoa,"1,020,094.76",0.59%
0xa7c0d36c4698981fab42a7d8c783674c6fe2592d,Binance Deposit Address,Eoa,"230,754.09",0.13%
0x058a871358c1b01039a265635ea282c3f435a9ed,Binance US:Cold,Eoa,"216,106.37",0.12%
0x0966602e47f6a3ca5692529f1d54ecd1d9b09175,-,Eoa,"195,871.06",0.11%
0xee3b4876dd1691d21f663c3a4190a59526b6a714,-,Eoa,"116,500.01",0.06%
0x11c993a1c69aa0fae44e392b4719295a2ef12db5,-,Eoa,"115,004.72",0.06%
0x06eb481b81448d2bb248bf8b373a2ed4cd01f781,-,Eoa,"114,997.66",0.06%
0x67492f474b06deab70bdd94cc7f66fef02ccd50c,-,Eoa,"110,083.72",0.06%
0x3136ed252d6ec340c7d2fb1285c15add1fd4e0fa,-,Eoa,"93,295.93",0.05%
0x86523c87c8ec98c7539e2c58cd813ee9d1a08d96,-,Eoa,"80,234.70",0.04%
0x0ecc16d3fa38e1a59c10e44cda4e2e9d9941275a,Crypto.com,Eoa,"72,744.51",0.04%
0xd183f2bbf8b28d9fec8367cb06fe72b88778c86b,-,Eoa,"57,936.75",0.03%
0x178165a0261851e4c06624c323e78d0919a2b47c,-,Eoa,"55,830.75",0.03%
0xfd6042df3d74ce9959922fec559d7995f3933c55,Phishing:7,Eoa,"48,510.94",0.02%
0xbd7170971505828f17a48f0177f9203da7b57d14,-,Eoa,"42,586.38",0.02%
0xcef8b76b76e22d40903590793accce3002908dc4,-,Eoa,"41,999.61",0.02%
0x6a0b3611214d5001fa5efae91b7222a316c12b52,-,Eoa,"41,428.44",0.02%
0xac2b6e125059746db1837a874d45b9d74d211caf,U.S. Government:FTX Alameda Seized Funds,Eoa,"40,285.32",0.02%
0xfde64760370ad58805900a3e23a1ebeeae9fba2c,-,Eoa,"40,041.97",0.02%
0xf9570d56b233ca5ff0211ab20aad93b8b6370b3a,-,Eoa,"38,515.96",0.02%
0x34368f092694cbce7bf88180db35198221437d14,-,Eoa,"38,515.00",0.02%
