Address,Address Tag,Type,Token Balance,Percentage
0xc6f780497a95e246eb9449f5e4770916dcd6396a,Uniswap V3(WETH-ARB),Dex,"9,404,292.21",0.09%
0x978982772b8e4055b921bf9295c0d74eb36bc54e,SushiSwap,Dex,"4,249,417.00",0.04%
0xcda53b1f66614552f834ceef361a8d12a0b8dad8,Uniswap V3(ARB-USDC),Dex,"2,510,496.18",0.02%
0x92c63d0e701caae670c9415d91c474f686298f00,Uniswap V3(WETH-ARB),Dex,"2,354,436.69",0.02%
0x01d3e7271c278aa3aa56eeba6a109b2c200679fa,DODO,Dex,"2,189,185.89",0.02%
0x03ff2d78afb69e0859ec6beb4cf107d3741e97ab,Camelot: Ecosystem,Dex,"2,189,094.00",0.02%
0xb0f6ca40411360c03d41c5ffc5f179b8403cdcf8,Uniswap V3(ARB-USDC),Dex,"766,775.21",0.00%
0x1cc2810061c2f5b2088054ee184e6c79e1592212,0x,Dex,"628,148.00",0.00%
0xf7505d655e28e746baac9646030c3f2193e3b542,Swapr,Dex,"515,081.00",0.00%
0x92fd143a8fa0c84e016c2765648b9733b0aa519e,Uniswap V3(WETH-ARB),Dex,"425,729.27",0.00%
0x81c48d31365e6b526f6bbadc5c9aafd822134863,Uniswap V3(ARB-USDC),Dex,"421,321.24",0.00%
0xa6c5c7d189fa4eb5af8ba34e63dcdd3a635d433f,Camelot LP (CMLT-LP),Dex,"410,601.44",0.00%
0x97bca422ec0ee4851f2110ea743c1cd0a14835a1,Uniswap V3(ARB-USDT),Dex,"233,372.69",0.00%
0xae792a7bf5f85a68ffe92bfbfa7a04c72d7cb095,ApeX,Dex,"199,999.99",0.00%
0xb791ad21ba45c76629003b4a2f04c0d544406e37,Uniswap V3(ARB-USDT),Dex,"191,759.21",0.00%
0xaebdca1bc8d89177ebe2308d62af5e74885dccc3,Uniswap V3(ARB-USDC),Dex,"184,717.50",0.00%
