Address,Address Tag,Type,Token Balance,Percentage
0x1190cea3e2c8727218768bfb990c3228aa06dfa9,-,Eoa,"147,625,173.53",1.47%
0xe2d884a497082795e61883506c92fbbdf7a89fba,-,Eoa,"56,032,436.00",0.55%
0x2a006a43e550b10d69b7a54454cd7a05255af6d4,-,Eoa,"47,334,622.00",0.47%
0xe9f75301227edaab0fdc1eff65296e041f01fadc,-,Eoa,"46,182,128.43",0.46%
0xa5f7b4c74cb811628f6a4db0cbf1b0926d49dc3e,-,Eoa,"45,100,344.00",0.45%
0x8d88fd80826ac6bf934180d7bfb9dc1c8a73da74,-,Eoa,"44,109,983.00",0.44%
0x3fb9781946583f4ba1cd7fa3cd2c67ab5b40fd22,-,Eoa,"44,093,827.99",0.44%
0x741a02fc364fd8b32f496e51f0b80a384573f07d,-,Eoa,"43,956,002.00",0.43%
0x2e383d51d72507e8c8e803f1a7d6651cbe65b151,-,Eoa,"43,852,487.50",0.43%
0x115ae3793b6fbb1e018b8aefda70554f74e98e19,-,Eoa,"42,997,525.00",0.42%
0x607d32a71744f28447dd27688f6d5097614f4794,-,Eoa,"42,048,332.25",0.42%
0x5872a991fa9a65bc85e755118d2fd08b54e24287,-,Eoa,"42,017,452.00",0.41%
0x0a851b159f2baad2626dc326dde46db9faaf947d,-,Eoa,"41,009,523.00",0.40%
0x8bc70e81652e2ea8fe06a043d97020f23fc90da1,-,Eoa,"40,929,443.00",0.40%
0x35b1fb2d3f86b8bd6456101b1f2a496773c1123d,-,Eoa,"40,365,520.00",0.40%
0x92927a664c88449318e14d0fd582c787ae2cd934,Kraken,Eoa,"39,573,009.66",0.39%
0x04ee4dd8ccb5651550fb8098203155b8d8943596,-,Eoa,"39,504,211.00",0.39%
0xab0e27790a4eb0db1ea75b615fa54b36fcf09b5f,-,Eoa,"38,492,031.00",0.38%
0xa8b2b639f2a249677dcd3b4747ebf21fff7564d8,-,Eoa,"37,500,000.00",0.37%
0x6acc02271d83b40c2d77be3633948e09b4226aa8,-,Eoa,"37,413,267.00",0.37%
0x5f0c11f66b10ab70fadfed3c499a19e3bce4c534,-,Eoa,"37,142,014.94",0.37%
0x57bf071af16ce0d05ce0f405b41ca0274c741c15,-,Eoa,"36,949,220.00",0.36%
0x253d49374a5b1e2040dcfe725e748ef98ec57120,-,Eoa,"35,084,124.00",0.35%
0xe1f30c44bd1c8d537bacb5ce34740578158b006f,-,Eoa,"35,000,000.00",0.34%
0x7cec5c3e11db6e585487d1a4bfe661badaa9d2cf,-,Eoa,"34,290,236.00",0.34%
0xfc1ca88bd8a1776b0148adabf57d08eb645091f1,-,Eoa,"34,217,760.00",0.34%
0xf64821dd9761046441bf485d90ed866ba53a1f81,-,Eoa,"34,180,391.00",0.34%
0x31ec306b7559a6e7c576640d0f5834832800433d,-,Eoa,"33,443,448.75",0.33%
0xcbd141c29c7a7c4bc21cf66d2345219e43afb285,-,Eoa,"32,986,758.00",0.32%
0x221cc8f105d339180ebc85af2153f35c6802c4d3,-,Eoa,"32,667,540.75",0.32%
0x59cf8b6970248fcac2105cd925677e4418ebcc04,-,Eoa,"32,656,458.75",0.32%
0xc602df8a1be5b02f8a2d1e625069d5cdedfbb31f,Arbitrum:Team Vesting,Eoa,"32,463,025.56",0.32%
0x9d05f7018e4d3e8c345b3704ab1e5dcbacd85027,-,Eoa,"32,443,215.00",0.32%
0xf13358a7923f8a9a58b3d29787f289404a75db96,-,Eoa,"32,323,685.00",0.32%
0xf174a5c1e171c144ce94d9589723693903f57232,-,Eoa,"32,253,309.00",0.32%
0x6f8a3ec70b08bbc5440403269a8ab2dc1f5f9068,-,Eoa,"32,134,384.19",0.32%
0x8ba131b2a1533a7f24fbb58bf1bbde6321c40a72,-,Eoa,"31,996,704.40",0.31%
0x522d9c347afc7edfbf100bf496a0650e5efa5150,-,Eoa,"31,458,299.00",0.31%
0x46f80018211d5cbbc988e853a8683501fca4ee9b,BtcTurk:Cold,Eoa,"31,150,235.59",0.31%
0xccc5b2fe4facb75ed19257891e285162c9b4ab7c,-,Eoa,"30,614,136.00",0.30%
0x7cfcfdf4913c5427596683846205966b81e7f27b,-,Eoa,"30,432,187.00",0.30%
0xd5c3b656664f9eb2dd2ceeabc1cd9cf7d60899bc,-,Eoa,"30,023,621.00",0.29%
0xc5b49f8bb7f403780aa3129189154c6c779b178a,-,Eoa,"29,911,646.25",0.29%
0x34236bbd8b207cdd138f8e399e9bf523380b89c3,-,Eoa,"29,886,249.00",0.29%
0xab38d062d8bd45288cacca283f1d669990ec3f50,-,Eoa,"29,844,185.59",0.29%
0x0659fb78b5139ee5bc9238b2c85944a112a7b591,-,Eoa,"29,768,996.00",0.29%
0x8660f853a36998cf6725dd3cf032428cb5b296d0,-,Eoa,"29,184,855.00",0.29%
0x1a4ce7237cad08f9db5f2acaf57f2a67330e0e43,-,Eoa,"28,402,953.00",0.28%
0x4e5d7f57ca1a4daa181e64b4ac0d0ffc297ad1c8,-,Eoa,"28,355,639.00",0.28%
0x676f3152d1962613fdf7e8557acd9910e7386cc6,-,Eoa,"28,321,967.00",0.28%
0xba4f65f3b7698730ddd86aef4648902b6b241338,-,Eoa,"27,744,916.50",0.27%
0x5c56eeb76a83f4db545d63627b8247cc2c921148,-,Eoa,"27,684,273.75",0.27%
0xb15a55ca60a405e170fc946c17ef479e97866bf5,-,Eoa,"27,571,755.00",0.27%
0x5fbbd202fb525b59bf9565a35fb7f623267b7b15,-,Eoa,"27,543,000.00",0.27%
0xa422c780f61c6ed2ea2f94a07ea704ee79c7a256,-,Eoa,"27,475,493.50",0.27%
0xf95f6efc42db8d63d7313326d0c9f54f4d48d36d,-,Eoa,"27,420,599.94",0.27%
0xd8463997460754c384fe20649ff188fab56f141c,-,Eoa,"27,360,000.00",0.27%
0x4ba008371728b20925b97e041401535d6ad07afa,-,Eoa,"27,037,027.00",0.27%
0x396c1014fcb7baab850e460c296d877da3b2fd96,-,Eoa,"26,527,050.00",0.26%
0x5b93a84f18329ea5a5c21ceed1b286734142d71b,-,Eoa,"25,286,666.66",0.25%
0xcf2ae57c037c1d9f035e933fb530a424b6c8ad19,-,Eoa,"24,558,943.75",0.24%
0x9501a11e6c16e94b8d2c63a9e47f1c4906396c58,-,Eoa,"24,488,808.00",0.24%
0x88ba41dee4cd93a1bcaa65bed18af888ff66be50,-,Eoa,"24,180,000.00",0.24%
0x3f94cb83538f46bc796da7eb7882b435e147fce0,-,Eoa,"24,003,390.74",0.23%
0x361ad597f6a0cf86f8ab14234ca17a5739a67458,Bithumb:Hot Wallet,Eoa,"23,931,000.52",0.23%
0x14ddd7564bf6ca313d5cc11d26ddabd65460dca8,-,Eoa,"23,827,750.00",0.23%
0xc17fd297d8cc32de9a9a3260cf19faea731676b0,-,Eoa,"23,093,445.00",0.23%
0xa79b9cb125bbaa2315c3e2c5ee3f48ded7b9a2a1,-,Eoa,"22,780,689.25",0.22%
0x568a96c8d049bda109d0570a9da0d2597bb3b61b,-,Eoa,"22,567,490.00",0.22%
0x745a2ccf0c7b9223b5361895c62718abf5254f47,-,Eoa,"22,507,572.16",0.22%
0x43b6c63d352a1aa6a923c86122f21f4606ad65f9,-,Eoa,"22,415,665.50",0.22%
0x7b166d67f4bcaf98dc1ddae0031e86d110f49637,-,Eoa,"22,099,220.69",0.22%
