Address,Address Tag,Type,Token Balance,Percentage
0xf977814e90da44bfa03b6295a0616a897441acec,Binance 8,Exchange,"478,087,252.68",4.77%
0xf7f468b184a48f6ca37eeffe12733ee1c16b6e26,Upbit: Cold,Exchange,"187,214,771.86",1.87%
0x62383739d68dd0f844103db8dfb05a7eded5bbe6,OKx,Exchange,"100,787,101.80",1.00%
0xf89d7b9c864f589bbf53a82105107622b35eaa40,Bybit: Hot Wallet,Exchange,"60,376,934.98",0.60%
0xee5b5b923ffce93a870b3104b7ca09c3db80047a,bybit,Exchange,"48,000,006.00",0.47%
0xb38e8c17e38363af6ebdcb3dae12e0243582891d,Binance Hot Wallet,Exchange,"32,659,954.18",0.32%
0x5a52e96bacdabb82fd05763e25335261b270efcb,Binance,Exchange,"29,571,174.23",0.29%
0xc882b111a75c0c657fc507c04fbfcd2cc984f071,Gate.io,Exchange,"15,725,128.06",0.15%
0xd6216fc19db775df9774a6e33526131da7d19a2c,KuCoin 6,Exchange,"11,666,765.66",0.11%
0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,Bitget,Exchange,"11,115,655.09",0.11%
0x1714400ff23db4af24f9fd64e7039e6597f18c2b,Crypto.com,Exchange,"6,130,129.64",0.06%
0x18709e89bd403f470088abdacebe86cc60dda12e,Huobi,Exchange,"3,497,408.65",0.03%
0xb8e6d31e7b212b2b7250ee9c26c56cebbfbe6b23,KuCoin 15,Exchange,"2,820,329.53",0.02%
0xf35a6bd6e0459a4b53a27862c51a2a7292b383d1,Coinspot,Exchange,"2,720,047.22",0.02%
0x77134cbc06cb00b66f4c7e623d5fdbf6777635ec,Bitfinex: Hot Wallet,Exchange,"2,221,251.04",0.02%
0x2407b9b9662d970ece2224a0403d3b15c7e4d1fe,CoinDCX 2,Exchange,"1,984,469.80",0.01%
0x0d0707963952f2fba59dd06f2b425ace40b492fe,Gate.io,Exchange,"1,566,014.89",0.01%
0x68b299451bb795f63d95532da20b3cbfa22200de,Upbit,Exchange,"1,367,812.29",0.01%
0xf3836c68bba8c904f38a58db8fcc9784a0f3e2bb,Upbit,Exchange,"1,212,370.81",0.01%
0x4207837d4cd914467eb76bf88c4d6e7ba11ccdf9,Coinspot,Exchange,"1,109,981.20",0.01%
0x477b8d5ef7c2c42db84deb555419cd817c336b6f,MaiCoin 1,Exchange,"924,409.10",0.00%
0x9223c017a39d4806d1d92c15046ae28c32c6d8e7,Binance US,Exchange,"743,796.89",0.00%
0xaac8ed1ae0b18d6c943a6a285452eac78397b7e8,Upbit,Exchange,"655,028.02",0.00%
0xb07b99262d3ce9bc3e18ccb74b545391bde3ecec,Upbit,Exchange,"476,274.17",0.00%
0x03e6fa590cadcf15a38e86158e9b3d06ff3399ba,KuCoin 2,Exchange,"475,742.00",0.00%
0xeda35af39b890035fed02c68e6556326e7e50992,Upbit,Exchange,"470,886.59",0.00%
0x9b64203878f24eb0cdf55c8c6fa7d08ba0cf77e5,MEXC,Exchange,"430,219.87",0.00%
0xf0bc8fddb1f358cef470d63f96ae65b1d7914953,Korbit 8,Exchange,"351,744.09",0.00%
0x50be13b54f3eebbe415d20250598d81280e56772,Phemex,Exchange,"268,926.39",0.00%
