Address,Address Tag,Type,Token Balance,Percentage
0xba12222222228d8ba445958a75a0704d566bf2c8,Balancer V2,Dex,"989,692.23",1.82%
0x7f580f8a02b759c350e6b8340e7c2d4b8162b6a9,Uniswap V3(DAI-USDT),Dex,"634,410.40",1.17%
0xa961f0473da4864c5ed28e00fcc53a3aab056c1b,Uniswap V3(WETH-DAI),Dex,"198,591.74",0.36%
0x46c47c8daabca3e15bf238cda365894046bafa23,Uniswap V3(WBTC-DAI),Dex,"53,452.53",0.09%
0x91705f561c1adacd2d48178f41bb19ecd06401f0,Uniswap V3(NUMA-DAI),Dex,"50,767.08",0.09%
0xd37af656abf91c7f548fffc0133175b5e4d3d5e6,Uniswap V3(DAI-USDC),Dex,"40,416.50",0.07%
0x0fa7b744f18d8e8c3d61b64b110f25cc27e73055,Wombat Dai Stablecoin Asset (LP-DAI),Dex,"23,020.71",0.04%
0x31fa55e03bad93c7f8affdd2ec616ebfde246001,Uniswap V3(WETH-DAI),Dex,"14,770.00",0.02%
0x6387b0d5853184645cc9a77d6db133355d2eb4e4,Uniswap V3(DAI-USDT),Dex,"10,260.32",0.01%
0xf0428617433652c9dc6d1093a42adfbf30d29f74,Uniswap V3(DAI-USDC),Dex,"7,882.24",0.01%
0x692a0b300366d1042679397e40f3d2cb4b8f7d30,SushiSwap LP Token (SLP),Dex,"6,316.75",0.01%
0x4d2fe06fd1c4368042b926d082484d2e3cc8f3f5,Uniswap V3(GNS-DAI),Dex,"5,951.99",0.01%
0x480b247c62e87fcf3c82a88f6dd4f9c61b474ebf,Uniswap V3(GNS-DAI),Dex,"4,995.83",0.00%
0x21a28c2eb4ab5c5e752ee147c0242c7ed8168253,Uniswap V3(ZAR-DAI),Dex,"4,532.34",0.00%
0xa7465ccd97899edcf11c56d2d26b49125674e45f,paraswap,Dex,"3,899.82",0.00%
0x0a5f3c8633b0abe29d229db1f730ed46a60dced2,Uniswap V3(DAI-USDC),Dex,"3,059.17",0.00%
0x9264e764e6d5d252a5c17c457c9bb059b8831bb1,Uniswap V3(USDC-DAI),Dex,"2,776.71",0.00%
0x2c089ee1080b091fb3b73df94f7840b33fbca020,Uniswap V3(WBTC-DAI),Dex,"2,500.06",0.00%
0x5602aba2111aa4ae90ad34a5b5b815f26d69c94b,SushiSwap LP Token (SLP),Dex,"2,467.92",0.00%
0xc37a89cdb064ac2921fcc8b3538ac0d6a3aadf48,Wombat Exchange,Dex,"2,403.92",0.00%
0x2e630136c42bc72f1285743347ba77a75077aff4,Uniswap V3(WETH-DAI),Dex,"2,066.53",0.00%
0xfd1e3458c7a1d3506f5cc6180a53f1e60f9d6bea,StableV1 AMM - DAI/USDC (sAMM-DAI/USDC),Dex,"1,721.43",0.00%
0x01efed58b534d7a7464359a6f8d14d986125816b,Camelot LP (CMLT-LP),Dex,"1,559.62",0.00%
0x8cd967ea785e5c947559c58dd8a8c572ea6980de,Wombat Exchange,Dex,"1,470.25",0.00%
0x8b892b6ea1d0e5b29b719d6bd6eb9354f1cde060,Wombat Exchange,Dex,"1,159.55",0.00%
0x7f457e25a92bad1aeecf2250a4ff80135f4e35c1,Uniswap V3(ARB-DAI),Dex,"1,098.92",0.00%
