Address,Address Tag,Type,Token Balance,Percentage
0x2d070ed1321871841245d8ee5b84bd2712644322,Kraken,Eoa,"1,572,553.56",2.90%
0xc2995bbd284953e8ba0b01efe64535ac55cfcd9d,-,Eoa,"752,586.51",1.38%
0x79cccd661e0c820b7023dd346974f0f27f713e63,-,Eoa,"487,606.63",0.90%
0xd9666262234cbac5b00f949d3d95ef7c7c2191b5,-,Eoa,"301,647.61",0.55%
0xd5133415473fbee35c6f88e7d682e1ee82674926,-,Eoa,"247,173.85",0.45%
0xbd749721271a370487a2d0296d9f5f1c6e432717,-,Eoa,"219,863.08",0.40%
0xba35212fe946028543b2978a52fe842212b759dd,-,Eoa,"217,545.18",0.40%
0x84dd1ed0e64c6646c3c4706e1d29735603aa350f,-,Eoa,"170,999.99",0.31%
0x3727cfcbd85390bb11b3ff421878123adb866be8,Bitbank,Eoa,"170,540.03",0.31%
0x3931dab967c3e2dbb492fe12460a66d0fe4cc857,Binance:Hot Wallet,Eoa,"165,967.00",0.30%
0x25681ab599b4e2ceea31f8b498052c53fc2d74db,Binance:Hot Wallet,Eoa,"165,020.16",0.30%
0xebcd6da2d5629abe77cfaf497ce4c330e23c3fe5,-,Eoa,"162,898.49",0.30%
0x4c85ece5bbf191d3e1b76934c8372d4ae3bf6927,-,Eoa,"140,119.19",0.25%
0x7f8d0f8b997ab192f62a7f5bf38bb10c08a27092,-,Eoa,"135,357.18",0.24%
0x337866b3487919c9c436a9c6f67a4abf2dc90756,-,Eoa,"126,642.52",0.23%
0x211999e5ee74af3e8dacbcd5c4e608cd7d8086fa,-,Eoa,"125,549.16",0.23%
0xd4eaa49a011f0b12cd89d3c920938a05e18938ff,-,Eoa,"116,216.34",0.21%
0x13930db65ecfd5b479cf08c3843395a419db12a8,-,Eoa,"109,409.33",0.20%
0x682eb601e38b9521cc517338045811e564eb3c5e,-,Eoa,"100,676.30",0.18%
0x1c14da496a9fa0f1de2521b8d2f6e5e22cdaadf1,-,Eoa,"99,999.99",0.18%
0x410600dd6135cb649d134f414bed264243e43b5b,-,Eoa,"99,999.99",0.18%
0x428ab2ba90eba0a4be7af34c9ac451ab061ac010,Across Protocol: Relayer,Eoa,"95,345.77",0.17%
0x84b734366a0064d84e60869f5a5f2cf772ce3328,-,Eoa,"91,943.65",0.16%
0x0c7828c931d424b266198bf6e234d1b9397993b6,-,Eoa,"89,484.84",0.16%
0x213ec8780284dd623e3f3f1aeb0df61bfe8ccff4,-,Eoa,"89,464.39",0.16%
0x1f27b5065614c153c5bcf10ebf3ecc5e24fdc47a,-,Eoa,"84,769.81",0.15%
0xa2ac0b7ce1c99793c85ddbde0768dd4481f72e14,-,Eoa,"84,357.14",0.15%
0xbe08cc3f5e425b06e47e202e3bc99a9e752a57dd,-,Eoa,"81,040.19",0.14%
0xb7d0d952733ceb650f03f08a1fbeddd331bf112c,-,Eoa,"77,914.81",0.14%
0x62a7b5a116d0dfda0a9df7affb6a606ccc02a672,-,Eoa,"68,994.70",0.12%
0x0b7d384afab60c1472f6839494db7d10dceac4dc,-,Eoa,"63,746.57",0.11%
0xca74f404e0c7bfa35b13b511097df966d5a65597,-,Eoa,"61,698.88",0.11%
0xc965bef183a54be7bf12a7cf72b7730c0f5ec2e9,-,Eoa,"61,492.02",0.11%
0x63f6d9e7d3953106bcaf98832bd9c88a54afcc9d,-,Eoa,"60,443.98",0.11%
0xc27e87cfe1fd2ed6f43dfffbb9e9e46428497a24,-,Eoa,"60,434.32",0.11%
0x06594c6345f0e4e55840e269b82772960b157650,-,Eoa,"51,046.13",0.09%
0x9bb98140f36553db71fe4a570ac0b1401bc61b4f,-,Eoa,"50,098.96",0.09%
0x04259aeea9c9428e31d2850a2c12dfa289f3fb57,-,Eoa,"50,000.00",0.09%
0x5a914d3d7876bcb97bdc3cb62ac175eb93a25c68,-,Eoa,"44,969.14",0.08%
0x7fe02ca835b711928505ea6725ccca6dce6db9e7,-,Eoa,"43,538.41",0.08%
0xe817e924e7eaa991a20bd3266a057ab5d62d6630,-,Eoa,"41,200.38",0.07%
0xb78741a2205f6736945ebc62226c2c2d0a91d4fd,defisapiens,Eoa,"40,313.04",0.07%
0x299e2d622bc4c5b7662d54681c97e9e2b4135184,-,Eoa,"39,428.00",0.07%
0x0d63584beba5c12214861f27ecfd37e9fc992504,-,Eoa,"39,275.17",0.07%
0x06f522a84e0101545516b149ccc4e5561608da1d,-,Eoa,"37,499.56",0.06%
0x8a5b1ca004771131747ddce63cabd0ba9ebbbd74,-,Eoa,"37,297.69",0.06%
0x0e07d202984a878333da0546a45b4fe0bee95960,-,Eoa,"37,000.28",0.06%
