Address,Address Tag,Type,Token Balance,Percentage
0x84b38bc60f3bd82640ecefa320dab2be62e2da15,Kraken Deposit Address,Eoa,"34,201.10",0.98%
0x26ebbdee54a34e30f8028882285e56e3b084fabc,-,Eoa,"30,350.52",0.87%
0x131f001af400d5f212e1894846469fba70f8bcc9,Bithumb:Cold Wallet,Eoa,"28,000.10",0.80%
0xcebbba0c2e6095935adaee707d1660d401c3e70e,-,Eoa,"13,692.46",0.39%
0xb835af52422a14c917d4b37b36c9a73d24770261,-,Eoa,"11,787.95",0.33%
0xecc0e46f64458ae70dca30e298d20e3c993d9541,-,Eoa,"11,067.67",0.31%
0xd20e007881ea62b5922b06d025c9dc1d41962953,-,Eoa,"9,181.19",0.26%
0xb497070466dc15fa6420b4781bb0352257146495,-,Eoa,"8,122.65",0.23%
0xa843392198862f98d17e3aa1421b08f2c2020cff,-,Eoa,"7,898.47",0.22%
0x355cf0d910bde4e4a9c4ebdd27ec31f69f94b917,-,Eoa,"7,800.84",0.22%
0xa626bd40a8c88f59a4cf9b1821a7bd71fad96285,0xRommel,Eoa,"7,399.83",0.21%
0xf3652b84507b0870746ec67ed6c3dfa1f07cbc0e,-,Eoa,"7,271.97",0.20%
0xb5be97c440d573e81ea3d2257432eb2ae646e265,-,Eoa,"7,244.90",0.20%
0xfd0b5931399dfd8be58c37d74d9ffc35bbc3ffb2,-,Eoa,"6,184.12",0.17%
0x555ce236c0220695b68341bc48c68d52210cc35b,DLN Trade,Eoa,"6,121.14",0.17%
0xd49df59160c7de8468df8ebf0b15eea1bf870440,-,Eoa,"5,480.75",0.15%
0xb1d72dd9cd988c727b160886b864ee0004965c8a,-,Eoa,"5,275.84",0.15%
0x205ba210b80de3b3cedf1243d4718f92cb674d01,Bithumb:Hot Wallet,Eoa,"5,069.79",0.14%
0x3727cfcbd85390bb11b3ff421878123adb866be8,Bitbank,Eoa,"4,184.94",0.12%
0x46d4efe1795954f7351473ad6351fd1ae7c6dbf9,Binance Deposit Address,Eoa,"4,001.00",0.11%
0x3931dab967c3e2dbb492fe12460a66d0fe4cc857,Binance:Hot Wallet,Eoa,"3,740.77",0.10%
0x473d3a2005499301dc353afa9d0c9c5980b5188c,delucinator,Eoa,"3,734.88",0.10%
0x7aad74b7f0d60d5867b59dbd377a71783425af47,Kelp DAO:Deployer,Eoa,"3,478.10",0.10%
0xd604cfa918a7fcf24fd5789483323cdcb37b7fcf,-,Eoa,"3,409.98",0.09%
0x272a16faf76e3750e927268d97817968d170ff13,-,Eoa,"3,353.86",0.09%
0x40aa0292ed88ebef01b85cda317dbbed8f060b02,-,Eoa,"3,280.60",0.09%
