Address,Address Tag,Type,Token Balance,Percentage
0xf977814e90da44bfa03b6295a0616a897441acec,Binance 8,Exchange,"886,318.06",25.48%
0x5a52e96bacdabb82fd05763e25335261b270efcb,Binance,Exchange,"215,982.99",6.21%
0x490b1e689ca23be864e55b46bf038e007b528208,Kraken,Exchange,"62,428.49",1.79%
0xb38e8c17e38363af6ebdcb3dae12e0243582891d,Binance Hot Wallet,Exchange,"44,620.72",1.28%
0xf89d7b9c864f589bbf53a82105107622b35eaa40,Bybit: Hot Wallet,Exchange,"43,767.01",1.25%
0x0938c63109801ee4243a487ab84dffa2bba4589e,OKX,Exchange,"25,159.37",0.72%
0xf92402bb795fd7cd08fb83839689db79099c8c9c,Hot Wallet,Exchange,"5,569.70",0.16%
0x9223c017a39d4806d1d92c15046ae28c32c6d8e7,Binance US,Exchange,"2,110.56",0.06%
0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,Bitget,Exchange,"1,431.47",0.04%
0x9b64203878f24eb0cdf55c8c6fa7d08ba0cf77e5,MEXC,Exchange,"1,344.36",0.03%
0x1714400ff23db4af24f9fd64e7039e6597f18c2b,Crypto.com,Exchange,"1,339.88",0.03%
0x4207837d4cd914467eb76bf88c4d6e7ba11ccdf9,Coinspot,Exchange,826.75,0.02%
0x77134cbc06cb00b66f4c7e623d5fdbf6777635ec,Bitfinex: Hot Wallet,Exchange,781.51,0.02%
0x0d0707963952f2fba59dd06f2b425ace40b492fe,Gate.io,Exchange,508.68,0.01%
0xd6216fc19db775df9774a6e33526131da7d19a2c,KuCoin 6,Exchange,476.87,0.01%
0x62383739d68dd0f844103db8dfb05a7eded5bbe6,OKx,Exchange,398.26,0.01%
0x2487cb1a359c942312259bbc64a01cee32e9f539,Woo Network,Exchange,132.91,0.00%
0x50be13b54f3eebbe415d20250598d81280e56772,Phemex,Exchange,111.17,0.00%
