Address,Address Tag,Type,Token Balance,Percentage
0xc6962004f452be9203591991d15f6b388e09e8d0,Uniswap V3(WETH-USDC),Dex,"14,013,803.39",0.98%
0x0e4831319a50228b9e450861297ab92dee15b44f,Uniswap V3(WBTC-USDC),Dex,"7,191,435.91",0.50%
0xae198f5b206f195f7ffd158718341a1f3905cff9,Uniswap V3(USDC-USDO),Dex,"3,145,615.57",0.22%
0xbe3ad6a5669dc0b8b12febc03608860c31e2eef6,Uniswap V3(USDC-USDT),Dex,"3,031,324.37",0.21%
0xba12222222228d8ba445958a75a0704d566bf2c8,Balancer V2,Dex,"1,775,075.56",0.12%
0x7cf803e8d82a50504180f417b8bc7a493c0a0503,Uniswap V3(USDC-DAI),Dex,"1,397,274.16",0.09%
0xa56959b5d633ee8e3dd9997902c09445c5d7cc40,Uniswap V3(eUSD-USDC),Dex,"1,042,200.18",0.07%
0xc473e2aee3441bf9240be85eb122abb059a3b57c,Uniswap V3(WETH-USDC),Dex,"958,244.13",0.06%
0x536f4b1cbeda8387a57b45a549ca6b250f7f1d90,Uniswap V3(USDV-USDC),Dex,"546,386.08",0.03%
0x8e295789c9465487074a65b1ae9ce0351172393f,Uniswap V3(USDC-USDC),Dex,"486,906.52",0.03%
0x4bbac3bbe0545f1ef3214af9b5dd842c7cab8846,Uniswap V3(MCB-USDC),Dex,"468,884.37",0.03%
0x88c505cadb0b31f85710977d92839fa02a018097,Uniswap V3(TN-CSCPv1-ETHUSD-USDC),Dex,"439,888.04",0.03%
0x4cd207d3bb951dffee3fae27a0be70019bb72666,Uniswap V3(USDC-TN-CSCPv1-ARBUSD),Dex,"433,335.89",0.03%
0xf482881968d1f1d99397310636ff9fac070f63c6,Camelot: POL,Dex,"379,576.54",0.02%
0x021a4e8adce1dd0cfac1d8561005c1e1ffc55608,Uniswap V3(GRAI-USDC),Dex,"318,180.51",0.02%
0xab007665a4dfd24830f0ca19206f9fbd7c3aa85f,Uniswap V3(wstETH-USDC),Dex,"273,287.79",0.01%
0x10417734001162ea139e8b044dfe28dbb8b28ad0,rhino.fi,Dex,"202,072.61",0.01%
0x3db70832f48f8c01ee041671f7bb1cfaa2677584,Uniswap V3(USDC-AAVE),Dex,"165,240.42",0.01%
0xb0f6ca40411360c03d41c5ffc5f179b8403cdcf8,Uniswap V3(ARB-USDC),Dex,"131,083.46",0.00%
0xbc4d874430834e90a4c9baeb3db470cacb0dcce2,Uniswap V3(LDO-USDC),Dex,"118,710.57",0.00%
0x66e433b898e299cd16dd724e99e11eecb3cbd55c,Uniswap V3(FLY-USDC),Dex,"108,430.44",0.00%
0x57b85fef094e10b5eecdf350af688299e9553378,SushiSwap LP Token (SLP),Dex,"97,765.82",0.00%
0x9dc903fe57e53441fd3e0ce8ccbea28c1725ab3d,Uniswap V3(USDC-USDs),Dex,"96,158.57",0.00%
0x01a3c8e513b758ebb011f7afaf6c37616c9c24d9,Kyberswap,Dex,"83,640.21",0.00%
0x0452a96f7113358bdddb8383e5b3a408ab491164,Uniswap V3(XDEFI-USDC),Dex,"77,188.14",0.00%
0xaa9e653252ed9e87a9bd545b974efbfb2f389f3f,Uniswap V3(GNS-USDC),Dex,"61,051.92",0.00%
