Address,Address Tag,Type,Token Balance,Percentage
0x25681ab599b4e2ceea31f8b498052c53fc2d74db,Binance:Hot Wallet,Eoa,"23,867,029.46",1.66%
0x1f7bc4da1a0c2e49d7ef542f74cd46a3fe592cb1,Kraken,Eoa,"14,939,097.60",1.04%
0x3dd1d15b3c78d6acfd75a254e857cbe5b9ff0af2,Coinbase,Eoa,"14,724,212.93",1.03%
0x3931dab967c3e2dbb492fe12460a66d0fe4cc857,Binance:Hot Wallet,Eoa,"12,734,930.03",0.89%
0xd58e73c29288525abf73e5a492c6577ee685f45c,-,Eoa,"8,250,000.00",0.57%
0x1ab4973a48dc892cd9971ece8e01dcc7688f8f23,Bitget,Eoa,"7,619,487.56",0.53%
0xa656f7d2a93a6f5878aa768f24eb38ec8c827fe2,Coinbase,Eoa,"6,139,495.67",0.42%
0x97e5b0d23fe0f09b8c1a09b8e7dc9f2a0ea7755d,-,Eoa,"3,709,049.00",0.25%
0x7a4dd0c1f43dc15c13feeda348a99646e08a9209,Binance Deposit Address,Eoa,"2,170,441.68",0.15%
0x4210ebe4d47f7a183a8fef5a7aa64f8ed918df83,-,Eoa,"2,027,907.82",0.14%
0xba35212fe946028543b2978a52fe842212b759dd,-,Eoa,"1,832,184.68",0.12%
0xb442a6b26f0f3456320159379c32128e78db71be,OKX:Hot Wallet,Eoa,"1,499,071.21",0.10%
0xd7a827fbaf38c98e8336c5658e4bcbcd20a4fd2d,Crypto.com,Eoa,"1,324,410.74",0.09%
0x63dfe4e34a3bfc00eb0220786238a7c6cef8ffc4,Woo Network,Eoa,"1,204,437.30",0.08%
0xf05273d736dc3cfff5395df09b480356cbea3133,-,Eoa,"1,194,072.18",0.08%
0x08c788afdacf6cf81180d2bbbe42a7434d0c7a92,-,Eoa,"1,150,105.05",0.08%
0xbfc79c444c41a74516bf31237ebf586a231480b4,-,Eoa,"1,037,999.00",0.07%
0xb86f1061e0d79e8319339d5fdbb187d4e7ad3300,MEXC Deposit Address,Eoa,"1,037,457.71",0.07%
0x023a3d058020fb76cca98f01b3c48c8938a22355,-,Eoa,"1,000,419.99",0.07%
0xa0894a415c4f246ce95bae718849579c099cc1d2,-,Eoa,"1,000,000.00",0.07%
0x26fc47484fa2c8456a581dd8bd6b4c3b09bb52ab,-,Eoa,"999,457.17",0.06%
0x987f6347f9292ea9f81d37a0f55d8b2c54dfe421,-,Eoa,"912,727.06",0.06%
0xa09153a35ae8232a22630f7dbbb65658f7b1360f,-,Eoa,"855,508.83",0.05%
0x20fa1822a87d4e7a3ccf20f86e716ef3772ecff1,Crypto.com,Eoa,"854,071.65",0.05%
0x79cccd661e0c820b7023dd346974f0f27f713e63,-,Eoa,"852,685.56",0.05%
0x04994a8de1fead66f977c9627b268c4a140749d4,-,Eoa,"789,724.95",0.05%
0xe5b57dfa75d36189e5254114626b06e79d903a57,-,Eoa,"787,746.79",0.05%
0x30a6c852751ab07129df33dd68cd0320dbd54c3e,-,Eoa,"757,484.21",0.05%
0x5766fabeba5aa4071a3e79f23dc388cfb4d5addc,-,Eoa,"749,998.00",0.05%
0x05e3a758fdd29d28435019ac453297ea37b61b62,Coinbase,Eoa,"728,983.91",0.05%
0xa57ea1fae322260364b1e402f53f1b2560e9880e,-,Eoa,"714,431.41",0.05%
0x29eb62882a8bd104a64400a2971d0d6881777043,-,Eoa,"710,898.84",0.04%
0x9bdb521a97e95177bf252c253e256a60c3e14447,Corporate Treasury,Eoa,"681,632.08",0.04%
0x455f65a46899f46d71c0a76da7e374075025d923,-,Eoa,"663,222.42",0.04%
0x36a88116d903b5e46ec40908bdbef15833e743dd,-,Eoa,"636,010.38",0.04%
0x4fe56c2713883a96a1f42c2bf5c596b43f142bbc,-,Eoa,"619,000.01",0.04%
0xaa90b6e5c3b3bbca2761c56b251ab33b0298d98b,-,Eoa,"615,013.65",0.04%
0x5338035c008ea8c4b850052bc8dad6a33dc2206c,mevcollector,Eoa,"599,999.00",0.04%
0x6049563306af27f901c692e028e712cad8ae8a6d,-,Eoa,"549,398.80",0.03%
0x426c4966fc76bf782a663203c023578b744e4c5e,-,Eoa,"539,585.99",0.03%
0x6fc41286090d8ed5910efa0462627426e67f8a01,-,Eoa,"537,134.00",0.03%
0xeb63ee9c8be4c1d14c6d352fad5ca8f933be7af8,DefiSquared,Eoa,"500,000.01",0.03%
0x708ae1ad42a4e8ffe392704dae353c738e6bf75c,-,Eoa,"499,999.64",0.03%
0x61fe3b5486f0db48e23c1195b65c91e351b5965c,-,Eoa,"487,981.73",0.03%
0x03b9a189e2480d1e4c3007080b29f362282130fa,-,Eoa,"485,161.68",0.03%
0xadccfad41a83c1bc3228c8d87aed71e6a5a604b9,-,Eoa,"478,314.30",0.03%
0x3a44740a8c668afc6947a5c437ea073eb10b9b57,eth2-depositor,Eoa,"474,560.59",0.03%
0xd0f9337179d095d744be87b33d569e5c1aa8ce0b,-,Eoa,"466,802.18",0.03%
0xcb49ba13909b0537f46366b16bcfb165da7badd4,-,Eoa,"466,319.30",0.03%
0x555ce236c0220695b68341bc48c68d52210cc35b,DLN Trade,Eoa,"459,884.17",0.03%
0xbafebfd6e47969169045db41f16a78ff0f5e223a,-,Eoa,"458,956.77",0.03%
0x7bbfe279c647171343a5c1a1b2baa863cba2ec77,-,Eoa,"455,866.64",0.03%
0xa188b73fae8ddd9c8fb41929fe5c5904b23268e6,Gate.io Deposit Address,Eoa,"446,053.00",0.03%
0x5f26ec7a4bb4fae3baf7391ac8df46882bd7c42f,-,Eoa,"432,917.81",0.03%
0x6e8a1a1d86b0e757abb948566ee307d14f4eaab9,-,Eoa,"427,959.48",0.02%
0xb8d589b2bf707ac81c0cafbe2a2476fe51187edd,-,Eoa,"426,848.09",0.02%
0xf6d4e5a7c5215f91f59a95065190cca24bf64554,-,Eoa,"425,056.42",0.02%
0x2ba7d13680a05c22c0777ba635583b936fef54d3,-,Eoa,"415,000.00",0.02%
