Address,Address Tag,Type,Token Balance,Percentage
0xb38e8c17e38363af6ebdcb3dae12e0243582891d,Binance Hot Wallet,Exchange,"121,583,289.36",8.50%
0xf89d7b9c864f589bbf53a82105107622b35eaa40,Bybit: Hot Wallet,Exchange,"11,100,602.40",0.77%
0x62383739d68dd0f844103db8dfb05a7eded5bbe6,OKx,Exchange,"9,069,520.24",0.63%
0x0d0707963952f2fba59dd06f2b425ace40b492fe,Gate.io,Exchange,"1,350,023.13",0.09%
0xd6216fc19db775df9774a6e33526131da7d19a2c,KuCoin 6,Exchange,"1,105,237.33",0.07%
0x9b64203878f24eb0cdf55c8c6fa7d08ba0cf77e5,MEXC,Exchange,"1,062,719.59",0.07%
0xc882b111a75c0c657fc507c04fbfcd2cc984f071,Gate.io,Exchange,"568,097.30",0.03%
0x2487cb1a359c942312259bbc64a01cee32e9f539,Woo Network,Exchange,"401,334.04",0.02%
0xb8e6d31e7b212b2b7250ee9c26c56cebbfbe6b23,KuCoin 15,Exchange,"338,273.42",0.02%
0x03e6fa590cadcf15a38e86158e9b3d06ff3399ba,KuCoin 2,Exchange,"316,669.83",0.02%
0x50be13b54f3eebbe415d20250598d81280e56772,Phemex,Exchange,"311,616.98",0.02%
0x7ab6c736baf1dac266aab43884d82974a9adcccf,Nexo,Exchange,"175,300.01",0.01%
0x477b8d5ef7c2c42db84deb555419cd817c336b6f,MaiCoin 1,Exchange,"97,765.48",0.00%
0x4207837d4cd914467eb76bf88c4d6e7ba11ccdf9,Coinspot,Exchange,"62,376.93",0.00%
