Address,Address Tag,Type,Token Balance,Percentage
0xbe3ad6a5669dc0b8b12febc03608860c31e2eef6,Uniswap V3(USDC-USDT),Dex,"4,713,338.26",0.17%
0x641c00a822e8b671738d32a431a4fb6074e5c79d,Uniswap V3(WETH-USDT),Dex,"4,589,749.52",0.17%
0x5969efdde3cf5c0d9a88ae51e47d721096a97203,Uniswap V3(WBTC-USDT),Dex,"2,603,441.84",0.09%
0x7f90122bf0700f9e7e1f688fe926940e8839f353,Curve.fi USDC/USDT (2CRV),Dex,"2,105,220.69",0.08%
0xc82819f72a9e77e2c0c3a69b3196478f44303cf4,Uniswap V3(WETH-USDT),Dex,"1,119,308.25",0.04%
0xaf7b48ae2f4773fd44f9208cca3db5ae7bfa7e37,Uniswap V3(USDe-USDT),Dex,"929,074.20",0.03%
0x53c6ca2597711ca7a73b6921faf4031eedf71339,Uniswap V3(WBTC-USDT),Dex,"700,710.00",0.02%
0x960ea3e3c7fb317332d990873d354e18d7645590,Curve,Dex,"538,909.26",0.02%
0x8c9d230d45d6cfee39a6680fb7cb7e8de7ea8e71,Uniswap V3(USDT-USDC),Dex,"365,161.10",0.01%
0xe4b2dfc82977dd2dce7e8d37895a6a8f50cbb4fb,DODO: USDT-USDC Pair V1,Dex,"353,669.77",0.01%
0x0a4f9962e24893a4a7567e52c1ce37d5482365de,SushiSwap LP Token (SLP),Dex,"245,288.31",0.00%
0xcb0e5bfa72bbb4d16ab5aa0c60601c438f04b4ad,SushiSwap LP Token (SLP),Dex,"214,910.92",0.00%
0x1ebcf8831b93450ea81b0619c5e05b98751c8322,Uniswap V3(FRAX-USDT),Dex,"195,939.24",0.00%
0x84c20145916b6f3cfaa9c14c32d37d9d5887188a,Uniswap V3(WNT-USDT),Dex,"184,746.45",0.00%
0xe5ba76eb3d51f523c80ec6af77c46d0aca82f3e0,Uniswap V3(ENO-USDT),Dex,"173,492.87",0.00%
0x4992de010f1f1b69f7c650b13fb279aa5ee7fef3,Uniswap V3(USDV-USDT),Dex,"167,840.44",0.00%
0x0c4de24bfbc86d1b6ef742f6022b84262a32d5c8,SushiSwap LP Token (SLP),Dex,"120,889.13",0.00%
0x899e2b1756941184ea3957ea6b5b2f00d049bdc8,SushiSwap LP Token (SLP),Dex,"120,224.30",0.00%
0xfe4fa5932899c9a541e8e26b6e7e59506254adec,Camelot LP (CMLT-LP),Dex,"116,280.99",0.00%
0x32a5746ba6826828716cc1a394bc33301ebc7656,Uniswap V3(LINK-USDT),Dex,"98,377.89",0.00%
0x7f580f8a02b759c350e6b8340e7c2d4b8162b6a9,Uniswap V3(DAI-USDT),Dex,"92,367.67",0.00%
0x00c8e9500f32237beecfc8179ae064606d457577,Uniswap V3(LUAUSD-USDT),Dex,"91,245.64",0.00%
0xb8275650fa7a42a5eb8ccffbc35d95df1bcbd6a4,Uniswap V3(MYRC-USDT),Dex,"81,670.78",0.00%
0x6d9adcd38123e9db6711aa21c688ca6f3fea537a,SushiSwap LP Token (SLP),Dex,"79,938.15",0.00%
0xc868f85196facfbbc08b44975f83788dd922e482,Uniswap V3(ZRO-USDT),Dex,"76,785.25",0.00%
0x3ab43147e282667ede827579bb7d5e8d1e814742,Uniswap V3(NGT-USDT),Dex,"76,166.88",0.00%
0xd97c8ee1c1e47f50a66e69d5ad155f882e38b0e5,Uniswap V3(UNI-USDT),Dex,"75,640.98",0.00%
0x47b6de853d181626918eecb1e0ed946a5cf96449,Uniswap V3(EMC-USDT),Dex,"68,709.22",0.00%
0x65960839b68458907ab5312a680df30834603a93,Uniswap V3(ZCHF-USDT),Dex,"63,509.70",0.00%
0x3e08920c0ab3b590186b1e8eb84e66ee274c383f,Uniswap V3(STEAD-USDT),Dex,"54,785.47",0.00%
0x1c31fb3359357f6436565ccb3e982bc6bf4189ae,Camelot LP (CMLT-LP),Dex,"51,628.27",0.00%
0xc50cf16a7b135706be575bfd3347055b108f3c3c,Uniswap V3(Alioth-USDT),Dex,"51,488.43",0.00%
0x480ecf204f510404a720ae9715713a6e682117f9,SushiSwap LP Token (SLP),Dex,"50,165.04",0.00%
0x2db55af6f59b44a9d4b22a53e83bdfbe1aef00bd,SushiSwap LP Token (SLP),Dex,"49,388.06",0.00%
0x10417734001162ea139e8b044dfe28dbb8b28ad0,rhino.fi,Dex,"46,601.31",0.00%
0x82441f1c9ba9412661115fedeaf1acc6f5d450ff,SushiSwap LP Token (SLP),Dex,"43,203.82",0.00%
0xc09254d1be9c3b7335021873546ba480383981d9,Uniswap V3(REUNI-USDT),Dex,"41,544.50",0.00%
0x5275cb087ebe5e7db41bd7c3f9ff52076cfb5aa4,SushiSwap LP Token (SLP),Dex,"41,492.56",0.00%
0xfca081368259b4b4ef92e363453da4b70fee2798,Uniswap V3(USSD-USDT),Dex,"40,334.24",0.00%
0xf34e9112f16de4ebd361d5f0c8521c039ea7f2f4,SushiSwap LP Token (SLP),Dex,"36,263.43",0.00%
0xbfaabce766c86d9c5d70d2cb9d10bab6729197e5,Hashflow,Dex,"35,334.11",0.00%
