Address,Address Tag,Type,Token Balance,Percentage
0x1ab4973a48dc892cd9971ece8e01dcc7688f8f23,Bitget,Eoa,"28,164,884.33",1.07%
0x3931dab967c3e2dbb492fe12460a66d0fe4cc857,Binance:Hot Wallet,Eoa,"16,734,730.88",0.63%
0x25681ab599b4e2ceea31f8b498052c53fc2d74db,Binance:Hot Wallet,Eoa,"15,923,664.35",0.60%
0x9294906c89f5330106be3141d8c58e5731dd168c,-,Eoa,"6,549,999.42",0.24%
0x7c490d17af51292b513c338ebe1323b7e3ba56fa,-,Eoa,"5,999,998.79",0.22%
0x03248f4759ef5c4fddd959aa07a5294e00b03e44,-,Eoa,"5,258,582.43",0.19%
0xd3d3a295be556cf8cef2a7ff4cda23d22c4627e8,BingX,Eoa,"4,305,430.82",0.16%
0xa88f86e5685fca7c5d6de0e4d944875b007137b5,BingX,Eoa,"3,562,783.57",0.13%
0x7a1cf8ce543f4838c964fb14d403cc6ed0bdbacc,-,Eoa,"3,000,001.00",0.11%
0xb86f1061e0d79e8319339d5fdbb187d4e7ad3300,MEXC Deposit Address,Eoa,"2,623,647.02",0.09%
0x489a8756c18c0b8b24ec2a2b9ff3d4d447f79bec,BNB Bridge Exploiter,Eoa,"2,000,000.00",0.07%
0xba35212fe946028543b2978a52fe842212b759dd,-,Eoa,"1,865,534.81",0.07%
0x483848d2c8f7f69b51cb7b39c7d8c3c30f333d79,-,Eoa,"1,499,999.90",0.05%
0xe4516477adacc6682cf18069475f676a5b5667f9,-,Eoa,"1,391,295.05",0.05%
0xa9b686ee77efc18e7a08c48fa823caa0cfdd754e,Flipster:Hot Wallet,Eoa,"1,108,691.00",0.04%
0x1fa37e349858d075d0610971d5534f05338af655,Binance Deposit Address,Eoa,"1,083,180.82",0.04%
0xdfba731884e58ba9b5f7bdd0da294225d8371630,-,Eoa,"1,020,777.66",0.03%
0x63dfe4e34a3bfc00eb0220786238a7c6cef8ffc4,Woo Network,Eoa,"1,015,135.21",0.03%
0x9ff5d02defa71d39a3d4327934eb2a9b1dbfe967,-,Eoa,"906,820.99",0.03%
0xc9c0a099438addbe73e1ace3db2fd090846b9773,-,Eoa,"899,370.36",0.03%
0xce7ec11a5f306c6b896526149db1a86c7d1531e2,HTX,Eoa,"890,979.71",0.03%
0xeff36903b1cb0f82467bead0910ef7197c691619,-,Eoa,"821,369.20",0.03%
0xd6d282a84d47ec048e139322fa80e78186dade59,-,Eoa,"766,712.20",0.02%
0xf6d4e5a7c5215f91f59a95065190cca24bf64554,-,Eoa,"761,617.11",0.02%
0x1ca5aa5b1dd8d948bb0971a5fb1762fe172e0040,-,Eoa,"741,232.04",0.02%
0x9894d1564d4dbf111ac372cbb0c7df17027535fa,-,Eoa,"726,168.80",0.02%
0xa656f7d2a93a6f5878aa768f24eb38ec8c827fe2,Coinbase,Eoa,"688,736.17",0.02%
0xcacb823a3d0c5a8490b1d3e60d1f33ab1eeb0387,Bitkub:Hot Wallet,Eoa,"684,948.59",0.02%
0x455f65a46899f46d71c0a76da7e374075025d923,-,Eoa,"617,295.60",0.02%
0xacc74cfaa8ad730194c1828cc179c78d5c08200e,-,Eoa,"616,888.81",0.02%
0x352314f15cf1660f1960e96fbedce5bd628b976e,-,Eoa,"601,000.00",0.02%
0x59541b99bb0f914ba6e0b5eede2be63d445f4b20,-,Eoa,"550,000.00",0.02%
