Address,Address Tag,Type,Token Balance,Percentage
0x2f5e87c9312fa29aed5c179e456625d79015299c,Uniswap V3(WBTC-WETH),Dex,260.21,2.27%
0x0e4831319a50228b9e450861297ab92dee15b44f,Uniswap V3(WBTC-USDC),Dex,65.15,0.57%
0x5969efdde3cf5c0d9a88ae51e47d721096a97203,Uniswap V3(WBTC-USDT),Dex,47.81,0.41%
0x149e36e72726e0bcea5c59d40df2c43f60f5a22d,Uniswap V3(WBTC-WETH),Dex,34.24,0.29%
0xe9e6b9aaafaf6816c3364345f6ef745ccfc8660a,Uniswap V3(WBTC-tBTC),Dex,27.50,0.24%
0x53c6ca2597711ca7a73b6921faf4031eedf71339,Uniswap V3(WBTC-USDT),Dex,12.22,0.10%
0xac70bd92f89e6739b3a08db9b6081a923912f73d,Uniswap V3(WBTC-USDC),Dex,8.59,0.07%
0x960ea3e3c7fb317332d990873d354e18d7645590,Curve,Dex,8.41,0.07%
0xba12222222228d8ba445958a75a0704d566bf2c8,Balancer V2,Dex,5.90,0.05%
0x515e252b2b5c22b4b2b6df66c2ebeea871aa4d69,SushiSwap LP Token (SLP),Dex,3.50,0.03%
0xcf2f020eeee1c1774c86ea70691913ae5e8affcb,Uniswap V3(BTC.b-WBTC),Dex,3.01,0.02%
0x3e01dd8a5e1fb3481f0f589056b428fc308af0fb,Curve.fi WBTC/renBTC (btcCRV),Dex,2.98,0.02%
0xa79fd76ca2b24631ec3151f10c0660a30bc946e7,Uniswap V3(WBTC-LINK),Dex,2.22,0.01%
