Address,Address Tag,Type,Token Balance,Percentage
0x9dd9c2d208b07bf9a4ef9ca311f36d7185749635,-,Eoa,131.44,1.14%
0xa0894a415c4f246ce95bae718849579c099cc1d2,-,Eoa,120.18,1.05%
0xaea8e3bd369217cc6e3e6abddf0da318fba8e59b,-,Eoa,77.57,0.67%
0x2df3ace03098deef627b2e78546668dd9b8eb8bc,-,Eoa,70.75,0.61%
0x7bcefd1bc97a1af01c5ede3a3199aa11a77b6b45,-,Eoa,54.55,0.47%
0x5c42b37544d188792f92f75556764ce256bad3a4,-,Eoa,50.00,0.43%
0x838edaaede2ab5cfc3eb284c61bc193e2551f822,-,Eoa,47.70,0.41%
0xb6860393ade5cd3766e47e0b031a0f4c33fd48a4,-,Eoa,43.07,0.37%
0x38e481367e0c50f4166ad2a1c9fde0e3c662cfba,-,Eoa,39.42,0.34%
0x63643d4dd9adbe65ace96811a9ec1945cfb0f2c4,-,Eoa,34.63,0.30%
0xbb2ca721211d6c0320308dec70d33e07091b4d7b,-,Eoa,31.72,0.27%
0x7df25ed19086f00e0539c7c9a2a6234e0689905e,-,Eoa,29.99,0.26%
0x44d0f1b9f8020c1bebc2b8c9005725a3b7849899,-,Eoa,29.00,0.25%
0x8cc94dc843e1ea7a19805e0cca43001123512b6a,-,Eoa,27.99,0.24%
0x16812c291ded550b952a6ec93f72588ad51bf3c1,maker-vault-owner,Eoa,21.87,0.19%
0x912807ca5f7f004dd0567eff6b8f6d2715529c87,-,Eoa,20.00,0.17%
0xf6bfec3bdf5098dfac0e671ebce06cbead7a958e,MasterFarmer,Eoa,19.89,0.17%
0x405b6546b16b06eb244ce7ed0075360a70ab20f2,-,Eoa,19.67,0.17%
0x72df34fb807a17371c19824d51b697e295ccccc6,-,Eoa,18.02,0.15%
0x9755e99bdb99495d3d31d953785d993c6df8552e,-,Eoa,17.55,0.15%
0xa15aef397f9dc9de23c8e3df8a289b21d4ca8fcd,-,Eoa,14.50,0.12%
0xead56c18472476c38f427bf3f16c6e4f3b334335,-,Eoa,14.00,0.12%
0x585e405a1c6d4f79e33573242fae763ccd871a8a,-,Eoa,13.37,0.11%
0x6d7823cd5c3d9dcd63e6a8021b475e0c7c94b291,-,Eoa,10.72,0.09%
0x128c42659aef896fd93ebd2b6bb02be0f991d064,-,Eoa,10.05,0.08%
