Address,Address Tag,Type,Token Balance,Percentage
0x2f5e87c9312fa29aed5c179e456625d79015299c,Uniswap V3(WBTC-WETH),Dex,"7,503.56",3.06%
0xc6962004f452be9203591991d15f6b388e09e8d0,Uniswap V3(WETH-USDC),Dex,"7,387.07",3.02%
0xba12222222228d8ba445958a75a0704d566bf2c8,Balancer V2,Dex,"7,196.02",2.94%
0x35218a1cbac5bbc3e57fd9bd38219d37571b3537,Uniswap V3(wstETH-WETH),Dex,"4,014.71",1.64%
0x80a9ae39310abf666a87c743d6ebbd0e8c42158e,Uniswap V3(WETH-GMX),Dex,"2,669.15",1.09%
0x641c00a822e8b671738d32a431a4fb6074e5c79d,Uniswap V3(WETH-USDT),Dex,"1,940.06",0.79%
0xc31e54c7a869b9fcbecc14363cf510d1c41fa443,Uniswap V3(WETH-USDC),Dex,"1,569.29",0.64%
0x149e36e72726e0bcea5c59d40df2c43f60f5a22d,Uniswap V3(WBTC-WETH),Dex,"1,388.49",0.56%
0x5918aca9ae924e6eaaa3d293bb92bdec9ab79338,Uniswap V3(TAP-WETH),Dex,928.68,0.37%
0xc82819f72a9e77e2c0c3a69b3196478f44303cf4,Uniswap V3(WETH-USDT),Dex,864.86,0.35%
0xd6b4cce96ddf8aab2e5750983af9a901f17fbc36,Uniswap V3(ETH+-WETH),Dex,841.12,0.34%
0xb7e50106a5bd3cf21af210a755f9c8740890a8c9,SushiSwap LP Token (SLP),Dex,818.07,0.33%
0xc473e2aee3441bf9240be85eb122abb059a3b57c,Uniswap V3(WETH-USDC),Dex,599.72,0.24%
0xbaaf1fc002e31cb12b99e4119e5e350911ec575b,Uniswap V3(WETH-WETH),Dex,580.21,0.23%
0xbfca4230115de8341f3a3d5e8845ffb3337b2be3,Camelot LP (CMLT-LP),Dex,568.07,0.23%
0xe5cf22ee4988d54141b77050967e1052bd9c7f7a,Uniswap V3(MOR-WETH),Dex,531.83,0.21%
0x6a78e84fa0edad4d99eb90edc041cdbf85925961,Camelot LP (CMLT-LP),Dex,451.52,0.18%
0xdbaeb7f0dfe3a0aafd798ccecb5b22e708f7852c,Uniswap V3(PENDLE-WETH),Dex,434.46,0.17%
0x4cef551255ec96d89fec975446301b5c4e164c59,Uniswap V3(ZRO-WETH),Dex,422.54,0.17%
0x68c685fd52a56f04665b491d491355a624540e85,Uniswap V3(WETH-KNS),Dex,389.28,0.15%
0xa169d1ab5c948555954d38700a6cdaa7a4e0c3a0,Uniswap V3(weETH-WETH),Dex,317.31,0.12%
0x468b88941e7cc0b88c1869d68ab6b570bcef62ff,Uniswap V3(WETH-LINK),Dex,313.78,0.12%
0x3b8c741651e2913c26fa926555a75f09f3255866,Camelot: Dividends treasury,Dex,306.05,0.12%
0xe31d786cc60f2e23ad65646d30546e46227af066,Camelot: Development funds,Dex,292.75,0.11%
0xa67f72f21bd9f91db2da2d260590da5e6c437009,Uniswap V3(XPET-WETH),Dex,283.32,0.11%
0x14af1804dbbf7d621ecc2901eef292a24a0260ea,Uniswap V3(WETH-CRYPTO),Dex,276.14,0.11%
0x1dfc1054e0e2a10e33c9ca21aad5aa8a1cce91e3,Uniswap V3(HEGIC-WETH),Dex,256.24,0.10%
0x09ba302a3f5ad2bf8853266e271b005a5b3716fe,Uniswap V3(WETH-rETH),Dex,217.98,0.08%
0x460c2c075340ebc19cf4af68e5d83c194e7d21d0,Camelot LP (CMLT-LP),Dex,215.06,0.08%
0x9164424a33a89202040f02170431073c59efa1a9,Camelot LP (CMLT-LP),Dex,204.37,0.08%
0x17c14d2c404d167802b16c450d3c99f88f2c4f4d,Uniswap V3(WETH-USDC),Dex,190.52,0.07%
0x1862200e8e7ce1c0827b792d0f9546156f44f892,Uniswap V3(pogai-WETH),Dex,182.87,0.07%
0x05bbaaa020ff6bea107a9a1e06d2feb7bfd79ed2,Uniswap V3(WETH-HMX),Dex,172.91,0.07%
0x960ea3e3c7fb317332d990873d354e18d7645590,Curve,Dex,167.10,0.06%
0x2f020e708811c054f146eebcc4d5a215fd4eec26,Uniswap V3(gETH-WETH),Dex,157.81,0.06%
0xd3e11119d2680c963f1cdcffece0c4ade823fb58,Uniswap V3(Silo-WETH),Dex,152.93,0.06%
0xc6f780497a95e246eb9449f5e4770916dcd6396a,Uniswap V3(WETH-ARB),Dex,150.81,0.06%
0x8dc6efd57a13b7ba3ff7824c9708db24d3190703,SushiSwap LP Token (SLP),Dex,146.29,0.05%
0x905dfcd5649217c42684f23958568e533c711aa3,SushiSwap LP Token (SLP),Dex,135.91,0.05%
0x066b28f0c160935cf285f75ed600967bf8417035,Uniswap V3(RWA-WETH),Dex,123.41,0.05%
0xa961f0473da4864c5ed28e00fcc53a3aab056c1b,Uniswap V3(WETH-DAI),Dex,121.33,0.04%
0x8270e64d22cf13e92c641c4006408c7d7e3ff341,Uniswap V3(WETH-FU),Dex,120.79,0.04%
0x256ba319c286720dc74b53868821ba7eaf628900,Camelot LP (CMLT-LP),Dex,117.75,0.04%
0xb31273fd2dfc05e6fd91a3b8a2a681aeb0fbcf48,Uniswap V3(PRIME-WETH),Dex,115.49,0.04%
0xe32efff8f8b5fdc53803405aa3f623f03f8a8767,Uniswap V3(WETH-TRUF),Dex,109.40,0.04%
0xaf5a29aa5d6c794a3d83ac4d90ba67de7cf2637f,Uniswap V3(WETH-RNG),Dex,109.15,0.04%
0xc0cf0f380ddb44dbcaf19a86d094c8bba3efa04a,Uniswap V3(WETH-EQU),Dex,97.27,0.03%
0x48b0ab72c2591849e678e7d6f272b75ef9b863f7,Uniswap V3(rsETH-WETH),Dex,95.70,0.03%
0xc0f05732d1cda6f59487ceeef4390abcad86ea3e,Uniswap V3(ARC-WETH),Dex,95.58,0.03%
0x7c06736e41236fecd681dd3353aa77ecd19ea565,Uniswap V3(WETH-VKA),Dex,94.93,0.03%
0x470d0d72c975a7f328bd63808bfffd28194b3eb6,Uniswap V3(WETH-hyETH),Dex,92.91,0.03%
0x0c1cf6883efa1b496b01f654e247b9b419873054,SushiSwap LP Token (SLP),Dex,92.56,0.03%
0x69b545997bd6abc81cae39fe9bdc94d2242a0f92,Camelot LP (CMLT-LP),Dex,87.58,0.03%
0xcb198a55e2a88841e855be4eacaad99422416b33,Uniswap V3(tBTC-WETH),Dex,86.85,0.03%
0xe2ddd33585b441b9245085588169f35108f85a6e,Uniswap V3(AFC-WETH),Dex,86.43,0.03%
0xa6c5c7d189fa4eb5af8ba34e63dcdd3a635d433f,Camelot LP (CMLT-LP),Dex,86.41,0.03%
0xd02a4969dc12bb889754361f8bcf3385ac1b2077,Uniswap V3(BPET-WETH),Dex,80.58,0.03%
0x48b2b0d368473cb31d027667955d976c4d5ea37c,Uniswap V3(WETH-GWDX),Dex,79.47,0.03%
0x25faa972bc761044e8cb0e88a8110a6984dcd6e1,SushiSwap LP Token (SLP),Dex,78.16,0.03%
0x56ebd63a756b94d3de9cea194896b4920b64fb01,Uniswap V3(NEXT-WETH),Dex,77.32,0.03%
0xe309fb7c767b849ccee4d97d4c23999d6645b2b5,Uniswap V3(X404-WETH),Dex,77.29,0.03%
0xe01e0b5c707edee3ffc10b464115cc20073817a2,Camelot LP (CMLT-LP),Dex,74.77,0.03%
0x8ff82952cee74c095c1734ee144143a755d3c600,Uniswap V3(BDT-WETH),Dex,73.93,0.03%
0x87e641934d24ec19b8452ae9bba639e461d7517f,Uniswap V3(FFM-WETH),Dex,73.74,0.03%
0xd5270aedeb6f9197cd8d881db74dbd0d994c325c,Camelot LP (CMLT-LP),Dex,72.21,0.02%
0x92c63d0e701caae670c9415d91c474f686298f00,Uniswap V3(WETH-ARB),Dex,70.80,0.02%
0x515e252b2b5c22b4b2b6df66c2ebeea871aa4d69,SushiSwap LP Token (SLP),Dex,70.48,0.02%
0xcb0e5bfa72bbb4d16ab5aa0c60601c438f04b4ad,SushiSwap LP Token (SLP),Dex,64.88,0.02%
0x5b772b00cb6b95c4501e4be75ce7ddd6cb625320,SushiSwap LP Token (SLP),Dex,61.29,0.02%
0x16503510c58da73486950b72a12ead3d1d8355dd,Uniswap V3(ZRO-WETH),Dex,60.46,0.02%
0x84652bb2539513baf36e225c930fdd8eaa63ce27,Camelot LP (CMLT-LP),Dex,58.36,0.02%
0xc73d2191a1dd0a99b377272899a5569ed83f8cd8,SushiSwap LP Token (SLP),Dex,55.88,0.02%
0xed3fe08bd12f24dad0f1a1e58610644debe374fb,Uniswap V3(cbETH-WETH),Dex,55.82,0.02%
0x53d3e59faac08184720bcb2816f4cf5b36d6767d,Uniswap V3(WETH-NST),Dex,53.97,0.02%
0x8f93eaae544e8f5eb077a1e09c1554067d9e2ca8,SushiSwap LP Token (SLP),Dex,53.75,0.02%
0x10052e51797cc9a018d50d112547347e7951c198,Sushiswap(WETH-ASCEND),Dex,53.29,0.02%
0x7dfae4316f3e5758863a056b5b4c8be63c69915e,Uniswap V3(WETH-G3),Dex,51.25,0.02%
0x84436a2af97f37018db116ae8e1b691666db3d00,Uniswap V3(WETH-CRYSTAL),Dex,49.60,0.02%
0xb08a8794a5d3ccca3725d92964696858d3201909,Uniswap V3(PENDLE-WETH),Dex,47.89,0.01%
0x38f29a005b05acb4d95d9834030bdf519e32e83c,Uniswap V3(LILAI-WETH),Dex,47.04,0.01%
0x5180dce8f532f40d84363737858e2c5fd0c8ab39,Camelot LP (CMLT-LP),Dex,46.37,0.01%
0xd55e1512fd2c49687a83b6f5c76cb6e05f8dd05c,Uniswap V3(SANCTA-WETH),Dex,46.05,0.01%
0x172cadb5c332774e7b6d6342c1d996ea3efeb3cb,Uniswap V3(WETH-mxGLP),Dex,45.99,0.01%
0xbee32bffb0cd21278acd8b00786b6e840e7a7108,SushiSwap LP Token (SLP),Dex,45.76,0.01%
0xc24f7d8e51a64dc1238880bd00bb961d54cbeb29,Uniswap V3(WETH-UNI),Dex,44.54,0.01%
0x1b4a3f6ad0b7254e373f47a3e442eea60af693fc,Uniswap V3(WETH-ARCHI),Dex,43.63,0.01%
0xa245416e3bed0e60dd76ef400de7396fc3f4caa3,Uniswap V3(ezETH-WETH),Dex,42.97,0.01%
0x40cc6f68400958bf7225e8a762d3ad41c1064086,Uniswap V3(ezETH-WETH),Dex,41.49,0.01%
0xbc5592c48bf9d4354de4953f57de4f6295dd51b0,Uniswap V3(WETH-ZPC),Dex,40.64,0.01%
0x4fd47e5102dfbf95541f64ed6fe13d4ed26d2546,Uniswap V3(LPT-WETH),Dex,40.48,0.01%
0x0ad1e922e764df5ab6d636f5d21ecc2e41e827f0,Uniswap V3(EMP-WETH),Dex,40.20,0.01%
0x79dc8abe4f1157edfacf9875ecd3e17ae7056268,SushiSwap LP Token (SLP),Dex,39.18,0.01%
0x1944ac04bd9fed9a2bcdb38b70c35949c864ec35,Uniswap V3(PEPE-WETH),Dex,39.12,0.01%
0xc91b7b39bbb2c733f0e7459348fd0c80259c8471,Uniswap V3(GNS-WETH),Dex,39.08,0.01%
0x11eecdbd8f2d670016d061e4c064072e6158ede2,SushiSwap LP Token (SLP),Dex,38.69,0.01%
0xaac7de2b91293ba1791503d9127d2bdf2159db65,Uniswap V3(WETH-rETH),Dex,38.54,0.01%
0x20384b876fab2848cf9f632e5df8c50fe6f311f8,Uniswap V3(rsETH-WETH),Dex,38.37,0.01%
0xf9f588394ec5c3b05511368ce016de5fd3812446,Uniswap V3(WETH-SEED),Dex,37.82,0.01%
0x04dfcc883bd4476e499a026d0982cc0a64b53113,Uniswap V3(RXT-WETH),Dex,37.80,0.01%
0x68fd2f81ac30ef3186dd618947f8be49edb27886,Uniswap V3(TGT-WETH),Dex,36.14,0.01%
0x3a9eda17cdeb285e710eefd7a7f742bdbe183a2f,Uniswap V3(DHDX-WETH),Dex,35.67,0.01%
0x663b1d43c27e41e5e512bf59010133997d1cd304,Uniswap V3(WETH-NRN),Dex,34.82,0.01%
0xa95b0f5a65a769d82ab4f3e82842e45b8bbaf101,Uniswap V3(CRV-WETH),Dex,32.38,0.01%
0x5bc9415d3a5acb558dd56942ab8b74d1e1a0fb3b,Uniswap V3(PEPER-WETH),Dex,32.15,0.01%
0x99dfc0126ed31e0169fc32db6b89adf9fee9a77e,Uniswap V3(WBTC-WETH),Dex,31.38,0.01%
0xdd672b3b768a16b9bcb4ee1060d3e8221435beaa,Uniswap V3(WETH-AAVE),Dex,30.63,0.01%
0xd19e33e94005a78d1b36750b26244397144037b3,Uniswap V3(TN-CSCCv1-ETHUSD-WETH),Dex,29.77,0.01%
0x57b85fef094e10b5eecdf350af688299e9553378,SushiSwap LP Token (SLP),Dex,29.70,0.01%
