Address,Address Tag,Type,Token Balance,Percentage
0xc3e5607cd4ca0d5fe51e09b60ed97a0ae6f874dd,-,Eoa,"4,499.96",1.84%
0x3368e17064c9ba5d6f1f93c4c678bea00cc78555,-,Eoa,"2,970.00",1.21%
0x1eed63efba5f81d95bfe37d82c8e736b974f477b,-,Eoa,"2,891.06",1.18%
0xe4f718a0b06d91cf6ff436d4445315abdf99247b,-,Eoa,"2,111.84",0.86%
0xeebe760354f5dcba195ede0a3b93901441d0968f,-,Eoa,827.47,0.33%
0x4bb7f4c3d47c4b431cb0658f44287d52006fb506,Nexo,Eoa,800.00,0.32%
0x891af9013e202eea5ef1e14e32de01488f579b65,-,Eoa,526.63,0.21%
0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,Jump trading:d621,Eoa,509.42,0.20%
0x6b4e196dfb4df8a4fa5cbd31e07008e345259c9b,-,Eoa,299.75,0.12%
0x0dd23c21a77957dccbac6997236bd7c7b6946ddb,-,Eoa,241.00,0.09%
0xe3b802ae6b072a588cc30dbbb475caa746be6809,-,Eoa,226.84,0.09%
0x428ab2ba90eba0a4be7af34c9ac451ab061ac010,Across Protocol: Relayer,Eoa,204.95,0.08%
0x46a83dc1a264bff133db887023d2884167094837,-,Eoa,200.00,0.08%
0xe7188e83739c7fc1617bf98209e932471a5849b8,-,Eoa,159.99,0.06%
0x0d7d9c4da1e87b49fdc4f2aa3d81623978965439,-,Eoa,149.99,0.06%
0xd94ae278e5907aa734bb895a3729aef074103891,-,Eoa,148.16,0.06%
0xc78ee84e3f4e77c19e126f9606a3222b20e89db5,-,Eoa,124.18,0.05%
0x462dda5b3e8019da377ebb2e60dd1f08ea8022e1,-,Eoa,120.82,0.04%
0x6c241d66bd75774f417134f0268adf43067d7c07,-,Eoa,120.36,0.04%
0x0250f06fc76297fe28d0981f0566f1c0445b3cfe,-,Eoa,118.94,0.04%
0x940a7ed683a60220de573ab702ec8f789ef0a402,-,Eoa,115.45,0.04%
0x7f8ce47c5eee99ff20adccfd951a94441f85b18b,-,Eoa,100.82,0.04%
0xafdbd2220684f6fb345fbc52975023bbc8784698,-,Eoa,99.36,0.04%
0x3014ab992464e3323d4b53570badf782ac897a67,-,Eoa,92.22,0.03%
0x119ebe9492e425adda83db469d40fd8697dc3ffd,-,Eoa,89.99,0.03%
0x0824726485ce5cebc3f359bdf6a9f8e63d2cb674,-,Eoa,86.99,0.03%
0x4fb6779d1a848fd347fd875871fdc20486459af4,-,Eoa,86.95,0.03%
0x4d49cafa333076cc58aee7a128be455c04930cd1,-,Eoa,85.18,0.03%
0x8a8feacc614fa4b59cc2501f680c28e98e57bd14,-,Eoa,84.36,0.03%
0xcc71dd74183ea325f537665678263565c0b7e493,Binance,Eoa,75.47,0.03%
0x4c6062eda9d53d749e6e1ab1676b27aa5730c03f,-,Eoa,75.17,0.03%
0x4bd464fe1dc85b02476b705808c11af8d4de6569,-,Eoa,73.72,0.03%
0x6833df4e1edb361a04491349833c83a4868abcda,-,Eoa,73.45,0.03%
0x2146b9fa8c5eda2bc5071f4c0fa6a4489fedd274,-,Eoa,73.00,0.02%
0xbbe6495f5de6805c3e28bd66b26ad2076c006dc8,-,Eoa,71.80,0.02%
0x090ee598777caddad04df4271b167f38e73a9bf0,-,Eoa,68.73,0.02%
0x002de87ff96d424cec04c24c20913d22b8f1bec7,-,Eoa,68.08,0.02%
0xf2a9867ab1305a40a431169e2a6fe88217bc5f14,-,Eoa,66.00,0.02%
0xce3f6b458744f7cd2a187b830cd8fe532addbbe5,-,Eoa,62.33,0.02%
0x4ab495b6bdea874f72f2cd3dda304975a0c23f6b,-,Eoa,61.69,0.02%
0xb835af52422a14c917d4b37b36c9a73d24770261,-,Eoa,60.15,0.02%
0xf8437348c6d49b2ba516345356d7ebb96520f728,-,Eoa,60.08,0.02%
0xa30c7b2e676be6b0c26d631c8161b62ebebc3cd2,-,Eoa,60.00,0.02%
0xc926ddba8b7617dbc65712f20cf8e1b58b8598d3,Powell,Eoa,58.27,0.02%
0xfc795c6546d75312639962328a452f79b7f9bbc1,-,Eoa,52.84,0.02%
0x6d25d07f5c0dccd0d6c7b3342cd83b902464f06b,-,Eoa,52.13,0.02%
0x6a963573b9a7aaef9cb9eee747e1b6b2c21b0520,THOREUM: Deployer,Eoa,51.62,0.02%
0xe2f35b376461e7fdd2f2e45248e4c3cd9626a933,eth2-depositor,Eoa,50.81,0.02%
0xb497070466dc15fa6420b4781bb0352257146495,-,Eoa,50.01,0.02%
0x5bf37761bd3b49377b8462997bbdc39f36ca80fc,-,Eoa,50.00,0.02%
0x00dee1f836998bcc736022f314df906588d44808,-,Eoa,49.74,0.02%
0xb0aac1f129651e62cde6d1ae683c8a49f4d004d1,-,Eoa,49.15,0.02%
0x44311c91008dde73de521cd25136fd37d616802c,-,Eoa,48.34,0.01%
0xb56ddd4a71b12b0b0486922bbbbd86822321e24d,-,Eoa,48.10,0.01%
0xb8d589b2bf707ac81c0cafbe2a2476fe51187edd,-,Eoa,47.50,0.01%
0x9539b9e9253136f7a7ebdeb32fc51393ebc3a0a8,-,Eoa,46.89,0.01%
0xd91c2fd5c3a9f207e492360d34db7b5792edecfd,-,Eoa,46.58,0.01%
0xd37f3694d700ad701ae294d90642a7767ece430c,-,Eoa,46.52,0.01%
0x4c8be1d302f60434574ed21a007a8ac0bb24e2bf,-,Eoa,45.18,0.01%
0x9d1ad3aa93da59149112c36714c4a1259feb2958,-,Eoa,44.60,0.01%
0xdcf9e7523e257f0047d707aba19e74bcfd7104f3,-,Eoa,44.58,0.01%
0x9b9019d7faf9857d9643e65a15327a755042884b,-,Eoa,42.53,0.01%
0x111bb8c3542f2b92fb41b8d913c01d3788431111,XYZETH,Eoa,42.24,0.01%
0x71ce70a943e45682a1faf71f5d99f53ce83d51ea,-,Eoa,41.81,0.01%
0x21c0d45e3c1a4430c4be2ee9109bc788cac0ffe6,-,Eoa,40.24,0.01%
0x8d55a290d97de0d2edb22e1610bd4d4c167e4cf6,-,Eoa,40.12,0.01%
0xfb481d70f8d987c1ae3adc90b7046e39eb6ad64b,-,Eoa,40.00,0.01%
0x63643d4dd9adbe65ace96811a9ec1945cfb0f2c4,-,Eoa,39.59,0.01%
0xc0664ea1f9ae7c02d58439b655d096fa8bf63a31,-,Eoa,39.56,0.01%
0x54c39a7fa0d8caa251bad55c7abefa43bc8ba749,-,Eoa,39.30,0.01%
0xa311f7ca3eb2fb98123a807f9b8e4bbbdbdcb2ee,-,Eoa,39.11,0.01%
0x02e76ca155ef710ddf846bd8c8192a7d2e91d9cf,-,Eoa,38.95,0.01%
0x41fee4b95886785e490ffbe6aa8a970d5462bf2f,-,Eoa,37.84,0.01%
0x371593db7a8cd658c759ce3e85f2ac2cd0a35ac9,-,Eoa,36.00,0.01%
0xbdf10991c9e734acf2ce1b881a1a539ee24ebc40,-,Eoa,35.78,0.01%
0x8a4aa176007196d48d39c89402d3753c39ae64c1,Chainge Finance,Eoa,35.72,0.01%
0x94dc6498009a8dc2934b4d92fe280f9d7706cae1,-,Eoa,34.01,0.01%
0x554fe9292cd2e2b9469e19e814842c060312ff00,-,Eoa,33.34,0.01%
0x6dfbfa4ab2890dec904a29da24a0b2c07ebb646b,-,Eoa,33.08,0.01%
0x400f643ae9ae6532f974eb51f284f80170063f4b,-,Eoa,33.03,0.01%
0xdbdc7cda64e783396403ea370a85102abe7a3713,-,Eoa,33.00,0.01%
0x1b803a5d7a595a1505f19af8edcccb63fcdfdf7e,-,Eoa,32.56,0.01%
0x1788e79b43b115ea60f44e204ab0d3c641b93515,-,Eoa,31.81,0.01%
0x8ca11f594156fe12e8a8b69925b8b5f4bff88b6a,-,Eoa,31.70,0.01%
0xdcfa2df4d2f469f4c204b703391378731d16bc88,-,Eoa,31.64,0.01%
0xbc21ccdf4a312b372e979a661e5b9c84d313483d,-,Eoa,31.28,0.01%
