Address,Address Tag,Type,Token Balance,Percentage
0x73af3bcf944a6559933396c1577b257e2054d935,Jump:robinhood custody,Eoa,"3,636,989.31",0.00%
0x0100000000000000000000000000000000000000,-,Eoa,"2,847,315.08",0.00%
0x4aefa39caeadd662ae31ab0ce7c8c2c9c0a013e8,-,Eoa,"2,581,639.98",0.00%
0x46f80018211d5cbbc988e853a8683501fca4ee9b,BtcTurk:Cold,Eoa,"2,156,788.54",0.00%
0x13463aab3ecce77cfd8cc28fa498a5f9db242e27,-,Eoa,"1,973,520.47",0.00%
0x94db98738d90bc0ac588d4c2247721b1ef2127be,-,Eoa,"1,000,007.58",0.00%
0x40b38765696e3d5d8d9d834d8aad4bb6e418e489,Jump:robinhood funds,Eoa,"1,000,002.84",0.00%
0x92d1a9792980fee5c67769d463a0eae87c913d4c,-,Eoa,"950,244.11",0.00%
0x2ed32aa78bd83705781b13d7fa71e2b2b7555684,-,Eoa,"938,567.84",0.00%
0xa51cb7b4c449033fe1d1db392ae6208626374a33,-,Eoa,"905,905.40",0.00%
0x2dfc38c8f7b5bb576db3d47b618d8afdfea25cdd,Kraken Deposit Address,Eoa,"875,691.48",0.00%
0xc2de4f542c2e2349ee050541f5ad25aa4be1a00f,Crypto.com,Eoa,"821,576.67",0.00%
0xd0fb78cae69b3468610151d807dc9fbfdb74a147,-,Eoa,"723,563.39",0.00%
0x032c7d5c362b92890f8c806c0deb2e68d6baf6fc,-,Eoa,"694,487.66",0.00%
0x1b8135e9593fb0f03ded1c4f790d55e00b6b84f7,-,Eoa,"665,792.68",0.00%
0x2efb50e952580f4ff32d8d2122853432bbf2e204,Jump Trading: Robinhood Processing,Eoa,"658,192.86",0.00%
0xb3098d4d887ab0bdb554b9d02af14a6cae672af6,-,Eoa,"628,571.00",0.00%
0x346ff41c596937d3d196a7521e52930210068f6d,-,Eoa,"609,238.65",0.00%
0x7cc82b81077db9e900749b90f9520eff2d826687,-,Eoa,"598,272.21",0.00%
0x338412a7684403afa35dc0985e267a9972763149,-,Eoa,"587,928.73",0.00%
0x835678a611b28684005a5e2233695fb6cbbb0007,Binance Deposit Address,Eoa,"583,719.28",0.00%
