Address,Address Tag,Type,Token Balance,Percentage
0xefdc8fc1145ea88e3f5698ee7b7b432f083b4246,Upbit,Exchange,"5,033,903.85",0.01%
0x9da5812111dcbd65ff9b736874a89751a4f0a2f8,Kraken,Exchange,"2,307,746.37",0.00%
0xf89d7b9c864f589bbf53a82105107622b35eaa40,Bybit: Hot Wallet,Exchange,"696,867.24",0.00%
0x3727cfcbd85390bb11b3ff421878123adb866be8,Bitbank,Exchange,"627,210.41",0.00%
0xd6216fc19db775df9774a6e33526131da7d19a2c,KuCoin 6,Exchange,"442,443.13",0.00%
0x5a52e96bacdabb82fd05763e25335261b270efcb,Binance,Exchange,"342,197.96",0.00%
0x7aad7840f119f3876ee3569e488c7c4135f695fa,Crypto.com,Exchange,"250,506.15",0.00%
0xc882b111a75c0c657fc507c04fbfcd2cc984f071,Gate.io,Exchange,"241,113.70",0.00%
0xa16f524a804beaed0d791de0aa0b5836295a2a84,OKX,Exchange,"211,572.36",0.00%
0x3dd87411a3754deea8cc52c4cf57e2fc254924cc,Coinbase,Exchange,"206,768.84",0.00%
0x9f8c163cba728e99993abe7495f06c0a3c8ac8b9,Binance: C-Chain Hot Wallet Hot Wallet,Exchange,"204,401.26",0.00%
0xffb3118124cdaebd9095fa9a479895042018cac2,mexc.com,Exchange,"189,395.90",0.00%
0x0639556f03714a74a5feeaf5736a4a64ff70d206,Bitget,Exchange,"150,508.98",0.00%
0x211ee0129a67e7d44514152eb43d9f31103ac46b,Binance US,Exchange,"95,936.12",0.00%
0x333d17d3b42bf7930dbc6e852ca7bcf560a69003,Coinbase,Exchange,"58,010.20",0.00%
0x6081258689a75d253d87ce902a8de3887239fe80,Robinhood: Withdraw,Exchange,"50,424.79",0.00%
0x0d0707963952f2fba59dd06f2b425ace40b492fe,Gate.io,Exchange,"48,996.93",0.00%
0x2407b9b9662d970ece2224a0403d3b15c7e4d1fe,CoinDCX 2,Exchange,"40,655.06",0.00%
0xb8e6d31e7b212b2b7250ee9c26c56cebbfbe6b23,KuCoin 15,Exchange,"32,103.88",0.00%
0x18709e89bd403f470088abdacebe86cc60dda12e,Huobi,Exchange,"21,958.92",0.00%
0x50be13b54f3eebbe415d20250598d81280e56772,Phemex,Exchange,"20,935.11",0.00%
