Address,Address Tag,Type,Token Balance,Percentage
0x2a716c4933a20cd8b9f9d9c39ae7196a85c24228,Axial,Dex,"532,960.47",3.87%
0x2f1da4bafd5f2508ec2e2e425036063a374993b6,Joe V2.1(DAI.e-USDC),Dex,"37,746.41",0.27%
0x87dee1cc9ffd464b79e058ba20387c1984aed86a,Joe LP Token (JLP),Dex,"29,446.07",0.21%
0xba09679ab223c6bdaf44d45ba2d7279959289ab0,Pangolin Liquidity (PGL),Dex,"26,645.71",0.19%
0x63abe32d0ee76c05a11838722a63e012008416e6,Joe LP Token (JLP),Dex,"11,681.87",0.08%
0x8c3c1c6f971c01481150ca7942bd2bbb9bc27bc7,Axial,Dex,"11,052.03",0.08%
0x26e7c9b2890440866d7d3f8f84b1ccaff443b9d8,Pangolin Liquidity (PGL),Dex,"10,522.13",0.07%
0x459eb852799057912138519eab28c8e0c227c42c,SushiSwap LP Token (SLP),Dex,"8,906.37",0.06%
0x99fd385c84e61c12a13975b198f38d87530f8554,Joe V2.1(DAI.e-USDt),Dex,"5,540.99",0.04%
0x4758441c1f5d067839776456033f6cd0eb9fb3d3,Olive LPs (Olive-LP),Dex,"5,378.48",0.03%
0xbfcd68fd74b4b458961495f3392bf96f46a29e67,ParaSwap,Dex,"4,009.51",0.02%
0xa6908c7e3be8f4cd2eb704b5cb73583ebf56ee62,Joe LP Token (JLP),Dex,"3,812.35",0.02%
0xfe64b906b7ec35f02c49d09e4165cd823e5cb26c,Joe LP Token (JLP),Dex,"3,704.15",0.02%
0x7abab5474385918820dfbc7f35712084a91b583a,Lydia LPs (Lydia-LP),Dex,"2,222.85",0.01%
0x603efefc3ed65e3f5b6730c603b0cfb4426e0f4f,Pangolin Liquidity (PGL),Dex,"2,154.43",0.01%
0x22f6fb1f5cef88210b3b25329cd19a5a10e5ecd7,Joe LP Token (JLP),Dex,"1,507.48",0.01%
0x2e5e4bf853f882ac90809b72b8b5c82968a97e8b,Complus LP Token (COM-LP),Dex,"1,140.74",0.00%
0x221caccd55f16b5176e14c0e9dbaf9c6807c83c9,Pangolin Liquidity (PGL),Dex,"1,059.70",0.00%
0x014604233e95a18341db91983192ced8c65c62b3,Elk Liquidity (ELP),Dex,"1,022.43",0.00%
0xb89b080bb9fb489516fc7fc98bc4eb3f5a92c54e,Curve.fi Factory Plain Pool: UST (wormhole) (USTtrio-f),Dex,999.42,0.00%
0x4ee072c5946b4cdc00cbdeb4a4e54a03cf6d08d3,Lydia LPs (Lydia-LP),Dex,972.12,0.00%
0xc7a1a9303bfed99b227a4716f5c3b60cf514d8c4,Joe LP Token (JLP),Dex,903.12,0.00%
0x27f382534916520f178bf9e201db4cd8172cc7d2,Elk Liquidity (ELP),Dex,776.14,0.00%
0xdfff750529a2eaba8b13e1b81f054ede83ca52a2,Elk Liquidity (ELP),Dex,771.96,0.00%
0xafd37d91117a4eb2197a508463c622be0893d5b9,KyberSwap v2 Reinvestment Token (KS2-RT),Dex,748.47,0.00%
0x149f65a55946160487f046297919e8bd24a111ef,RadioShack Swap LP Token (RLP),Dex,631.18,0.00%
0xc813d23b610044c9d9ec3c723cac8462e2fd838a,Joe LP Token (JLP),Dex,581.39,0.00%
0x122640d3b6d89be015909e9aef9ca16eeea9c742,Thorus LP (TLP),Dex,471.53,0.00%
0xfbdc4aa69114aa11fae65e858e92dc5d013b2ea9,Joe LP Token (JLP),Dex,364.76,0.00%
0x3d78f0511a4c5b5c34b45f4a5dc278d6cd3d36e0,Joe LP Token (JLP),Dex,330.04,0.00%
0x07dca207001d5c523749b0b4704d7b81535c6f1f,Pangolin Liquidity (PGL),Dex,316.47,0.00%
0xb9e85218efe0842522db562f1cc7f21372bafd31,Joe LP Token (JLP),Dex,276.74,0.00%
0x2fb85dc23d5ac0130cea07ef8736bb091b03117d,Joe LP Token (JLP),Dex,237.33,0.00%
0x44f91814c5c766e0762c8c23d65759f631c0abbd,Symphony Finance,Dex,232.08,0.00%
0xef1d48b24e87f8ccff97f7c295b31b92e30f372b,SoulSwap LP (SOUL-LP),Dex,226.33,0.00%
