Address,Address Tag,Type,Token Balance,Percentage
0x1eed63efba5f81d95bfe37d82c8e736b974f477b,-,Eoa,"2,378,423.76",17.28%
0xdfd74e3752c187c4ba899756238c76cbeefa954b,-,Eoa,"329,773.82",2.39%
0xc6f0fec7b47d6e3ac623afcc6a0356cc1026125b,-,Eoa,"150,087.77",1.09%
0x8692af7a84fd02ce4964f0fdd6e1a507ca730809,-,Eoa,"133,113.48",0.96%
0x4ef45e674ba8cf679eee15fd084e963dfb8ff4a1,-,Eoa,"109,826.11",0.79%
0x7bf6e3f01b39caebb11e1604002342d7b831b0d7,-,Eoa,"94,274.96",0.68%
0x4a760bb647db637ea903e6f4eb3b88c6ed301557,Stars Arena Exploiter,Eoa,"74,086.64",0.53%
0x4412307bf3b2d384e217290f6e3e8f82b53869a4,-,Eoa,"66,903.05",0.48%
0x8e24b5f5afbee926fd7d22e4f342f7b6245fcb5e,-,Eoa,"59,421.00",0.43%
0xcb5cea9e0000e02552f520f401d1f6793814c1e2,-,Eoa,"53,843.11",0.39%
0x0069a6d295049ffc66cdcd821f153e7d605bbce1,-,Eoa,"50,055.84",0.36%
0x79cccd661e0c820b7023dd346974f0f27f713e63,-,Eoa,"49,948.75",0.36%
0x21329f3294baab7ac6abb40cb64d966f1d5f0413,-,Eoa,"46,285.97",0.33%
0x5e12fc70b97902ac19b9cb87f2ac5a8593769779,-,Eoa,"46,016.15",0.33%
0x86fdd9980acd3e2c8e7959db344ff6d5fd5743f5,-,Eoa,"36,544.66",0.26%
0xa7b386ea66b3798eb50c9e6aa68d7f23e4d86fee,-,Eoa,"31,503.22",0.22%
0xc4424e22b997f4bbd172c4f539646be37f65e287,-,Eoa,"29,044.84",0.21%
0xe36290969ea0a7000bf45547a347e284bbf0d41e,-,Eoa,"28,736.84",0.20%
0x5e3ce2edb69268410c1cbbac455ee8bac009acd8,-,Eoa,"25,610.00",0.18%
0xa6b3792279070973ae134dcbdd44a90932db0ec4,liquidstaked,Eoa,"23,858.05",0.17%
0x8457ad2f99766ee5837f198191b5967cd6a3d474,-,Eoa,"21,647.97",0.15%
0x04a5e795d404c66e4cb57c998f26a82fb930ba99,-,Eoa,"21,390.99",0.15%
0xe13d47200cf72d6fa4b7922d0ec27b58f7c19f98,-,Eoa,"20,603.13",0.14%
0xea8bb22d29ad7ab51904a071b1ede1a5cd66fb68,-,Eoa,"20,281.99",0.14%
0xd5a2d022a9e46e678fb0d9f97d7df14734d6d5f1,-,Eoa,"20,265.84",0.14%
0x8602db6f9f805a92bb3071e667a7e8b818c4e48f,-,Eoa,"20,240.65",0.14%
0x4df7a334c028cb75bd44a2d7f32b5aacba8b5462,-,Eoa,"19,448.48",0.14%
0x8f03c55f59770e81f517fd25290dfca92770b752,-,Eoa,"18,774.14",0.13%
0x9ab5054506671545de9ce8075af35dba9ad7477a,-,Eoa,"16,969.16",0.12%
0x10c2963988f0a33ac7c729ecd5e925b2d09a7674,-,Eoa,"15,522.39",0.11%
0xe0d581d9565902312194601406adc18271589cfa,-,Eoa,"15,000.20",0.10%
0x09dba932057a89e08f6937494a880e4f582e0ab9,-,Eoa,"14,111.72",0.10%
0x1f6b882310872220d52e24d4361fe850d9e207a8,-,Eoa,"14,033.78",0.10%
0x098a02e5576a7b16450e45be68a629947403a17f,-,Eoa,"12,719.86",0.09%
0x1f1f3baaf6690ebf7ad61c7bf786b811db959da7,-,Eoa,"12,544.16",0.09%
0x594e8f089442512c5b02441b8dffafbe92cf46bd,-,Eoa,"12,331.46",0.08%
0x8c6687520dc8d54fd00fe2cef8238be69b57af9c,-,Eoa,"12,270.00",0.08%
0x86a0cdb3b134a0b99a883eb5671509c2f13ee206,-,Eoa,"12,269.07",0.08%
0x8a4aa176007196d48d39c89402d3753c39ae64c1,Chainge Finance,Eoa,"12,020.41",0.08%
0x273a7b4036af0305b2f558280db8925359c42c5c,-,Eoa,"11,678.34",0.08%
0x1eaf07a6e5cd1fe7de25fbe384108429a29b643e,-,Eoa,"11,198.48",0.08%
0xeff9c1bb2f7d02021aded1ee75d479cb39c2d2a7,-,Eoa,"11,195.39",0.08%
0x5d8548bc16b402b1b6c6f2667854150028bc074f,-,Eoa,"11,154.56",0.08%
0x51dabe9f107a92366839f96b55f9755e1e936ddb,-,Eoa,"10,794.76",0.07%
0xc1097de38762a4cee31ec43a0adfe9dc76bfd652,-,Eoa,"10,105.47",0.07%
0x22c90bc05ac3275109a3d2b1990491a667930aa2,-,Eoa,"10,056.00",0.07%
0xe3014fc1d1934193e93f4f6130bbbc043732cef9,-,Eoa,"10,000.00",0.07%
0xafd9700d391165c0b597c31d89eca6d38182fd14,-,Eoa,"10,000.00",0.07%
0xb3f988a32310033bc9c14c1ad733e9fee6c9b4b8,-,Eoa,"9,792.66",0.07%
0x5d7df9102d422e1b472292dba7fcaa1e072c0276,-,Eoa,"9,775.96",0.07%
0x8edf56189f13f3e251f93b5c883c11e321129dd8,-,Eoa,"9,686.00",0.07%
0x5b9f5b08ff0f2bab05b6f52a45febee9fa2cf6d7,-,Eoa,"9,377.87",0.06%
0x5061f271a0a1d2f0617ac350fc44cd37fdb80651,-,Eoa,"9,259.11",0.06%
0x6c31eb825b69185dddbe101a241d2f771329a440,-,Eoa,"9,001.48",0.06%
0x356ee97d7d560af2e97e9f9eee56b2e09d60e6f5,-,Eoa,"8,996.99",0.06%
0x7aace692a97f121aa21b70d94dcd641a07d32064,-,Eoa,"8,911.32",0.06%
0x3ce588bc072765fb51ffbeac2c4e03c2d642f41f,-,Eoa,"8,274.44",0.06%
0x0f68ef73422a369ebeb59840830bca7bdb47b390,-,Eoa,"8,145.99",0.05%
0xd23cb8b0e12f18ed44af4834fa7ca9b13bf311e7,-,Eoa,"8,061.36",0.05%
0xff08397c74152290d7ca931921700f997dc2d7da,-,Eoa,"8,059.30",0.05%
0x22161250b01f19cd774e22d1d39ba436f9a4d3e2,-,Eoa,"7,991.36",0.05%
0x42e096b3df62cfd0c8a9f4a7e8e0a14e72162b91,-,Eoa,"7,591.31",0.05%
0xfb408a7a2e9298f6e21090ededf04f829f8ac63a,-,Eoa,"7,500.49",0.05%
0x848a34eff7c952a0dc90708958fc556d4650a979,-,Eoa,"7,000.71",0.05%
0x060c169c4517d52c4be9a1dd53e41a3328d16f04,-,Eoa,"6,775.08",0.04%
0xd7a6db4e1769487e18cc18acc679ea86095fb3ef,-,Eoa,"6,458.97",0.04%
0x0f1dfef1a40557d279d0de6e49ab306891a638b8,Abraxas Capital Mgmt (Heka Funds),Eoa,"6,351.72",0.04%
0x4fb3592d6a8ae7d9f54fffa3d067341587d7c59e,-,Eoa,"6,261.20",0.04%
0x441999e7c1331193c6b453f4d359ebacb44d96a3,-,Eoa,"6,249.99",0.04%
0x652740d58e182a6ae5fd5217063094a98d6ab8d1,-,Eoa,"6,171.02",0.04%
0xb57deccd4b0aa811fe1ec947c66ee65c08617a76,Wirex,Eoa,"6,138.21",0.04%
0x3aa034edb404cfe7c4964dc8fdda3c219fa5daaf,-,Eoa,"6,074.60",0.04%
0x045fa29d35586c574224527360c15819bdec719f,-,Eoa,"5,948.49",0.04%
0xb37c260f65985ee1aa05f4d56e6bcef560b1b397,Binance Deposit Address,Eoa,"5,940.55",0.04%
0xa80ce1ff1b399d51e3d8858d12518252b27bd185,-,Eoa,"5,935.01",0.04%
0xd535e4a9184c070b4104f417d09a101b9abd41f4,-,Eoa,"5,841.28",0.04%
0xb9d5f0c1e8047e4ffe0ba0bdb96da5b695e69a42,-,Eoa,"5,699.69",0.04%
