Address,Address Tag,Type,Token Balance,Percentage
0x330f77bda60d8dab14d2bb4f6248251443722009,Joe LP Token (JLP),Dex,"737,590.52",0.12%
0x1a731b2299e22fbac282e7094eda41046343cb51,Trader Joe,Dex,"735,253.20",0.12%
0xe6c7e4142b0cb24f2bfa7b9a50911375f8ee8db9,Joe V2.1(EUROC-USDC),Dex,"514,243.02",0.08%
0x9b2cc8e6a2bbb56d6be4682891a91b0e48633c72,Joe V2.1(USDt-USDC),Dex,"368,757.96",0.06%
0xf4003f4efbe8691b60249e6afbd307abe7758adb,Joe LP Token (JLP),Dex,"359,209.03",0.06%
0xd1cfc81c44655d635a19c7e779eb80e27fbec7b2,Joe V2.1(USDV-USDC),Dex,"305,191.92",0.05%
0x7c13d4c3e9dfa683e7a5792a9ff20cb5fd22b0c0,Joe V2.1(USDC.e-USDC),Dex,"275,698.61",0.04%
0x2a8a315e82f85d1f0658c5d66a452bbdd9356783,Joe LP Token (JLP),Dex,"246,594.36",0.04%
0x4224f6f4c9280509724db2dbac314621e4465c29,Joe V2.1(BTC.b-USDC),Dex,"236,496.00",0.04%
0x3c0ecf5f430bbe6b16a8911cb25d898ef20805cf,Pangolin Liquidity (PGL),Dex,"99,540.50",0.01%
0x3bc40d4307cd946157447cd55d70ee7495ba6140,Joe LP Token (JLP),Dex,"89,108.69",0.01%
0x8a9c36bc3ced5ecce703a4da8032218dfe72fe86,Pangolin Liquidity (PGL),Dex,"77,081.86",0.01%
0x1784b2ff6841d46163fbf817b3feb98a0e163e0f,Pangolin Liquidity (PGL),Dex,"67,239.56",0.01%
0xe2b11d3002a2e49f1005e212e860f3b3ec73f985,Joe V2.1(USDT.e-USDC),Dex,"62,161.64",0.01%
0xbfcd68fd74b4b458961495f3392bf96f46a29e67,ParaSwap,Dex,"44,969.75",0.00%
0x1da20ac34187b2d9c74f729b85acb225d3341b25,Curve.fi Factory Plain Pool: YUSD Pool (YUSDCRV-f),Dex,"36,274.17",0.00%
0x2f1da4bafd5f2508ec2e2e425036063a374993b6,Joe V2.1(DAI.e-USDC),Dex,"34,750.20",0.00%
0xd1cadc1738d6a550ceca6d851135cd280fbd1275,Joe LP Token (JLP),Dex,"32,235.89",0.00%
0x4514c70a27a2e6035859d477b86c4e21b6209bf6,Joe LP Token (JLP),Dex,"27,319.82",0.00%
0xc82c535ac8a665b8a2c1a414a8bb0a3cc7923c77,SushiSwap LP Token (SLP),Dex,"15,585.78",0.00%
0x0b729682785ea6ebe3fc6a80fbf65c64097b71bf,Joe LP Token (JLP),Dex,"14,788.99",0.00%
0x322216f0fd4f78744a3614686de96f1c1e626303,Joe V2.1(USDT-USDC),Dex,"13,196.29",0.00%
0xb800a0d09db7359b2a216f47185fa3339b23ac3d,Joe LP Token (JLP),Dex,"12,528.32",0.00%
