Address,Address Tag,Type,Token Balance,Percentage
0x4aefa39caeadd662ae31ab0ce7c8c2c9c0a013e8,-,Eoa,"294,333,197.82",49.79%
0x978b21a854dbefcd6d51dfd269875d158046240b,Binance:Hot Wallet,Eoa,"35,430,399.18",5.99%
0xcddc5d0ebeb71a08fff26909aa6c0d4e256b4fe1,Binance:Hot Wallet,Eoa,"7,606,978.13",1.28%
0x3bce63c6c9abf7a47f52c9a3a7950867700b0158,Binance:Hot Wallet,Eoa,"6,147,525.07",1.04%
0x6d8be5cdf0d7dee1f04e25fd70b001ae3b907824,Binance:Hot Wallet,Eoa,"5,464,392.20",0.92%
0x05cdb1526f6e224e02919a4c018d9784ea25eb3d,Luno,Eoa,"5,033,259.58",0.85%
0xaba2d404c5c41da5964453a368aff2604ae80a14,Binance:Hot Wallet,Eoa,"4,507,570.08",0.76%
0xb624219480543c54603fb6b07d5eb347e51bffe0,Coinbase,Eoa,"4,090,344.18",0.69%
0xbf14db80d9275fb721383a77c00ae180fc40ae98,Circle,Eoa,"2,995,561.45",0.50%
0xb2650951708409453aa8fb09624b8bbd93c957b8,Coinbase Deposit Address,Eoa,"2,426,556.43",0.41%
0x187b2d576ba7ec2141c180a96edd0f202492f36b,Crypto.com,Eoa,"2,277,842.76",0.38%
0xc13fda27301ef1d34cd3fc7a086a23824e94b0ed,-,Eoa,"2,206,145.17",0.37%
0xa523d2d2e9a2ee4089e57f77bedebec9b36bf318,-,Eoa,"2,013,741.26",0.34%
0x95be845f81a2cd3b9cf83e80a8209f0309f6a7aa,-,Eoa,"1,942,637.11",0.32%
0x1ab4973a48dc892cd9971ece8e01dcc7688f8f23,Bitget,Eoa,"1,393,857.57",0.23%
0x5eac7ff0954d71f3841f9636557e5b681530b1dd,-,Eoa,"1,298,230.30",0.21%
0xae783a7c8c607efe00548a0592bf9cdb50903b79,-,Eoa,"1,230,232.56",0.20%
0x7ed53f6e3de6b2b4156fa8e618506e60d8e65843,Coinbase,Eoa,"1,138,469.53",0.19%
0x5c7f517d8388e082863806ebbce1a6893d63e7d3,-,Eoa,"1,000,000.88",0.16%
0xfe359dea9cd4d7908c6e6cf0e44090140407efcf,-,Eoa,"1,000,000.00",0.16%
0x04c8a19ca2a7fa1e42760926230bd3e90f1c6b26,Binance Deposit Address,Eoa,"1,000,000.00",0.16%
0xa04ea2173463f46165565c069aad652a9e9580cd,-,Eoa,"980,954.49",0.16%
0x3a2434c698f8d79af1f5a9e43013157ca8b11a66,-,Eoa,"902,440.14",0.15%
0x5f775030135165d0dd21a2c409af9e8f3e78fcc4,-,Eoa,"899,799.99",0.15%
0x5e12fc70b97902ac19b9cb87f2ac5a8593769779,-,Eoa,"798,230.11",0.13%
0xbedb3afda063057e04ec047468256b332aa58a27,OKX:Hot Wallet,Eoa,"643,399.29",0.10%
0xc90c0687202d14f7aff7f64437c56a0179e233d9,-,Eoa,"579,927.65",0.09%
0x77746168d153649d6305e59409ad8f4700000000,-,Eoa,"572,216.59",0.09%
0xd87863fea847c4675c17347e59f8aaad0e805dae,-,Eoa,"515,892.00",0.08%
0x8eca9a9f66c3db0141e647dfa0a5143ed7052677,-,Eoa,"503,122.03",0.08%
0xf6c56cf235d0de19dee288d11fec020e0bd8853d,-,Eoa,"500,000.00",0.08%
0x133462477ddfead16b5af234a66519414f64ca7c,-,Eoa,"475,346.81",0.08%
0x55b5d473e68dc083de5e253a1d473212bc91f936,-,Eoa,"426,282.32",0.07%
0x5770815b0c2a09a43c9e5aecb7e2f3886075b605,SwissBorg,Eoa,"413,583.54",0.07%
0x441837daa52de65d88fe404437923dcb9200cdad,-,Eoa,"407,222.45",0.06%
0x33db8bb4d33fed988ce7a3d2022e59a6143c57cc,-,Eoa,"398,265.33",0.06%
0xf5472a7d4d3acbf9687107d6a3f76aca7b9b85a5,-,Eoa,"382,252.11",0.06%
0xcc2da711d621a4491b338cac88b9c0954db3e75b,-,Eoa,"374,746.13",0.06%
0xfa3caee814196060c7c08e649ca7018b7db00065,-,Eoa,"363,399.41",0.06%
0x79cccd661e0c820b7023dd346974f0f27f713e63,-,Eoa,"344,933.98",0.05%
0x3070f9d3c1d888ba91d0fc97f63c537f371950f5,-,Eoa,"336,297.56",0.05%
0x53093b22c30e669d89169f993ca0e913995c0724,-,Eoa,"322,829.24",0.05%
0x1658cfbc8e4dc34efa371e5746765da7a755218b,-,Eoa,"319,880.03",0.05%
0xc2de4f542c2e2349ee050541f5ad25aa4be1a00f,Crypto.com,Eoa,"313,200.55",0.05%
0xd2f850d61ae09ea615eaed75afe5c8f7e9eb4aa2,-,Eoa,"305,166.60",0.05%
0xd7f1f8b13b23c6e9471e990b4d1ed84c01ca438e,-,Eoa,"299,814.59",0.05%
0x65c4b6feda69f8f846c7fb1f5eaaacdeeabecea9,-,Eoa,"286,212.28",0.04%
0x0bfabc0366890762dbf84cee270570caf2668cbc,-,Eoa,"285,129.30",0.04%
0x31c176a96b1d4bd90edcb7b97244882791ff112a,-,Eoa,"282,927.85",0.04%
0x03995ff7a22d077e00e7581d97f7cc3d1543a3ae,-,Eoa,"264,839.53",0.04%
0xb2f2ac403deeaa7109c49e8fe2ca07c7a73c5ccb,-,Eoa,"249,755.55",0.04%
0x4b3ec9e30cc19bd9ccc28d17dcaf21fa7bbb842b,-,Eoa,"249,410.00",0.04%
0x5aff01e3a80790c75f15fc6aebd615c8343d4126,-,Eoa,"240,274.82",0.04%
0xb60c61dbb7456f024f9338c739b02be68e3f545c,Nexo: 0xb60,Eoa,"238,846.36",0.04%
0xaa9edebb0c96175d4131a2f099152075cad48ec2,-,Eoa,"226,782.23",0.03%
0x4cd80aa0ce4881eb8679eda1f6fbe3d89aec0f7f,-,Eoa,"226,509.60",0.03%
0x731c47a2473e4105a05938daf719f652c9abd9e0,-,Eoa,"220,055.06",0.03%
0x4a4e859565d9b563afc8e63641542455cff0dfd2,Coinbase,Eoa,"208,729.10",0.03%
0xb3f90d22cddeac0e35f22dcf5acd3f23c2f4c649,-,Eoa,"205,990.62",0.03%
0xbabe777e1a43053c273bd8a4e45d0cb6c20f8fc6,-,Eoa,"205,477.63",0.03%
