Address,Address Tag,Type,Token Balance,Percentage
0xf89d7b9c864f589bbf53a82105107622b35eaa40,Bybit: Hot Wallet,Exchange,"8,798,853.19",1.48%
0x9f8c163cba728e99993abe7495f06c0a3c8ac8b9,Binance: C-Chain Hot Wallet Hot Wallet,Exchange,"6,676,925.85",1.12%
0xc882b111a75c0c657fc507c04fbfcd2cc984f071,Gate.io,Exchange,"4,198,105.31",0.71%
0x211ee0129a67e7d44514152eb43d9f31103ac46b,Binance US,Exchange,"3,180,451.41",0.53%
0x7e4aa755550152a522d9578621ea22edab204308,OKx,Exchange,"3,019,605.33",0.51%
0x7aad7840f119f3876ee3569e488c7c4135f695fa,Crypto.com,Exchange,"1,303,326.72",0.22%
0x0d0707963952f2fba59dd06f2b425ace40b492fe,Gate.io,Exchange,"1,002,307.14",0.16%
0xffb3118124cdaebd9095fa9a479895042018cac2,mexc.com,Exchange,"539,184.11",0.09%
0x3dd87411a3754deea8cc52c4cf57e2fc254924cc,Coinbase,Exchange,"196,563.42",0.03%
0x87cbc48075d7aa1760ac71c41e8bc289b6a31f56,Withdrawals,Exchange,"32,026.57",0.00%
