Address,Address Tag,Type,Token Balance,Percentage
0x4aefa39caeadd662ae31ab0ce7c8c2c9c0a013e8,-,Eoa,"703,705,399.64",51.64%
0x46f80018211d5cbbc988e853a8683501fca4ee9b,BtcTurk:Cold,Eoa,"8,852,917.14",0.64%
0x978b21a854dbefcd6d51dfd269875d158046240b,Binance:Hot Wallet,Eoa,"8,065,484.40",0.59%
0xaba2d404c5c41da5964453a368aff2604ae80a14,Binance:Hot Wallet,Eoa,"6,572,522.20",0.48%
0x3bce63c6c9abf7a47f52c9a3a7950867700b0158,Binance:Hot Wallet,Eoa,"5,191,504.02",0.38%
0x6d8be5cdf0d7dee1f04e25fd70b001ae3b907824,Binance:Hot Wallet,Eoa,"4,859,398.44",0.35%
0x1ab4973a48dc892cd9971ece8e01dcc7688f8f23,Bitget,Eoa,"4,647,063.41",0.34%
0x42a178633240601d3485e1f51d8b62ea58c9b5ae,Gate.io Deposit Address,Eoa,"3,999,927.84",0.29%
0x59abf3837fa962d6853b4cc0a19513aa031fd32b,FTX Hacker 1,Eoa,"3,970,098.71",0.29%
0xf5472a7d4d3acbf9687107d6a3f76aca7b9b85a5,-,Eoa,"2,819,066.48",0.20%
0xa77ff0e1c52f58363a53282624c7baa5fa91687d,HTX,Eoa,"2,698,460.45",0.19%
0x489a8756c18c0b8b24ec2a2b9ff3d4d447f79bec,BNB Bridge Exploiter,Eoa,"1,729,320.75",0.12%
0x0d4630233b27c0d6873eb9903117264bd1fa9c92,-,Eoa,"1,558,267.16",0.11%
0x53791d976107e463e91a607dcc1954370f55162d,-,Eoa,"1,096,648.82",0.08%
0xfe5504ef8ea4392536383215be72c68312c0ed95,-,Eoa,"1,077,964.68",0.07%
0x1ca5aa5b1dd8d948bb0971a5fb1762fe172e0040,-,Eoa,"924,814.50",0.06%
0xde2faca4bbc0aca08ff04d387c39b6f6325bf82a,-,Eoa,"814,437.33",0.05%
0xf6d4e5a7c5215f91f59a95065190cca24bf64554,-,Eoa,"768,508.35",0.05%
0xe071c184db2faf0542b83a043fa251671839aeeb,-,Eoa,"653,129.73",0.04%
0x97358f1eae2e6174122313c768df7a3f8f5274b2,-,Eoa,"609,800.00",0.04%
0x9dc2f2eb768704ca32afebc751e11a7827f0ab15,-,Eoa,"514,157.35",0.03%
0x56ff954b793c48460051af4adb7d8e16b349a543,-,Eoa,"461,832.87",0.03%
0x02a78632215262a94ce8651846e7d22adc98ce3c,-,Eoa,"451,730.60",0.03%
0xbcd93566ee5c12ab20a01cdd26c68b55eefbac61,-,Eoa,"450,831.59",0.03%
0xee3199db522fc97d1c2b9990584b968c012da2ca,-,Eoa,"440,425.80",0.03%
0x21097a336e7a63ba30a93429efe5c2ae42ba2827,-,Eoa,"429,112.72",0.03%
0x63dfe4e34a3bfc00eb0220786238a7c6cef8ffc4,Woo Network,Eoa,"411,681.72",0.03%
0x855f1eda1bde17e1f4e6c8c5364b17bf555f832c,Binance Deposit Address,Eoa,"361,636.97",0.02%
0x1c5ed9020111353f8e4d637a65e763ddfe01b80b,-,Eoa,"334,395.01",0.02%
0x7b7b957c284c2c227c980d6e2f804311947b84d0,Alameda Research:Bankruptcy,Eoa,"315,146.82",0.02%
0xa83e883e16c9f7a516d4be0ed2fd2a582d6dab91,-,Eoa,"300,247.19",0.02%
0x6b365af8d060e7f7989985d62485357e34e2e8f5,Cobo.com:Custody,Eoa,"294,624.97",0.02%
0xb51a4481c184638d73d972d58213c86aa9e7e951,-,Eoa,"289,691.50",0.02%
0x91013c9c7c2a856b26df52a8a117afeb9fc90379,-,Eoa,"278,360.73",0.02%
0x693b75eed71dfa1be188fdb53472c8fc51c5a0a0,-,Eoa,"264,544.80",0.01%
0x0b0ee8e6570c47debe98710c60a265bf3db7fb89,-,Eoa,"250,487.60",0.01%
0x52a258ed593c793251a89bfd36cae158ee9fc4f8,BetFury,Eoa,"232,683.03",0.01%
0x11235534a66a33c366b84933d5202c841539d1c9,-,Eoa,"228,391.23",0.01%
0x975ca8fa15c649e9607dfa4ef245d952ac18d46c,Gate.io Deposit Address,Eoa,"218,120.09",0.01%
0x0923f9685dd1c2569dd5486da048c4a667a7e03b,Gate.io Deposit Address,Eoa,"212,999.89",0.01%
0x4b2cad10b86c42fb79518d0ee4905d2868a77d42,-,Eoa,"211,562.47",0.01%
0xc9fac7dea9622886bfd5031160abcb25cac942f9,-,Eoa,"211,155.23",0.01%
0x5d738fbf1d8940bbe72af847d88c517064de76e7,-,Eoa,"210,590.31",0.01%
0xa5f3785fc99e1a3484a21e8a43b3a192a7ca1681,Gate.io Deposit Address,Eoa,"200,007.84",0.01%
0x2c98d5ff2c7e0696c09c3933a74541e99e76c4f7,Gate.io Deposit Address,Eoa,"194,900.00",0.01%
0x3b60e3a06af5aa4da178aade658211a0d3f51222,-,Eoa,"191,936.54",0.01%
0x8a1307a8aaec0fdfb648eb022f4e9b563ec6b230,-,Eoa,"183,000.00",0.01%
0x9bda8ccc5fc1b555432c01489f9cb0549e9351a7,-,Eoa,"180,052.61",0.01%
0xa1536795ce8c3a9e832d78021751e57c637e2d1d,-,Eoa,"176,996.04",0.01%
0xcefa44b7e2c98527169b5dbccc210457d0dcbf07,-,Eoa,"169,259.56",0.01%
0x3384f2afefbee8256babea3316cd11aa0657bd4d,-,Eoa,"167,300.80",0.01%
0x03995ff7a22d077e00e7581d97f7cc3d1543a3ae,-,Eoa,"163,264.76",0.01%
0x2f78b9ebf70d878c34c3969da6821413b0a646a9,Binance Deposit Address,Eoa,"159,999.78",0.01%
0xc4a821e55687587171d9e56a140f42bb488f81ef,Gate.io Deposit Address,Eoa,"151,500.00",0.01%
0x9256bb50e94d654d83139dde80ab2b09bc77e37e,-,Eoa,"150,000.00",0.01%
0x1c7daf820b498507963a931cf120ddd507109d42,-,Eoa,"149,930.51",0.01%
0xa0387adba7636722abe119cbf9220ce0b9938b0b,Xeggex,Eoa,"149,307.54",0.01%
0x4716090226d6ab9ff787c15ced26b2a99aaf9349,-,Eoa,"145,595.01",0.01%
0x79cccd661e0c820b7023dd346974f0f27f713e63,-,Eoa,"143,830.72",0.01%
0x30273fe97daa77d2345645982797c4cf9d1ba111,-,Eoa,"141,364.30",0.01%
0x19f9dda57196e161e8e943bb0766c150f05fa3d5,-,Eoa,"136,916.57",0.01%
0xc1c77533a8eaf55400e7aa4bec4898b63d9634a8,Gate.io Deposit Address,Eoa,"136,194.12",0.01%
0x21f1601742aecb505856fe25ea116f9f61a6443d,-,Eoa,"134,582.03",0.00%
0xe79b30333dc260029ff71831e55f42d9cc9dac24,-,Eoa,"129,999.78",0.00%
0xe8feaa03795e199f17448ac5374bdf878fcb5d5d,-,Eoa,"129,417.10",0.00%
0x659478852120b000aefae86742d835a37864d4f2,Gate.io Deposit Address,Eoa,"119,999.78",0.00%
0x039ac6fbcebf02b54259bc690e13540693d9eb8d,Gate.io Deposit Address,Eoa,"118,658.00",0.00%
0x6c2f7d5502b983707b5e4bd6f78b0a01282d8221,-,Eoa,"116,998.54",0.00%
0xb60c61dbb7456f024f9338c739b02be68e3f545c,Nexo: 0xb60,Eoa,"116,474.68",0.00%
0xf1771f5ec17a4986698a1aba161f8b312bf37a18,-,Eoa,"113,834.90",0.00%
0xdf19a90ff4667416222cb461cd16cce149af8bc4,-,Eoa,"112,571.48",0.00%
0x9ef63958c90cf47f78ad489d5881ef2737601111,-,Eoa,"111,279.01",0.00%
0x4e565f63257d90f988e5ec9d065bab00f94d2dfd,-,Eoa,"110,429.37",0.00%
0x34019b9a5af7fb2fe22fdfaecea12888434ef6be,-,Eoa,"109,611.14",0.00%
0xfc03a9b35fcc774adaf3277dee5fa306c0be64d8,Gate.io Deposit Address,Eoa,"108,156.53",0.00%
0x1db90dc3917cdd9fb96e4996e5e6a0bc0161b4ca,-,Eoa,"107,636.93",0.00%
0x4e345d91dc0c4fffc2de8a88d7feb4fe0b5d175f,-,Eoa,"106,672.71",0.00%
0x4b2fa9680ace405af73d9005c7fa0f181e2f4619,Gate.io Deposit Address,Eoa,"104,999.67",0.00%
0xd9aeec3545691cffe94f875269d15713fb009485,Gate.io Deposit Address,Eoa,"103,999.67",0.00%
0x710dfabbaeb429fedf1f4785f209145075d862be,Gate.io Deposit Address,Eoa,"100,499.89",0.00%
0x455257931ce82c3ddbbe3353eabcf0e6a6d77d1f,-,Eoa,"100,341.43",0.00%
0x693473a9491f4b3ef16ff2fcbe4f5c58c061515d,-,Eoa,"100,100.00",0.00%
0x074305ee92351bb8f66900ed270d701838d5facd,Binance US Deposit Address,Eoa,"100,099.72",0.00%
0xa2841ca9ee5f5dced644fc2b025c24cbd1997582,Gate.io Deposit Address,Eoa,"100,000.00",0.00%
0x6e93bb1f6c6b944ec571e7d26466780e1d6704c0,Gate.io Deposit Address,Eoa,"100,000.00",0.00%
0xef01d7404e1b735456c1054d848fa7b80bbc339d,Gate.io Deposit Address,Eoa,"100,000.00",0.00%
0x49a6fbe97c7bcc827186688ff3f84d813933332d,Gate.io Deposit Address,Eoa,"100,000.00",0.00%
0x36980a9467299ae76ba522a3af2c9e792f3b6d74,Gate.io Deposit Address,Eoa,"100,000.00",0.00%
0x857ace5142ef452bb2f26f46960176072068ec70,Gate.io Deposit Address,Eoa,"99,999.89",0.00%
0x90aeae1c42d4943c31d4342afb7b6aea1cf96058,Gate.io Deposit Address,Eoa,"99,999.89",0.00%
0xede42c7f8dcbd999d8dd2c47d0eb2fe0d0ea4d53,Gate.io Deposit Address,Eoa,"99,999.67",0.00%
0xd716c6b0f89569a6465d7415d4093f3928fbcbd1,-,Eoa,"99,986.80",0.00%
0x968f0d9240678054587d68fcb6972e4769586ccb,Gate.io Deposit Address,Eoa,"98,809.34",0.00%
0x6ed01e8e465b1604a75c3b0989e3ca5f028f60c0,Gate.io Deposit Address,Eoa,"97,949.85",0.00%
0xf391b1ecf840a1104b4be915fcf33995db9fb0e7,Gate.io Deposit Address,Eoa,"97,077.08",0.00%
0xc466ec78b2230d421ddafb480c07a16fd7bb60c0,Gate.io Deposit Address,Eoa,"96,099.89",0.00%
0x26c03138058676693cd2b298704abf26e9907b88,Gate.io Deposit Address,Eoa,"95,999.91",0.00%
0xa0b19e60985614a054360cc2eefbafad9f45fb5d,-,Eoa,"94,257.46",0.00%
0xa25e76811436e275fde010aa1bd1080400a4b3e2,-,Eoa,"92,824.63",0.00%
0x494a68f121ba0f3cc47477b2e1b708a6338d7969,-,Eoa,"90,682.89",0.00%
0x0374726d3487102e68f50d61259ff291048d0a40,-,Eoa,"90,368.59",0.00%
0x449e2836556b3c591c0d3f459a97bbb50c47025e,-,Eoa,"90,001.00",0.00%
0xc5bff998e1dc082fea9f9d31d807ed177a4936e6,-,Eoa,"89,999.88",0.00%
0x805a7d778560da4ed004dbe41f69f6c70dc26cb5,-,Eoa,"89,428.56",0.00%
0xec9b374e1585aa23ac004189bf075891040e83e7,-,Eoa,"88,082.48",0.00%
0x1a8f52c794f37c0232569aa3308ff0c45c314721,-,Eoa,"88,000.00",0.00%
0xee937a6667e52957469f41bf5326e6a73477b721,-,Eoa,"85,608.31",0.00%
0xf545837bd1f86831eb5e197d4828dd5d49791969,-,Eoa,"84,859.14",0.00%
0x290b6ebbdca04ee984fb8617e1b92deea23052e3,-,Eoa,"84,612.50",0.00%
0x246ca0fe1f67c4550b425582b0a54b756d788f0c,-,Eoa,"84,417.55",0.00%
0x60bb24f7ff0e94b9fbf76f85639680f3769d89ca,-,Eoa,"81,000.00",0.00%
0xffab14b181409170378471b13ff2bff5be012c64,mohas9898,Eoa,"80,000.00",0.00%
0x718e3994abe649f6e5ac420f321a6d675104b0a8,Binance Deposit Address,Eoa,"78,343.00",0.00%
0x7e2c4a8c380d1205630ee141c72a0c1f889e97b6,-,Eoa,"78,276.02",0.00%
0x0909d49a2de5b9f87b7b3e86a4bcfe8099742b96,-,Eoa,"75,317.79",0.00%
0xd98e816d0836134d649db36c60bda1c4eb91b2bd,-,Eoa,"74,067.00",0.00%
0xeb684ba3670d43f7d0dad32be83797886eb2bb2b,-,Eoa,"73,765.19",0.00%
0xb860db9d581bd95835c5512433ef86225aaced1f,-,Eoa,"72,495.02",0.00%
0x472decacdcbd744ae880af32e40867795bf53a63,-,Eoa,"72,489.44",0.00%
0x4c24a4c9d8146bf017ca2f20a1f6634998fa674b,-,Eoa,"71,000.01",0.00%
0xa7fb5ca286fc3fd67525629048a4de3ba24cba2e,B2BinPay:Hot Wallet,Eoa,"69,941.09",0.00%
0x5e12fc70b97902ac19b9cb87f2ac5a8593769779,-,Eoa,"67,911.51",0.00%
0xd904caa5a4ef6e1a70e052899d6699c21b293513,-,Eoa,"66,653.21",0.00%
0x8fc27c899fb2c1044608516450e385378195639d,-,Eoa,"64,932.53",0.00%
0x35afb1c8a6074a0f570a02674bcbeecabaad1274,-,Eoa,"63,771.92",0.00%
0x393524082a465be73a55610290af4eb506646df4,-,Eoa,"63,681.65",0.00%
0xfb8f9661c60003cd740813a181c1fb6cdf0c9b08,-,Eoa,"63,510.00",0.00%
0x2e85acaf46e1e9b3cd3b760f1424bb4355b46e01,-,Eoa,"63,146.64",0.00%
0xec95df2a75da9da885e9f383d62c0976726da34e,-,Eoa,"62,694.81",0.00%
0xf9e782702e97793be1119e99120f266b5d47bcf6,-,Eoa,"61,905.56",0.00%
0x282c093ecea50b0aceaf7695e4bc75019b0af8ec,-,Eoa,"61,645.41",0.00%
0xeb5c7bc80ba684a7f729b36ff2ade7d4a4d41c70,Gate.io Deposit Address,Eoa,"61,499.89",0.00%
0x545ac099871d87e6c7d55b004187187e1b3a6d7f,-,Eoa,"60,999.54",0.00%
0x8ac01c8913aaa3374f8c33c8d4032326411ea74d,Gate.io Deposit Address,Eoa,"60,857.17",0.00%
0xecaccfaafbe81e91a1cb9bc2e9613be6bb0027c9,-,Eoa,"60,793.20",0.00%
0xa595984e370ad9adf66287997d57593f64a57a58,-,Eoa,"60,706.91",0.00%
0x72cd7af0276596c2027ba903634a1f471d4d7b91,-,Eoa,"60,390.50",0.00%
0x02ea1da49c430f1997795055813e89479db0a755,Gate.io Deposit Address,Eoa,"59,998.00",0.00%
0x374a37847a04c6cb78c77386350528e716383642,Gate.io Deposit Address,Eoa,"59,699.78",0.00%
0x496b40804f6b63e84454437b177baa73fdf3fafc,-,Eoa,"59,413.81",0.00%
0x0fde32a92d1b4f2a182a757704facfb3f09478da,-,Eoa,"59,198.97",0.00%
0x7f664413c54f7c3cca89a040369979a226ab0a56,-,Eoa,"59,158.35",0.00%
0x37c528c05f00f81d0a6dd86a5a7d39a9e6c2c9a0,Gate.io Deposit Address,Eoa,"56,916.88",0.00%
0x379a27a57d6ae4bbc56f0e8176e8a363ffd61ed3,Gate.io Deposit Address,Eoa,"56,885.45",0.00%
0x96ac3a11043feb792bd2bda70985ddf3394a0c12,-,Eoa,"55,941.17",0.00%
0x7e266a70646d3c3a7b64e90d8a67ac9ac267b808,-,Eoa,"55,355.74",0.00%
0xee4502dc8c2952c1e1957ede1956462f0e0521f6,-,Eoa,"55,001.56",0.00%
0xdc9b1d03c709b11ddb26081346adac287629f550,-,Eoa,"55,000.00",0.00%
0x20083a3fddd035b7da8735c5b7b18f969d5049f1,-,Eoa,"54,008.16",0.00%
0x907e14af9572b3d63328f449b1ab5a5af02db8a0,-,Eoa,"53,545.96",0.00%
0x023bf71bbff3f0a286a7c185dee2ae812ecce131,-,Eoa,"52,770.54",0.00%
0xcae9f512bf3745f7c07d2b3e9ec5886f1ccc5ef4,-,Eoa,"52,750.45",0.00%
0x068b957d05df7d7e559487b16e86f01e5f4ab784,-,Eoa,"52,683.12",0.00%
0xb93e5ad435128f3b5fe2c3a4f8d9da9caeaff91c,-,Eoa,"52,596.69",0.00%
0xb714e87f95565d253e97973578c81971994a4669,-,Eoa,"51,935.15",0.00%
0x39076db922162f71047b9a76a9bd80e3ba9cbb91,-,Eoa,"50,503.62",0.00%
0xe13c4741c0fccdbac3270b27bd4b62fbc7f6f4c1,-,Eoa,"50,301.48",0.00%
0xe40d548eb4fa4d9188fd21723f2fd377456c0876,Binance Deposit Address,Eoa,"50,064.00",0.00%
0x031639d1aa22e39cb5d0ad83a9a00ad0dbdd3dd1,-,Eoa,"50,061.46",0.00%
0xb273d5d14a8044a5ac0e4afc521053a1be6b6d2c,Gate.io Deposit Address,Eoa,"50,000.00",0.00%
0xa533f2f3d6da6f19a02cd044e83e286c66c6a60b,-,Eoa,"49,999.78",0.00%
0xb80d90fcf2ed0e4febe02d2a209109bf1f62df95,-,Eoa,"49,339.73",0.00%
0xb260deab4c49837e4fe87f691cdd6167781af215,-,Eoa,"49,288.76",0.00%
0xf429e193b046945635a849350316bce80dd1a5e0,-,Eoa,"48,295.65",0.00%
0x619a4ae17a16c1b05432c84d15977aaccdeb527f,-,Eoa,"47,715.22",0.00%
0x4f98270f76b318f52544ec3c20351f79eb0e743a,-,Eoa,"46,662.01",0.00%
0x56435da7e9dd2d1a56a215f8806f1369fa2c4946,-,Eoa,"46,346.44",0.00%
0x0605a2b1844c9c5075c172952f24c0f93a807d7f,-,Eoa,"46,329.01",0.00%
0x936175eefe4aaa6ca928ef79b5d5224bfc02ef56,-,Eoa,"45,999.78",0.00%
0x8c6d3b94546644d6226e677017880bf03894b4ee,mattali007,Eoa,"45,872.24",0.00%
0x5baa6efc397bd3c38e906deb6b369dd59d0f0409,-,Eoa,"44,999.78",0.00%
0x070f12c1c50d0953d187ec2e0c8cbdab5c3e43c5,-,Eoa,"44,346.17",0.00%
0x7c88461d689b59b737be357a1986ee3bb0f09418,-,Eoa,"44,115.61",0.00%
0xccd890f9efdcee702d0453dfed5992c56170f3cf,-,Eoa,"43,738.00",0.00%
0x18fa593791d54fbc0099b90e835cb5304eb3feef,-,Eoa,"43,433.46",0.00%
0x05736527b54d7d6cfcbe59599eba907566053357,-,Eoa,"42,941.55",0.00%
0xf00b1cef0ea177a324d7697fd639e7417d22d8eb,-,Eoa,"42,836.50",0.00%
0xa2653cfafaeed7116fde57dbbd2e55cbeae03f58,-,Eoa,"41,516.64",0.00%
0x3c898044540f105786b7dbc2010577d90778c0b3,-,Eoa,"41,456.14",0.00%
0x145a625965fd6ace636ceaebdbbd345c84337829,-,Eoa,"41,200.61",0.00%
0xbbe322a489a8d00481ffa8a7fba5cf466eb442a4,Gate.io Deposit Address,Eoa,"40,798.01",0.00%
0x7b1953febd87d74830f17a0de437d9880c68700f,-,Eoa,"40,419.08",0.00%
0x04431d7f4b9279e85069dcf1a107251575e85dd1,-,Eoa,"40,081.69",0.00%
0x4e09ec5a56eb368111d48ea699aac23fead87961,-,Eoa,"40,028.46",0.00%
0x5d8cf514fcf27c5db0f91003f1dd4a1328a00645,-,Eoa,"40,000.69",0.00%
0xa598a0086e053e4d90532fb1269d92901dd8e034,-,Eoa,"40,000.00",0.00%
0xc584ee02807864911d58a3c6e13a87a55a5d70bb,-,Eoa,"40,000.00",0.00%
0x6eee3818d5f08e8d6bad79abd69ad54fa2df5ad0,Gate.io Deposit Address,Eoa,"39,999.89",0.00%
0xee905ad4d625fb8c703de6137d89e3f0b1ef4193,Gate.io Deposit Address,Eoa,"39,999.89",0.00%
0x3974cb1957434efc1593456b573f878442ab8e4c,Gate.io Deposit Address,Eoa,"39,999.89",0.00%
0x5eb6f71b8cf62500cc85e306c0ba59e035ee4f94,Gate.io Deposit Address,Eoa,"39,999.89",0.00%
0x5b11eadc577427b240014d4f90c11ffd7c31f7df,-,Eoa,"39,999.00",0.00%
0xd1825433e2b37f415bb58eca7d0572470b014ec4,-,Eoa,"39,839.45",0.00%
0x6e591317c2595e446928b50096770a273f17538a,-,Eoa,"39,241.91",0.00%
0x2c40af9fbc0140a44ef913a971da62dbbb60d1a6,-,Eoa,"38,780.68",0.00%
0xb8b19530ac14e654a7f4ee68322f0ed2eb689a12,-,Eoa,"38,378.57",0.00%
0xba34ff24b68e2a05652dd15efb869cc6d5d772bc,-,Eoa,"38,203.43",0.00%
0xbeb676fc00ccfd7c279ece6daf88ade3cab7b0f0,-,Eoa,"38,198.41",0.00%
0x89e3a37aa2a58a7f62a0cc67dba704a679d4708c,-,Eoa,"38,153.15",0.00%
0xc187ba53ba161aea1b1cca6b7fb8aebcc330d268,-,Eoa,"38,000.00",0.00%
0xed4af9ba4f10fd0c78422106c361dfa1844f2fbd,-,Eoa,"37,371.00",0.00%
0x849fd67e5498a7f49c4bbe2465c9a609c6e3f32b,-,Eoa,"37,318.36",0.00%
0x3c6c17922e64867ec99e719594c181241653949c,-,Eoa,"37,126.81",0.00%
0x841d8d1688921bab4d1cff4526fdc5fce7bcd8c1,-,Eoa,"36,685.00",0.00%
0x61678d64855fd5d0976f0f897f4eb3600dbe0ac3,-,Eoa,"36,392.38",0.00%
0x06b1893fa3027b246a722d9faf560d56668a7e41,-,Eoa,"36,127.82",0.00%
0x001c62433c039ac24a63a3d1720c10c64dc0e267,-,Eoa,"35,999.85",0.00%
0xa1bf788a71d86ae5c20930fd526b3eab6a92f8f8,-,Eoa,"35,590.28",0.00%
0x613053d16b1bee237a86ba0476bfb1fc4f5fa83a,-,Eoa,"35,541.42",0.00%
0xc6b1f03adc8dd31460f2020401b12a764031a28b,-,Eoa,"35,491.51",0.00%
0x933db824ebc0f05b04fcdb3e3d2f94cef8e455f1,-,Eoa,"35,412.02",0.00%
0xc1f610863dec992069fa2c006d4478abff84be95,-,Eoa,"35,130.43",0.00%
0x2f75b88d65757eef6ad755192d611942b2c538f7,-,Eoa,"34,799.09",0.00%
0x5d8817df6b38418fdc4d9852a80b959292ee812a,Gate.io Deposit Address,Eoa,"34,759.89",0.00%
0x64c3aace619ab2dcd8dba8818127d3fc91b90f86,-,Eoa,"34,372.12",0.00%
0x1cf80df14b4df787c908e23f283f6fd096e38b03,-,Eoa,"33,992.49",0.00%
0xd016fcdfb3bd8d640cf355bfacfd3bb1955543d5,-,Eoa,"33,975.76",0.00%
0x0fb7351ece395c7a1cdefb3b8b1efb4bf73f88b3,-,Eoa,"33,573.38",0.00%
0xc2ea06e24aef74027362ac421d942deccde71520,Gate.io Deposit Address,Eoa,"32,964.19",0.00%
