Address,Address Tag,Type,Token Balance,Percentage
0x5a52e96bacdabb82fd05763e25335261b270efcb,Binance,Exchange,"169,037,320.48",12.40%
0x5754284f345afc66a98fbb0a0afe71e0f007b949,Tether: Treasury,Exchange,"142,558,707.89",10.46%
0x9f8c163cba728e99993abe7495f06c0a3c8ac8b9,Binance: C-Chain Hot Wallet Hot Wallet,Exchange,"68,855,410.83",5.05%
0xf89d7b9c864f589bbf53a82105107622b35eaa40,Bybit: Hot Wallet,Exchange,"36,432,990.65",2.67%
0xee5b5b923ffce93a870b3104b7ca09c3db80047a,bybit,Exchange,"24,000,050.20",1.76%
0x7e4aa755550152a522d9578621ea22edab204308,OKx,Exchange,"16,023,250.07",1.17%
0x77134cbc06cb00b66f4c7e623d5fdbf6777635ec,Bitfinex,Exchange,"9,188,457.41",0.67%
0xc882b111a75c0c657fc507c04fbfcd2cc984f071,Gate.io,Exchange,"5,727,315.92",0.42%
0x0d0707963952f2fba59dd06f2b425ace40b492fe,Gate.io,Exchange,"4,730,045.16",0.34%
0x211ee0129a67e7d44514152eb43d9f31103ac46b,Binance US,Exchange,"4,187,273.33",0.30%
0xffb3118124cdaebd9095fa9a479895042018cac2,mexc.com,Exchange,"1,785,178.82",0.13%
0x3dd87411a3754deea8cc52c4cf57e2fc254924cc,Coinbase,Exchange,"1,099,171.79",0.08%
0x18709e89bd403f470088abdacebe86cc60dda12e,Huobi,Exchange,"719,877.85",0.05%
0x333d17d3b42bf7930dbc6e852ca7bcf560a69003,Coinbase,Exchange,"368,553.33",0.02%
0x0639556f03714a74a5feeaf5736a4a64ff70d206,Bitget,Exchange,"44,094.48",0.00%
