Address,Address Tag,Type,Token Balance,Percentage
0x1eed63efba5f81d95bfe37d82c8e736b974f477b,-,Eoa,33.76,4.67%
0xaa9edebb0c96175d4131a2f099152075cad48ec2,-,Eoa,21.73,3.01%
0xe0ab5950124e083f9b6786e1ec207215cc4955d2,-,Eoa,10.00,1.38%
0x0210477b906051e4115a95d924292387a78d9b6e,-,Eoa,8.09,1.12%
0x29f52c4190105082576da0990b9e8e7379d84d65,-,Eoa,3.78,0.52%
0x4e9b2f2b72f6a5b3735cd18357f0f0ef950d1ba7,-,Eoa,3.73,0.51%
0x2986e79aec55129e165d021b9c5be6fd849652e9,-,Eoa,3.70,0.51%
0x138e3589fb7c296d8550c16cef477f5b5b025666,-,Eoa,3.18,0.44%
0x2ed99ac6dfa95a567d3c248e42ccc2307f84a4b5,-,Eoa,2.96,0.41%
0x552f20616e2bc66b0ad5e57543cbc548d831742d,-,Eoa,2.85,0.39%
0x44192edfc89768b1c77216cb5b7aaed871131b90,-,Eoa,2.24,0.31%
0xdfd74e3752c187c4ba899756238c76cbeefa954b,-,Eoa,2.15,0.29%
0xd6b521319180c6363e6efa49614d6345de89d3fc,-,Eoa,2.09,0.29%
0xe27f96420295dc8405e34fc6dd9ba05049e5ff06,-,Eoa,2.04,0.28%
0xcc5b1fef95f632c4a25f95ad88bfe12f928d04cb,-,Eoa,2.00,0.27%
0x70981296c3358984f725bc5309aa82010e9b1726,-,Eoa,2.00,0.27%
0xf2cf421290479534f0bbba269e10e0054704f5d0,-,Eoa,2.00,0.27%
0x8b14d5848ee0d213f245eeba532a6b68bc9e05d2,-,Eoa,1.95,0.27%
0xae38426f9de80a6bc93370b39aefc0e9fb962b6f,-,Eoa,1.89,0.26%
0x428f80cfb774abb003adbe5d605b7d17fef1b90e,-,Eoa,1.73,0.23%
0xd2cf1dd33d609b44f2a4d5596304a371346207c5,-,Eoa,1.72,0.23%
0x076eab1704d4fe39430fe931991258291290988a,-,Eoa,1.71,0.23%
0xc80588705502ff53bf3543856c38b921f25427d1,-,Eoa,1.70,0.23%
0x6eec0cc615afc0a1f16fb6af458ea68555c2c125,-,Eoa,1.62,0.22%
0x3f6ab56f2c0458afdf250e78a583c427264f9ebf,-,Eoa,1.61,0.22%
0xbaf57ec47be86219b9aee7d1dece31340b21c938,-,Eoa,1.58,0.22%
0x77010ed9546d3bf1f6b435d07d93273e5621b319,-,Eoa,1.51,0.21%
0x4307011e9bad016f70aa90a23983f9428952f2a2,-,Eoa,1.31,0.18%
0xb99809054ed1ac794b4f65584c0c5d4286e42fd2,-,Eoa,1.28,0.17%
0xed3405686eae51eef688803cd58b9a1354c4b417,-,Eoa,1.18,0.16%
0xe0fc880e23c8ec6eacad41d0a3aa3e7b945e32d0,-,Eoa,1.11,0.15%
0xcd4146502bbf7022ac0985afb986375726780e06,-,Eoa,1.10,0.15%
0x1b8dd2054770097b1128e58a0cdb600e93a5c5de,-,Eoa,1.10,0.15%
0xf900a16afb9e709112028ebe161a59b675ea3b48,-,Eoa,1.08,0.15%
0x089b73a777b8366688f498dbca2987fbbaf2e1f6,-,Eoa,1.08,0.15%
0xc3c10ce9d1a47bb69535da3c5273682de54d396d,-,Eoa,1.04,0.14%
0xac2c96029bd43b9d43bb74f817b36265614938f7,-,Eoa,1.00,0.13%
0x515dff512c5c4a7aae7603d19b43fda696c40115,-,Eoa,1.00,0.13%
0x7396a414d7231437b7355398afbb58f582109a32,-,Eoa,1.00,0.13%
0x4db4c33b3571c5402774790eff5ca7763b6b792e,-,Eoa,1.00,0.13%
0x3268befbd2f42ad7b4f5ab0b0ecf9a23992d957f,-,Eoa,1.00,0.13%
0x9c08d20703fd226b0e4ebf9ce81bd1c38fa98cac,-,Eoa,1.00,0.13%
0x9fc0c351f947dedc060332cd2fc8a8312fce87df,-,Eoa,1.00,0.13%
