Address,Address Tag,Type,Token Balance,Percentage
0x9bdb521a97e95177bf252c253e256a60c3e14447,Nexo:Corporate Treasury,Eoa,526.95,1.96%
0xaa9edebb0c96175d4131a2f099152075cad48ec2,-,Eoa,233.92,0.87%
0x78135caa874a3efc2d08361f5aa43738e2933350,-,Eoa,139.69,0.52%
0x673f5704020459c8762e3d8e0eb8dac99b9775ba,-,Eoa,111.83,0.41%
0x59281a1d9c2992f60ab1a2f563638404d881fc7c,-,Eoa,100.63,0.37%
0x5b5337a1a531066d05f1e01052cb2ea8cbd30e41,-,Eoa,86.62,0.32%
0x50b1ba98cf117c9682048d56628b294ebbaa4ec2,RJNW,Eoa,84.06,0.31%
0xa523d2d2e9a2ee4089e57f77bedebec9b36bf318,-,Eoa,77.92,0.29%
0xfa407dca9c0d0fe86e18266d7f7da8e026211329,-,Eoa,75.81,0.28%
0xb911e3b68168fbc29ed61b942986110cc07adeb3,-,Eoa,73.62,0.27%
0xa61f742bd85a371768c63c953e9b4168457afcd0,-,Eoa,70.34,0.26%
0x8cbee4b481112e44b92817b26f96918221489485,-,Eoa,67.07,0.25%
0x02a640df08cf4867d6cd366f8dbab30eed45160a,-,Eoa,63.74,0.23%
0x6454e7fe1747a9ba59bde959a19aa585f8eca778,-,Eoa,61.50,0.22%
0x3fd88fff3e77e12b82ed4e9069dabc5e184588af,-,Eoa,60.00,0.22%
0x10f0108c83a1ce54f5d0fd50a3f762aef5fd2bac,-,Eoa,58.63,0.21%
0x5c20c155648b5f10dc88929f0f34c4176f6e8df7,-,Eoa,55.61,0.20%
0x3c1b19b3406fa53fcc6c00c1438f15c0e4fa2aa1,-,Eoa,53.77,0.20%
0x4cf82fe8e0072d546729d005b08faeeab8528cb7,-,Eoa,50.06,0.18%
0x9ba05d38f8386d985547a50e4f46b9a91744f6c6,-,Eoa,45.07,0.16%
0x321d0a5c0abdeaeef75f3c5f630caa194e5d310b,-,Eoa,44.99,0.16%
0xeb11255b15600390e60a7aa1fbe1c821f6d0fd8a,-,Eoa,43.23,0.16%
0xd839db910fd2ae169f4d53a84eb182a2e50760c3,-,Eoa,41.82,0.15%
0xfe55c0ec3642fc79d4eb2c591a0641f187fb0337,-,Eoa,41.30,0.15%
0x0f47f281f734fdb719e1a818d4b7b807efc657a8,-,Eoa,40.62,0.15%
0x62122a13f620aa1c3e2b0ce7a6f6bd15212bf655,-,Eoa,39.00,0.14%
0xda5fa5f6e4f4265e9de9da171cb04536b4ad9d0b,-,Eoa,38.80,0.14%
0xe7af87c6c6ec02cc7ee98c3adc555e4231dce8f3,-,Eoa,37.47,0.13%
0xd8f20d1bddc03934e4cb71ed394182bfa05ab2f7,-,Eoa,37.38,0.13%
0xcbe19f73fedd492a10339c431db4eda6ec6eea32,-,Eoa,36.22,0.13%
0xade3983b6ee3205ad0b546e9cdcc8b91bf549bc1,-,Eoa,36.02,0.13%
0x70981296c3358984f725bc5309aa82010e9b1726,-,Eoa,30.39,0.11%
0x994de9ad657d0d048050ad7a89c36f520132fb16,-,Eoa,30.17,0.11%
0x187b2d576ba7ec2141c180a96edd0f202492f36b,Crypto.com,Eoa,29.56,0.11%
0x623558a2664abb93b77da98ca2ca4e9b24810f32,-,Eoa,28.30,0.10%
0xcc5b1fef95f632c4a25f95ad88bfe12f928d04cb,-,Eoa,28.00,0.10%
0x53ffbd60dcd335db8cfcf747e96dcc2e53fcb998,-,Eoa,26.51,0.09%
0x25aff79e18254a825d6f3e8098400be5d2cdf963,-,Eoa,25.96,0.09%
0xdfd74e3752c187c4ba899756238c76cbeefa954b,-,Eoa,25.40,0.09%
0x7d13eeceacd9e773aa9a9b6d43b7883dfe1deb54,-,Eoa,23.88,0.08%
0xed63f66e8f667e961a5fa8c86f68b89a20520ef3,-,Eoa,23.87,0.08%
0x5aff01e3a80790c75f15fc6aebd615c8343d4126,-,Eoa,22.27,0.08%
0x2f25298309b33e41e1b2614be6e51ca2957305d2,-,Eoa,21.99,0.08%
0x5f59ee380b05f149407baed4b4c2f918cb5bb399,-,Eoa,21.66,0.08%
0x72e350b88c86459700053288663e109e4bbd9471,-,Eoa,21.44,0.08%
0xb84dfdd51d18b1613432bfae91dfcc48899d4151,-,Eoa,21.00,0.07%
0xff8ba4d1fc3762f6154cc942ccf30049a2a0cec6,Tokka Labs (Altonomy),Eoa,20.81,0.07%
0x3927d68f09b4fa3b0942731cb624f18fa32ef272,-,Eoa,20.51,0.07%
0x1b8dd2054770097b1128e58a0cdb600e93a5c5de,-,Eoa,20.31,0.07%
0x6f4e348b06fe918e6736bf341d5061a5c7c11f07,-,Eoa,20.28,0.07%
0x585a2982eb79ac54f1d71d8c3accba879cb4e882,-,Eoa,20.00,0.07%
0xc803698a4be31f0b9035b6eba17623698f3e2f82,-,Eoa,19.99,0.07%
0xd6e8f087bd2f6ae4528f89928cf39ccb103cab93,-,Eoa,19.61,0.07%
0x77919b706af0036c0a195fdbcb670ae56570b7b3,-,Eoa,19.05,0.07%
0xa1deadced9ee364f47e2f32914209e61c52312f2,-,Eoa,18.77,0.07%
0x549a4447e4726cc3a5d0d1a429a0a8a20eed95e2,-,Eoa,18.71,0.06%
0xf72d9af3155da29e316cd7223a68b9fc33323218,-,Eoa,18.44,0.06%
0x9038c454c37fbb30ba7dad2e3c1ac2e9de630de2,-,Eoa,18.38,0.06%
0x64a29bafc298001807b41e31bcc78e90427e070f,-,Eoa,17.41,0.06%
0xb3aef0e1c750287fa84e77482bb11ad3b543ea7c,-,Eoa,17.15,0.06%
0x1aa5abfd850012297428b509fb84fcd9f9f995cb,mirror author,Eoa,17.00,0.06%
0xdd047e0c6c4280bcd5cc22c84f4646e46e8ce6b6,-,Eoa,16.77,0.06%
0x4d7c41282bac9470066407af694f924354ffa115,-,Eoa,16.76,0.06%
0xb66705f97a57cfa8c570c5ce109cfa4b7a222d9e,-,Eoa,16.74,0.06%
0x6859da14835424957a1e6b397d8026b1d9ff7e1e,-,Eoa,16.36,0.06%
0x1ba6b82641c77ab1fc7bc734c5c3628199a8967d,matthetrex,Eoa,16.28,0.06%
0x38c16c73ad18d22c98507135649f60bd696a2ac9,-,Eoa,16.17,0.06%
0xf9c82b33c87cfbbd1ba7fa521dbc02da31680f1a,-,Eoa,16.12,0.06%
0xa323d859fb67bb83bdbf6b937af38bcd8bfffbff,-,Eoa,16.06,0.05%
0xa104a9cab07a83a7ab6fff15b1d1acbb20bd6872,-,Eoa,15.47,0.05%
0xe992f2dae0a05474da1c01de1583dcfe28f49494,-,Eoa,15.33,0.05%
0x2a90dd3f9ad9b671224a5215d6e5c76c4d728fdb,-,Eoa,15.16,0.05%
0x0e30d2a23585df02966bac65035c7422852e2c35,-,Eoa,15.02,0.05%
0xd4831ce4f3bc0f3e72cee838fe1c27edb2ca9d4f,-,Eoa,15.00,0.05%
0xdbb4513c65e0ce295fe58edf4185c5166583ad4b,-,Eoa,14.80,0.05%
0x2929762032e44933b49845a75ed3cc2c628825ce,-,Eoa,14.27,0.05%
0x12845e33332abd7f1d6eedd7535169f9abf93972,-,Eoa,14.22,0.05%
0x66ebdfa76fd65862e9e128d209ad1c90e6310f08,-,Eoa,14.12,0.05%
0x15758c2c52bd9f9b664d565998f828a7ca53a467,Hodl_Shilla,Eoa,14.05,0.05%
0xc3f4ecf963e053eb7509642569c81deed2a3be1a,-,Eoa,14.00,0.05%
0x4cc83027485f00456dc964b64bd31b7487362638,-,Eoa,13.90,0.05%
0x818296c842aeb033dafde09b0586a7c4df2f5a7c,-,Eoa,13.87,0.05%
0x86e20163d39637ec8d484b884dc0c644feb7a4a5,-,Eoa,13.50,0.05%
0xca74f404e0c7bfa35b13b511097df966d5a65597,-,Eoa,13.46,0.05%
0xd4a2aee94345bfa6aa1bdd3b95e8dc9d14b2ea19,-,Eoa,13.42,0.05%
0x4c8d29b6a160006ab5ac48fc7619ef91d437da55,-,Eoa,13.24,0.04%
0x519ec0d385b8803befb440bd86f3221b3f487e57,-,Eoa,13.24,0.04%
0xf69aa51a1fdeb7b7becc206fe44ef72660dedf30,-,Eoa,13.00,0.04%
0x33fe1a037d1f79a1c7668ac2ee8a249e37f2e9a7,-,Eoa,12.93,0.04%
0x8fc47520e2dd18b85784731e5cfad3081b574416,-,Eoa,12.82,0.04%
0x2e0bfc314589dc81f568bbbd67200b499a3ee726,-,Eoa,12.38,0.04%
0x5c72134e04e6d895963b4a13365ed5b65e1a74ef,-,Eoa,12.36,0.04%
0x389b8bd4fac72ff9aa5fd888a4b3283ac4c14b28,-,Eoa,12.18,0.04%
0x2d85ca511a8082ddf6be91dd775adf6305d13251,-,Eoa,12.00,0.04%
0x08b0e8956aa9dee8bfc02a12a417a9d824fb00de,-,Eoa,11.96,0.04%
0xa311f7ca3eb2fb98123a807f9b8e4bbbdbdcb2ee,-,Eoa,11.89,0.04%
0x2225df1171cd6fedb7556778703658da3d995545,-,Eoa,11.82,0.04%
0x75b1f060be9ea50b2181a00dee0d43fdfc13b834,-,Eoa,11.80,0.04%
0x9d216c817d84ae1a32555ea51f2e21989b607ad2,-,Eoa,11.74,0.04%
0x982fb25c5c3257bb9c1fff7d747df6bb1732df2a,-,Eoa,11.65,0.04%
0x50563aa6235ef742ac1de1cfa0f7ba80eb3bd073,-,Eoa,11.64,0.04%
0xa0619482c0fcf425d0571f49822f39b17a99b781,-,Eoa,11.62,0.04%
0xbdbfbb49ec9c1d18e2976062616d60e8d3126d7d,-,Eoa,11.37,0.04%
0x6ce18cf311d661384328e9a6cf5e07b6d1143f32,-,Eoa,11.27,0.04%
0x4857d1c4b89a046f834fd9f271b0a82f5159889b,-,Eoa,11.25,0.04%
0x793f8c0eacbc134612b8be294c1d0303cff3aab9,-,Eoa,11.19,0.04%
0x5bc96a6ef3758a15456041767b2d51998edf8b70,-,Eoa,11.11,0.04%
0x58f7901b0358d2623e32bd731bba1c8aeb3fd2b9,-,Eoa,11.10,0.04%
0x73b64ded5189e2610b67082204308fd3d6eefb6f,-,Eoa,11.03,0.04%
0x098dd92ae8164ee70e7be51a40b415c665fb1802,-,Eoa,10.98,0.04%
0x94aa6510e7fc72482ec3a3426f8e6deb2f18b127,-,Eoa,10.90,0.04%
0xe5ee80c829d8442b154f53024e8026998ed21213,-,Eoa,10.89,0.04%
0xc9a1ea5b2059fa8a8d667c5a67771543fbc698f7,-,Eoa,10.81,0.04%
0x8522bfae1f72cae3d61ed83ee6f2b6f8dc36ed5e,-,Eoa,10.68,0.03%
0x8a468652e38328cd2beb6b97a90e220c0a88c3b3,-,Eoa,10.65,0.03%
0x8265840a01d93e3f0478a183a8b29b4a42d6754a,-,Eoa,10.64,0.03%
0xf3bc5ec4418aaf6a7bf27e2fe0112a91c8e9c400,-,Eoa,10.52,0.03%
0xce473d30bb1dfda0747edccdaeb3de30042ce948,-,Eoa,10.49,0.03%
0x115f933901af1d73d71ad595a7afaf2233868bc9,-,Eoa,10.41,0.03%
0x437fb1638036f25342b9e4835c11e0b7cd34495a,-,Eoa,10.39,0.03%
0x77010ed9546d3bf1f6b435d07d93273e5621b319,-,Eoa,10.34,0.03%
0xb60d9f0d618ff3514b9bc937125116036087fb47,-,Eoa,10.25,0.03%
0xb63d9f1780fc78d73448716b77edd4dbb626ba4c,-,Eoa,10.24,0.03%
0x56435da7e9dd2d1a56a215f8806f1369fa2c4946,-,Eoa,10.17,0.03%
0xbb53d3fdb99adb815d7d2824d6a0b82396cf046d,-,Eoa,10.10,0.03%
0x3463566157a2602e30b8d9c473d414f598bd9fbd,-,Eoa,10.10,0.03%
0xe07f60b867021eb2f9ff255df65a40928b884ef6,-,Eoa,10.04,0.03%
0x823d2d51d41d6a0dd5f3111f45837be926d5b33b,-,Eoa,10.03,0.03%
0x7a0249554789f3ef8579ba74b7adfe0e6ae7dba2,-,Eoa,10.00,0.03%
0xa4b237f14627efd03394d66c3c1be3878e07ab13,-,Eoa,9.99,0.03%
0x51636d9efbfb79631824dd6107d54f2dcf548359,-,Eoa,9.99,0.03%
0x824bfbb6b6c165ba0e201f191ef8f9450a4d4577,-,Eoa,9.94,0.03%
0xe7dbd122330beaab54a1f21fb0da6f7d70ad111f,-,Eoa,9.86,0.03%
0x0129ba41a907ac27f7683d291576f2e74362c421,-,Eoa,9.72,0.03%
0x6686758f687234ca1c151e7ce2e5e2de9206690b,-,Eoa,9.49,0.03%
0x096eea213800e75a318b8db790a843c2a7343416,-,Eoa,9.28,0.03%
0x29e3ebb398f61b667709528181b069b47c577d15,-,Eoa,9.25,0.03%
0x5b6b0b2a6afa6287944f80bd0017d251139941d3,-,Eoa,9.13,0.03%
0x401db86bd6af995cae67473d913f59f451ef88c6,-,Eoa,9.09,0.03%
0x290bb61b489bdc272f400c3ea8e9dbece52c99ca,-,Eoa,9.01,0.03%
0x435fcbc37c499cb8197df2d843e7c21d2e77cabf,-,Eoa,9.01,0.03%
0xddbe69b58cafd763f9cfae79e4a279f819c044bb,-,Eoa,8.99,0.03%
0xd76cd142f5f5d0db46ee851e5525a192a95f1ab9,-,Eoa,8.94,0.03%
0x26ec9b36deea962530c644de43514c762e8e22ea,-,Eoa,8.87,0.03%
0xab5a95b5dda22be56e842057c0b3a9cf676b373b,-,Eoa,8.86,0.03%
0xb692a4a69253dee818cbf7598542da2c36a73041,-,Eoa,8.86,0.03%
