Address,Address Tag,Type,Token Balance,Percentage
0x67b00b46fa4f4f24c03855c5c8013c0b938b3eec,Stable AMM - DAI/USDC (sAMM-DAI/USDC),Dex,"79,011.48",2.11%
0xc18f50d6a832f12f6dcaaeee8d0c87a65b96787e,Uniswap V3(DAI-USDC),Dex,"29,734.44",0.79%
0x93e8542e6ca0efffb9d57a270b76712b968a38f5,Uniswap V3(WETH-DAI),Dex,"19,459.13",0.52%
0x9287c921f5d920ceee0d07d7c58d476e46acc640,Volatile AMM - WETH/DAI (vAMM-WETH/DAI),Dex,"10,091.72",0.27%
0x22f9623817f152148b4e080e98af66fbe9c5adf8,Uniswap V3(DAI-USDbC),Dex,"9,738.41",0.26%
0x6eab8c1b93f5799dadf2c687a30230a540dbd636,Stable AMM - DAI/USDbC (sAMM-DAI/USDbC),Dex,"6,373.53",0.17%
0x85c1bebffa2b6b2ccdd45be8c8cac3bdd6449122,Uniswap V3(SAIL-DAI),Dex,"4,338.37",0.11%
0xba12222222228d8ba445958a75a0704d566bf2c8,Balancer,Dex,"2,480.01",0.06%
0xdcf81663e68f076ef9763442de134fd0699de4ef,Uniswap V3(WETH-DAI),Dex,"2,250.68",0.06%
0x19a8b1542b807cd6a76fcbb5ff5f53c6169f36d7,Uniswap V3(DAI-USDC),Dex,"2,141.53",0.05%
0x4d734eaf2102407825f45571d51fc7c4dae86ff8,SushiSwap V3,Dex,"1,868.27",0.05%
0x019eff8e9b225d8cbc6127748f5f47ea3e2f28e5,SushiSwap V3,Dex,"1,056.66",0.02%
0x87ebef77d1d7a29a8ea32492d0aa88d8c757a1eb,Uniswap V3(DAI-VCNT),Dex,899.02,0.02%
0x30a30f266e1173a75985997b2523ecbc19c60ff3,Stable AMM - DAI/MAI (sAMM-DAI/MAI),Dex,795.67,0.02%
0x917bab0544beb0e681d02cc159f50446a7a38633,Volatile AMM - DAI/USDbC (vAMM-DAI/USDbC),Dex,616.98,0.01%
0xa090f7c9e29e19e8476ac93e965b7d5777df8e4e,Volatile AMM - tiny/DAI (vAMM-tiny/DAI),Dex,597.54,0.01%
0x57b08a5df7da8dd82b20d6f00ca379fcca7b771f,Uniswap V3(DEGEN-DAI),Dex,457.60,0.01%
0x48424f43a7239a01831ca4fbf98a6a553d66d49d,Uniswap V3(DAI-USDbC),Dex,252.31,0.00%
0x48ad1e2e7c447f6814e69aefe3f0203a0cc128af,Uniswap V3(WETH-DAI),Dex,235.57,0.00%
0x7fe24b9b12965b860178758ac445242a727b259d,Uniswap V2 (UNI-V2),Dex,190.27,0.00%
0x18d7eeb9b63664c06251dd8141ec1d0c14f0c012,Uniswap V2 (UNI-V2),Dex,101.96,0.00%
