Address,Address Tag,Type,Token Balance,Percentage
0xc27e87cfe1fd2ed6f43dfffbb9e9e46428497a24,-,Eoa,"53,452.89",1.43%
0x6bcf3fb49b493a74b1771dceccc4c470f372d496,-,Eoa,"34,338.66",0.92%
0x9d781b92e4709c7512e3f4855bc0fa009538961b,-,Eoa,"32,939.21",0.88%
0x6b1aabedd819f5feadc353f1bdd33b4af1a9eea5,-,Eoa,"22,548.89",0.60%
0x357c6fd2cee77ba5de49e0bb9d49444781a8f0cc,-,Eoa,"20,062.15",0.53%
0xbc9b915d0e54c0d2fc7c3a6376c6fc0ec406c47a,-,Eoa,"17,000.00",0.45%
0x428ab2ba90eba0a4be7af34c9ac451ab061ac010,Across Protocol:Relayer,Eoa,"15,525.13",0.41%
0xcdeee6a0c7f6c4ca829a8a837ad01a7d17447e8f,-,Eoa,"15,420.18",0.41%
0x836160a1ddb55fb03e608e32354c09e11abe1316,-,Eoa,"15,305.45",0.41%
0xe423f4d8d786939fe131df85a61193aff0370aa9,-,Eoa,"15,241.98",0.40%
0x887c3599c4826f7b3cde82003b894430f27d5b92,limez,Eoa,"14,997.74",0.40%
0xd5a2ec9468a5de6e5f3f7d787b53994182775c1b,-,Eoa,"14,568.02",0.39%
0x625729dde5d73f8fedb68867a4340fce6b09b99b,-,Eoa,"11,701.83",0.31%
0x147762966341a83771d8403852ccc9f2784b88ca,-,Eoa,"11,012.80",0.29%
0xfe66243781a8e78c80f1ce8d2a3a683f85ffb0fd,-,Eoa,"10,201.76",0.27%
0xf3911561bcabf48baf41c8bd34204b8126e8ce9b,-,Eoa,"10,000.00",0.26%
0x78705c05cac2624eb4ad6194f3f6420630e2bca4,Phishing:329002,Eoa,"9,585.50",0.25%
0xcf3c05c63733d90a0366df729ec3c55941e3ada4,-,Eoa,"8,796.78",0.23%
0x34b535bd77b2f81d8842829cea8e9bf26d1426f5,-,Eoa,"8,680.05",0.23%
0x238c2f846be2eaae17272a6b629e303cc560b31a,-,Eoa,"8,006.08",0.21%
0x666639de68403c445964453c0fcecb8da4316666,-,Eoa,"7,307.19",0.19%
0x888994f2cc90f4d6b06e366e88b23b676be4d3f6,-,Eoa,"7,044.15",0.18%
0xcb3e623344178a91ca82777b51cdfc1155d5134a,-,Eoa,"6,772.70",0.18%
0x7190a38cf3ae0f2a683ee1ad94e8763e7ba9a9dc,-,Eoa,"6,648.59",0.17%
0x42a07b5028e234080a7c1331f494f85c69325d95,-,Eoa,"6,370.03",0.17%
0x5555c35f94d724e77d93983cfc411c1355606666,-,Eoa,"5,805.02",0.15%
0x363d592f45ebc30ac434e356d4193768d96faa55,-,Eoa,"5,691.35",0.15%
0xf0a067eaae33f91f4ebb25e123334a1ca8970f3f,-,Eoa,"5,524.09",0.14%
0x2a21b5533856622ed5ee89c64e5570c90a66e895,-,Eoa,"5,181.27",0.13%
0x0470c65ff5171125d742195548185420107b9675,-,Eoa,"5,000.00",0.13%
0x7932e40f1f21f140deb4224a38bc8620f76d3429,-,Eoa,"4,909.33",0.13%
0xe0acdeb8e8c8c592611e5d4b737957082ea95d70,-,Eoa,"4,663.43",0.12%
0x637410a9ceb390b70107ff7ac1945bfec87516cf,-,Eoa,"4,606.22",0.12%
0x729af194a747226aa728f46aa13b43df59808ac8,-,Eoa,"4,596.73",0.12%
0xcacb56839e97bab83fb3b6731c3f2737d3f5e246,-,Eoa,"4,408.83",0.11%
0xe25a72fd7499fe8a541352688ee85a18d9ff0be0,-,Eoa,"4,108.51",0.11%
0x318d114616ced2fc9dd684c4a34e6f3ca494fc37,-,Eoa,"4,000.00",0.10%
0x2527fedd0eb265b82126c7fec1ede54199302ecd,patricktlong,Eoa,"3,980.19",0.10%
0x2386dfa4ed427dadd1174fdc7e029ab207f2bff0,-,Eoa,"3,937.81",0.10%
0xa77a1c47d896e42c6918bb6f656777f521ebdd79,-,Eoa,"3,818.95",0.10%
0xa5aa34f78d1823c347faa933a632f07be6788b52,-,Eoa,"3,508.35",0.09%
0xf0bd0625e777ecdd8e9c9bac39b5614eaa56f475,-,Eoa,"3,497.87",0.09%
0xafe1a819eef752318d210d4ed84a16e97c19e8b3,-,Eoa,"3,490.60",0.09%
0x7a9e4543f98aa366fac8bb4ca679d63ff5db9fab,-,Eoa,"3,411.94",0.09%
0xc24796b46b0e36b0455afae59bea25e7271caee3,-,Eoa,"3,224.04",0.08%
0x8760e565273b47195f76a22455ce0b68a11af5b5,kylest4rgarden,Eoa,"3,200.00",0.08%
0xbe40aba8b52e40225524166119164405e5e0a31c,-,Eoa,"3,199.10",0.08%
0x927833218ff10819eccc9ea55b3d860333416eec,Binance Deposit Address,Eoa,"3,115.29",0.08%
0xd13206d94275200e90827069702d1a9f59fb4c5f,-,Eoa,"3,054.66",0.08%
0xaeb3075cad78597c26ac5a6885dbdeb20ed61849,-,Eoa,"2,848.84",0.07%
0x1a4913cf7e9124e342be9d4b4195bf2f6edd7f65,-,Eoa,"2,685.53",0.07%
0x0f03f6686794aecbd064a2b1af9506792c684d17,-,Eoa,"2,604.44",0.06%
0x280b32cacf134355638384ed701d41ec50ea5e79,-,Eoa,"2,580.41",0.06%
0xa89636d43f82667b1fb026b042d0935d93170ca1,-,Eoa,"2,561.18",0.06%
0x7b808612ebefd7c0736dc5c055870e56407d7533,-,Eoa,"2,513.28",0.06%
0xbc7eec60f8afd06be0916e35fe8cd45d53340cbc,-,Eoa,"2,372.41",0.06%
0x98679732c1c4a50eaeeeafc7807cf9e582e9e7db,-,Eoa,"2,259.78",0.06%
0xfc713384b1d9d7bd93a6da8126ae6c568906b37d,-,Eoa,"2,176.70",0.05%
0xfd608eb135c5ba9b76a40bcea66ac58b4c24631a,-,Eoa,"2,145.45",0.05%
0xadfe004d3bb1f0ff2865b033ac1c0b2858a39fc6,-,Eoa,"2,107.73",0.05%
0x8f46c29e67ba85d2a6b75e2caf1dcb745b6aeda5,-,Eoa,"2,090.76",0.05%
0x65656c0bd94ea9257c9263cfae62012996b336ba,-,Eoa,"2,089.08",0.05%
0x36667bccb75c3dc1d661d16e27f9912d8fb8cd72,-,Eoa,"2,049.28",0.05%
0x47c81cc164230f4c90c727c5ef82cacd6ac91388,-,Eoa,"2,007.75",0.05%
0x15b0bca15f60924139754aa5c19f31c5441c6ee1,-,Eoa,"2,000.00",0.05%
0xc0c6594f6f97db230ca2bc2069c4709474a5cbb4,-,Eoa,"2,000.00",0.05%
0x43b6f95601aca52cdc9d786bc0c4215d32ff8499,-,Eoa,"1,950.48",0.05%
0x95d370addabfc6baef57373def94e6252b349035,-,Eoa,"1,939.31",0.05%
0x967d3fddcfe8a3ae3adaaf943ca35d34877cc63e,-,Eoa,"1,930.25",0.05%
0xa71ea3b488ddc04abfd36adf5fc8b4a446f8eccf,-,Eoa,"1,914.68",0.05%
0x4978c1c5c69bffaf364fec52be1132ab402011dc,-,Eoa,"1,899.67",0.05%
0x756dab6280de64f2c58a2c693a1528fcaf23ec5a,-,Eoa,"1,877.72",0.05%
0xa9d84c98653027aef8a74212333f2d1ff3bf2f2f,-,Eoa,"1,870.35",0.05%
0x11c0e48b6e2857b5f85ea00f2890df5db2a14aa1,-,Eoa,"1,844.44",0.04%
0xeaa997ed71a3863e2c71b732305ec29c8117c474,-,Eoa,"1,818.50",0.04%
0xf6e0ec9f66ea43f6da1847763f4433a8444d38f2,-,Eoa,"1,817.37",0.04%
0xf81d958eb39699728ddc35ac12281f05c7743241,-,Eoa,"1,740.19",0.04%
0x0dab9910d8beaebee505767b5d4e8e25f41cb7a0,-,Eoa,"1,731.85",0.04%
0x694390259ad86a5987a1fd51850922960eafaa0a,-,Eoa,"1,729.38",0.04%
0x7fa95d99804fe5a46a42be0dce279b850e1cd6ba,-,Eoa,"1,727.14",0.04%
0xf2491ff3c05145d143607c3373344c722c04171a,ggabiwalther,Eoa,"1,707.73",0.04%
0xc40961a6113b14c71b315f0440c1c7b1fef911b5,-,Eoa,"1,691.47",0.04%
0x41ee28ee05341e7fdddc8d433ba66054cd302ca1,Relayer,Eoa,"1,606.44",0.04%
0x4a2a8b1910900bba618748fed6a89b28020814fd,-,Eoa,"1,600.00",0.04%
0xa9700a53f78410c1ffb46249234df83ebd669dd6,-,Eoa,"1,587.52",0.04%
0xf884dc61d32720295f4c209560cb01bcffc358dc,-,Eoa,"1,565.64",0.04%
0xa207e48613551d067dfd62d334b9627b504e3071,-,Eoa,"1,557.35",0.04%
0x91247c4ce7a0a83a7b25bae4121713a63bc1d9d9,-,Eoa,"1,552.09",0.04%
0xfa38b6b267c239cdd2eedca5aaf81a202bd52c2a,-,Eoa,"1,525.55",0.04%
0x1c4646cb11ef46c7b4d591c36e694596be6d88d0,-,Eoa,"1,523.56",0.04%
0x4d98eb1d9673d4048e04d463f0e0441026601d66,-,Eoa,"1,518.03",0.04%
0x2702ca6f4695153eb7c7c6d1a424c37f02e042ff,-,Eoa,"1,500.39",0.04%
0x58943791b2c25ccbdd95f5eef65db288d4cc5c41,-,Eoa,"1,499.37",0.04%
0xf085548d7bbf66b8731e1a16bd891cad98cb102a,-,Eoa,"1,489.25",0.04%
0x77d780d49a609291666432953e94376cd5a2b7ce,-,Eoa,"1,451.89",0.03%
0xca7d9faf203c8cc66540ce4e17cabee9bcc05627,-,Eoa,"1,411.83",0.03%
0x9c7bc59a2a6b98bd171a3a4297410514d92b1eb1,-,Eoa,"1,405.32",0.03%
0xae6ef6260ff8762e84142171240357ac4972d408,-,Eoa,"1,385.00",0.03%
0xda38d6fa21264cc9e870d4f2a05609942d9bab56,-,Eoa,"1,359.82",0.03%
0x754b58278e0d9c0607a02f341eb2f55242a69197,genopets_eth,Eoa,"1,335.29",0.03%
0x5d9eb12fe461aae0fba4636e4bfe295aa6d5808f,-,Eoa,"1,317.17",0.03%
0xfcbe6df34023eeec540c856ba49a19ee8f0a3e58,-,Eoa,"1,308.73",0.03%
0xfd17af5dd5b13f193ad383b77e0a5daaee88558e,-,Eoa,"1,293.41",0.03%
0xf431fab68dfb26d6c218a6b40b441ee9ce0439dc,-,Eoa,"1,267.34",0.03%
0xaa0d22d6d3ad097a7c51bc1f19766c1351336306,-,Eoa,"1,226.77",0.03%
0xad0fc281ac377794fa417e76d68788a56e3040f0,poorgiving,Eoa,"1,225.27",0.03%
0xa4817b12816593bda6e13bdce415db5d3f7d5526,-,Eoa,"1,201.75",0.03%
0x06af848b5a21154776d60312df7481054b449490,-,Eoa,"1,158.46",0.03%
0x0b6724a2c47f64e120d81e9ec7c06fd700c82623,-,Eoa,"1,156.72",0.03%
0x892604161b0771c44d1587c2d11ed8e4ca38b857,-,Eoa,"1,140.87",0.03%
0xf6acf2c303fec35a681d3090755dd4702c129110,-,Eoa,"1,129.60",0.03%
0x8db7aa8d515d06ea870d91b377de1a0666d0e567,-,Eoa,"1,085.58",0.02%
0xd685f9a87f5cbd534824bf1dea581a8de083f2da,-,Eoa,"1,080.09",0.02%
0xe2c159716b4c5c677767dfcdfef2470826b8b6bc,-,Eoa,"1,062.31",0.02%
0xd0f63a35af702fd4f337b2ada1ada749ea1f2d25,-,Eoa,"1,053.21",0.02%
0x0babb370b25ff0a32f52fd75a9b922181d15084d,-,Eoa,"1,045.40",0.02%
0xfb19ec463183f414be8f65674d18a015a0200baf,-,Eoa,"1,029.49",0.02%
0x49ca400439b023ba159f063caf8d5dc6af9ebc01,petro_pinchuk,Eoa,"1,023.37",0.02%
0x18b4691827a2af5605ce331fa1f0cc016e9234f9,-,Eoa,"1,010.85",0.02%
0x895be97bdb9f8a244c472b18ea96dee39ddf8fe5,-,Eoa,"1,010.76",0.02%
0xb4a34da15c24db01ceeb124bf569387df035c0b1,-,Eoa,"1,010.06",0.02%
0xaf069f2255dbc03119e567c3d8e40caa2b926e56,-,Eoa,"1,001.78",0.02%
0xe6a3e40616441101d33db9863af1dac1d21aa161,-,Eoa,999.45,0.02%
0x0757c63fa4377f4443e0f3c698dd6db3a0c77fa1,-,Eoa,996.37,0.02%
0x9e6154ca3c1c5212a0a45e7b5d853a5ba8b349a1,-,Eoa,994.25,0.02%
0xf8f1c10920f22f64113d061a781e9eaa6cbf008f,-,Eoa,974.79,0.02%
0x2fcb01ac7c9df1040cb6d01c48f60a69737f4150,-,Eoa,972.93,0.02%
0x317c2c1967ccdf6559bfbdc30919ee34692cb86f,-,Eoa,969.56,0.02%
0xb5f4b4bcd63b9b421a4412685fc11574c71eac7a,-,Eoa,963.16,0.02%
0x80e451777dcd4e4a589a038a61b1dca72d718045,-,Eoa,959.22,0.02%
0x89f0b66db95d96ebf20299d007b3d673cbaa9c6c,-,Eoa,955.65,0.02%
0x1ba7844e06abed0ec7f5dc9a74868d9ab069cfe3,-,Eoa,950.00,0.02%
0xc16ab8ac8992e3ffd42e0deefef73bfedf9cb79e,-,Eoa,949.62,0.02%
0x0719814f64d5f1040ee473f02ef233f98bc2779e,-,Eoa,941.66,0.02%
0xb38a90f14b24ae81ec0b8f1373694f5b59811d8a,-,Eoa,929.42,0.02%
0x9cf52e0d59fcd23ec124aaa0b8e46490fda0f53f,-,Eoa,921.00,0.02%
0x7b8f1aa4eaf7241d37c0fd6f136e93bbfef9949b,-,Eoa,913.35,0.02%
0x27aacfd7fe860132462c056102ad061cc6314495,-,Eoa,910.98,0.02%
0x63be3ee2569827c7c58a37bdf8ade9c0128f97e4,-,Eoa,900.00,0.02%
0x3dd19a722ad4e7abd3bc9d156b21b79e0f019071,-,Eoa,899.95,0.02%
