Address,Address Tag,Type,Token Balance,Percentage
0xc021427b21c015ccb8b347fb7638d7721aabee20,-,Eoa,"199,999.99",14.98%
0x4200000000000000000000000000000000000016,Base: L2 To L1 Message Passer,Eoa,"105,751.40",7.92%
0x4200000000000000000000000000000000000016,Base: L2 To L1 Message Passer,Eoa,"94,863.03",7.10%
0xfd92f4e91d54b9ef91cc3f97c011a6af0c2a7eda,OKX,Eoa,"31,389.68",2.35%
0xfd92f4e91d54b9ef91cc3f97c011a6af0c2a7eda,OKX,Eoa,"31,389.68",2.35%
0x4f45eceb38221b338b4651cc1cdf51b1b61fddf4,-,Eoa,"4,423.92",0.33%
0xe52f5349153b8eb3b89675af45ac7502c4997e6a,Manifold Trading,Eoa,"1,792.91",0.13%
0x7214e1d350ba8e2b19de4f77ddd3609af06aade2,-,Eoa,"1,614.94",0.12%
0x8cd7e29e4f9101bd516f91d4de89ddc7692198fd,-,Eoa,"1,236.41",0.09%
0x3a972d7b008816abb41287cdf93cb1eb0236eb68,-,Eoa,"1,108.07",0.08%
0xdd9176ea3e7559d6b68b537ef555d3e89403f742,friend.tech:Fees,Eoa,"1,034.95",0.07%
0x32101b3dd90f71ddf2d4c979e1e8abb0eb2c2795,-,Eoa,"1,016.06",0.07%
0x31e7b932c655628fda6f22f063d550d990dba726,-,Eoa,979.72,0.07%
0x976e80df570e6f314396300ea77cb2e7b2f84172,Vombatus_eth,Eoa,858.05,0.06%
0x9ebaff2192d2746fec76561bdf72fd249d7a73ab,-,Eoa,824.84,0.06%
0x18f84f525e5e23a5ab132237762e9914550b173b,-,Eoa,783.63,0.05%
0x4a87c130933adc493bf575a1b1b3f83d01c32890,-,Eoa,782.06,0.05%
0x4e3ae00e8323558fa5cac04b152238924aa31b60,Mochi: MEXC Deposit & Withdraw,Eoa,713.78,0.05%
0x4e3ae00e8323558fa5cac04b152238924aa31b60,Mochi: MEXC Deposit & Withdraw,Eoa,713.76,0.05%
0xce3e8c1bd738241b1d31935a2579d00714c0a6cc,-,Eoa,683.72,0.05%
0x5593b57d06458f62b1a4f31a997945a3b51fc2fd,-,Eoa,609.99,0.04%
0x3300eebeea8239b90a435e403b130a853a0d7dff,-,Eoa,599.82,0.04%
0x78bccd5d99c37c74e5b820a3a1627aaee7871567,-,Eoa,577.97,0.04%
0x357607d42fb25e7e6221520d4bfb90dac6b8d467,-,Eoa,543.86,0.04%
