Address,Address Tag,Type,Token Balance,Percentage
0xf977814e90da44bfa03b6295a0616a897441acec,Binance 8,Exchange,"101,338.72",7.59%
0xf977814e90da44bfa03b6295a0616a897441acec,Binance 8,Exchange,"101,338.72",7.59%
0x3304e22ddaa22bcdc5fca2269b418046ae7b566a,Binance,Exchange,"29,576.82",2.21%
0x3304e22ddaa22bcdc5fca2269b418046ae7b566a,Binance,Exchange,"29,576.82",2.21%
0xbaed383ede0e5d9d72430661f3285daa77e9439f,Bybit,Exchange,"24,081.66",1.80%
0xbaed383ede0e5d9d72430661f3285daa77e9439f,Bybit,Exchange,"24,081.66",1.80%
0x4207837d4cd914467eb76bf88c4d6e7ba11ccdf9,Coinspot,Exchange,694.38,0.05%
0x97b9d2102a9a65a26e1ee82d59e42d1b73b68689,Bitget,Exchange,671.43,0.05%
0x97b9d2102a9a65a26e1ee82d59e42d1b73b68689,Bitget,Exchange,671.43,0.05%
0xc882b111a75c0c657fc507c04fbfcd2cc984f071,Gate.io,Exchange,562.87,0.04%
0x51836a753e344257b361519e948ffcaf5fb8d521,Indodax 1,Exchange,548.74,0.04%
0x51836a753e344257b361519e948ffcaf5fb8d521,Indodax 1,Exchange,548.74,0.04%
0x0d0707963952f2fba59dd06f2b425ace40b492fe,Gate.io,Exchange,464.51,0.03%
0x0d0707963952f2fba59dd06f2b425ace40b492fe,Gate.io,Exchange,464.51,0.03%
0x6dcbce46a8b494c885d0e7b6817d2b519df64467,Coinbase,Exchange,87.08,0.00%
0x6dcbce46a8b494c885d0e7b6817d2b519df64467,Coinbase,Exchange,86.75,0.00%
0x20fe51a9229eef2cf8ad9e89d91cab9312cf3b7a,Coinbase,Exchange,50.51,0.00%
0x20fe51a9229eef2cf8ad9e89d91cab9312cf3b7a,Coinbase,Exchange,50.13,0.00%
0xd34ea7278e6bd48defe656bbe263aef11101469c,Coinbase,Exchange,44.75,0.00%
0xd34ea7278e6bd48defe656bbe263aef11101469c,Coinbase,Exchange,44.40,0.00%
0x50be13b54f3eebbe415d20250598d81280e56772,Phemex,Exchange,34.49,0.00%
