Address,Address Tag,Type,Token Balance,Percentage
0x6cdcb1c4a4d1c3c6d054b27ac5b77e89eafb971d,Volatile AMM - USDC/AERO (vAMM-USDC/AERO),Dex,"47,258,058.90",1.56%
0xcdac0d6c6c59727a65f871236188350531885c43,Volatile AMM - WETH/USDC (vAMM-WETH/USDC),Dex,"37,407,128.81",1.23%
0xf213f2d02837012dc0236cc105061e121bb03e37,Stable AMM - DOLA/USDC (sAMM-DOLA/USDC),Dex,"30,801,095.10",1.01%
0x6d0b9c9e92a3de30081563c3657b5258b3ffa38b,Stable AMM - USDz/USDC (sAMM-USDz/USDC),Dex,"21,874,291.48",0.72%
0x2a1463cebe85315224c536afd389b381b43f3206,Stable AMM - USDC/MAI (sAMM-USDC/MAI),Dex,"10,870,203.43",0.36%
0xd0b53d9277642d899df5c87a3966a349a798f224,Uniswap V3(WETH-USDC),Dex,"5,338,205.06",0.17%
0x958682ec6282bc7e939fa8ba9397805c214c3a09,Volatile AMM - USDC/KLIMA (vAMM-USDC/KLIMA),Dex,"4,098,297.24",0.13%
0x7a034374c89c463dd65d8c9bcfe63bcbced41f4f,Stable AMM - USDC/eUSD (sAMM-USDC/eUSD),Dex,"2,574,034.37",0.08%
0xcefc8b799a8ee5d9b312aeca73262645d664aaf7,Aerodrome(msUSD-USDC),Dex,"1,246,647.23",0.04%
0x68cfb52c74827f91e1f664ffed634f849aece455,Volatile AMM - HBR/USDC (vAMM-HBR/USDC),Dex,"785,634.30",0.02%
0x77e09a5043820820390904357463bfb739a76104,Volatile AMM - BCT/USDC (vAMM-BCT/USDC),Dex,"696,360.45",0.02%
0xcc79bfa7a3212d94390c358e88afcd39294549ca,Volatile AMM - SNX/USDC (vAMM-SNX/USDC),Dex,"586,490.45",0.01%
0xe503312e932a3647aeac8b00a8bd1d04e6a73c08,Stable AMM - USDA/USDC (sAMM-USDA/USDC),Dex,"543,641.66",0.01%
0xf471d220f16cc9c3400b5bd97d728072a87b9c75,Volatile AMM - BET/USDC (vAMM-BET/USDC),Dex,"530,380.67",0.01%
0xa43455d99eb63473cfa186b388c1bc2ea1b63924,Volatile AMM - USDC/SPOT (vAMM-USDC/SPOT),Dex,"523,143.22",0.01%
0xd56da2b74ba826f19015e6b7dd9dae1903e85da1,Uniswap V3(USDC-USDT),Dex,"511,477.73",0.01%
0xaeb41e05e27eda32db13c5875834a19a2c15f70e,Stable AMM - zunUSD/USDC (sAMM-zunUSD/USDC),Dex,"481,480.78",0.01%
0xba12222222228d8ba445958a75a0704d566bf2c8,Balancer,Dex,"475,164.72",0.01%
0x6c561b446416e1a00e8e93e221854d6ea4171372,Uniswap V3(WETH-USDC),Dex,"440,311.14",0.01%
0xa1d2ee6212d4375f154393e59895a5d27859c4e4,Volatile AMM - cbETH/USDC (vAMM-cbETH/USDC),Dex,"406,332.02",0.01%
0x1307f36bc34081401497a873522570aeba4cde90,Volatile AMM - USDC/MTA (vAMM-USDC/MTA),Dex,"395,544.62",0.01%
0xe9b7057f9b81a0120c09306d35f22859473f18cb,Uniswap V3(BAMBOO-USDC),Dex,"393,845.59",0.01%
0x2f59e9086ec8130e21bd052065a9e6b2497bb102,rhino.fi,Dex,"393,609.83",0.01%
0x0511791eb6fb175a1aaa645114f0f5c8689ec163,Uniswap V3(send-USDC),Dex,"331,330.16",0.01%
0xedc7f0dfd9751ef95bb8786a3b130f490743bb0e,Uniswap V3(SEAM-USDC),Dex,"329,848.42",0.01%
0x1f019b4420936a800ff6f54c00d9da05445de433,Stable AMM - USDC/USX (sAMM-USDC/USX),Dex,"302,143.96",0.01%
0xf0e08fa759b9c3099b0dd63f73f79984aeb6254f,Volatile AMM - USDC/sFRAX (vAMM-USDC/sFRAX),Dex,"189,124.28",0.00%
0xf629864e8b4914284f79641ef9ce034c161f26ae,Volatile AMM - USDC/CTX (vAMM-USDC/CTX),Dex,"183,783.11",0.00%
0x4cc2fefb2635c86b1bae1b58e0f60fb43e95e264,Volatile AMM - SONNE/USDC (vAMM-SONNE/USDC),Dex,"170,424.98",0.00%
0x6466e1a3b42ef91f8f7c135970db4495e89f9c0a,Volatile AMM - USDC/CHEX (vAMM-USDC/CHEX),Dex,"170,016.97",0.00%
0x89084692453ab2305f5f8ac7d70d5efd37a86b8f,Uniswap V3(USDC-AIM),Dex,"154,427.79",0.00%
0xf53b7af40be75043eeba493c622f4f56b3c27a31,Stable AMM - LUSD/USDC (sAMM-LUSD/USDC),Dex,"150,414.73",0.00%
0x80326ed67271fb298d674c43aef3bc437b801b0e,Volatile AMM - ZUN/USDC (vAMM-ZUN/USDC),Dex,"145,415.24",0.00%
0xfea9e8a7daef9497fff3e3501ed504984f96aa33,Volatile AMM - WELS/USDC (vAMM-WELS/USDC),Dex,"136,832.59",0.00%
0x74785d423a82c60a2944e99f4fce224d6e681460,Uniswap V3(USDC-MCADE),Dex,"134,113.86",0.00%
0xf185f82a1948d014bae23d30b06fa8da35110315,Volatile AMM - USDC/DEUS (vAMM-USDC/DEUS),Dex,"133,296.68",0.00%
0x79d4c718629f9cff9293f577cae2ba56c1c15ae6,Uniswap V3(MBDAO-USDC),Dex,"130,364.02",0.00%
0x1536ee1506e24e5a36be99c73136cd82907a902e,Uniswap V3(USDC-WLTH),Dex,"124,719.22",0.00%
0x9b0025d10e824e7e2b148953009a40b0c0792f30,Volatile AMM - pwBLT/USDC (vAMM-pwBLT/USDC),Dex,"113,493.48",0.00%
0xb4cb800910b228ed3d0834cf79d697127bbb00e5,Uniswap V3(WETH-USDC),Dex,"111,067.98",0.00%
0xcdb55b284257fd5f879598ba9e4b852bb0c3edf1,Volatile AMM - USDC/XSWAP (vAMM-USDC/XSWAP),Dex,"104,452.02",0.00%
0x8b57a4d30171db37878d311f59ba05ac7637326f,Volatile AMM - TKN/USDC (vAMM-TKN/USDC),Dex,"100,525.91",0.00%
0x67b00b46fa4f4f24c03855c5c8013c0b938b3eec,Stable AMM - DAI/USDC (sAMM-DAI/USDC),Dex,"88,655.74",0.00%
0x1416d46ebf8afc4efe1942d7d8e14459aabc7891,Volatile AMM - USDC/HLSp (vAMM-USDC/HLSp),Dex,"84,942.74",0.00%
0x17023b75382d0202ab6c6b84cf2e7fc297124428,Volatile AMM - USDC/sUSDCy (vAMM-USDC/sUSDCy),Dex,"80,529.70",0.00%
0x4160f6ddcd41ad4bbf1caf20f73089836fb56740,Uniswap V3(USDC-SQT),Dex,"79,232.28",0.00%
0x845f28e002b4c586372dc87b2525bc8138a5108f,Uniswap V3(DOLA-USDC),Dex,"75,312.90",0.00%
0x1ba78f0373178f4d7996267d005ecbc29e14c99f,Volatile AMM - USDC/DOG (vAMM-USDC/DOG),Dex,"67,395.35",0.00%
0x0da751ffab2d9deaf89bfceed570d8cac8c96f05,Volatile AMM - USDC/pOHM (vAMM-USDC/pOHM),Dex,"63,597.79",0.00%
0x445deebc5863a8ae9e2bdf7adced6202509c5d5a,Uniswap V3(USDC-RECORD),Dex,"57,619.15",0.00%
0xd16cc119b7c113660580291580cbeb588c9e2653,Volatile AMM - wXCH/USDC (vAMM-wXCH/USDC),Dex,"56,514.30",0.00%
0xfc40fecbedecf85f2f8e36d50247c2452668f5aa,Uniswap V3(TEN-USDC),Dex,"50,566.88",0.00%
0xa98e744d3880750fa639b3ee9e2d5897fe98b0f6,Stable AMM - USDGLO/USDC (sAMM-USDGLO/USDC),Dex,"50,176.18",0.00%
0xcf307083dbf8b68be7f4bc24b0bc0d3bf79bfb54,Uniswap V3(USDC-XCN),Dex,"50,099.15",0.00%
0x4565a00aee6eb6b3d9aa03a0c55e5feeed74f8ec,Uniswap V3(USDC-BUZ),Dex,"49,525.99",0.00%
0x97e6ff909f30d034f1dc9721e2939cea57116d95,Stable AMM - USDC/suUSD (sAMM-USDC/suUSD),Dex,"43,496.86",0.00%
0xa2d4414421e5531e727d532ef018109f59d22340,Volatile AMM - FXS/USDC (vAMM-FXS/USDC),Dex,"43,286.46",0.00%
0x978f9cd844228a3f3b63e9e232c3e22ad26c8a31,Uniswap V3(USDC-BTRST),Dex,"43,266.36",0.00%
0xfe8be4ec94441723b410c0934991d0707dd4cfb9,Uniswap V3(USDC-FLUX),Dex,"42,669.75",0.00%
0xa49b9af8d422894393f88778373f8b399dead48f,Uniswap V3(LOVELY-USDC),Dex,"42,050.45",0.00%
0x8a2ca4d3d7970e9dd55b50d80fe2f0e5feafd695,Volatile AMM - RAZOR/USDC (vAMM-RAZOR/USDC),Dex,"38,600.52",0.00%
0x81a8c12738f7346094526ecc2487a63f45dd1935,Volatile AMM - USDC/WELL (vAMM-USDC/WELL),Dex,"37,181.66",0.00%
