Address,Address Tag,Type,Token Balance,Percentage
0x27724b0d4fb98a89a092e6a4adbc09154c182637,-,Eoa,"101,000,000.00",3.34%
0x67857ee12929e74082f1cae64ef4221830c39113,-,Eoa,"101,000,000.00",3.34%
0x95f90ce2e3abaed29eeebdb42e1fdb146e0f848a,-,Eoa,"101,000,000.00",3.34%
0xa2908f1758d1cc3990f4a2da8dea0aa2ecf1b913,-,Eoa,"101,000,000.00",3.34%
0xee81b5afc73cf528778e0ed98622e434e5efadb4,-,Eoa,"101,000,000.00",3.34%
0x9b4fc9e22b46487f0810ef5dfa230b9f139e5179,-,Eoa,"101,000,000.00",3.34%
0x7c310a03f4cfa19f7f3d7f36dd3e05828629fa78,-,Eoa,"101,000,000.00",3.34%
0x607094ed3a8361bb5e94dd21bcbef2997b687478,-,Eoa,"101,000,000.00",3.34%
0x21bd501f86a0b5ce0907651df3368da905b300a9,-,Eoa,"101,000,000.00",3.34%
0x122fdd9fecbc82f7d4237c0549a5057e31c8ef8d,-,Eoa,"101,000,000.00",3.34%
0x0b0a5886664376f59c351ba3f598c8a8b4d0a6f3,-,Eoa,"101,000,000.00",3.34%
0x7c41fdced2ea646ed85665d1a9b28e6632b61c41,-,Eoa,"101,000,000.00",3.34%
0xadbbe373b5b5f72c59c0311cffbded51f0c5f434,-,Eoa,"101,000,000.00",3.34%
0x8196f70b2c17ba58d8ef56ad62087ee8231be33a,-,Eoa,"101,000,000.00",3.34%
0x57a7560d0ec28065762203c0d633943298eac7c0,-,Eoa,"101,000,000.00",3.34%
0x336307f2d8390035ba926a61a86b45ca9dc91e57,-,Eoa,"101,000,000.00",3.34%
0xd5c41fd4a31eaaf5559ffcc60ec051fcb8ecc375,-,Eoa,"101,000,000.00",3.34%
0x1b4c15b991543a6082213a88276e7a83c9985676,-,Eoa,"101,000,000.00",3.34%
0xd451e3919950963e9c1ca2f78a987dbd7937c0fb,-,Eoa,"101,000,000.00",3.34%
0x49866a9cfe9129fbb0b93dcdb4b5eb758ee3f9be,-,Eoa,"101,000,000.00",3.34%
0xaac391f166f33cdaefaa4afa6616a3bea66b694d,Circle,Eoa,"60,617,028.37",2.00%
0xf370d81e25448be00126ccb40ad36a3e61f78d55,-,Eoa,"25,250,000.00",0.83%
0xfbd65d2eb75b349456ee7f9100a4fa386cc72680,-,Eoa,"25,250,000.00",0.83%
0x27df59e8c8741a9bf7adc5951860ebb611f0f896,-,Eoa,"25,250,000.00",0.83%
0x6e1fa09440be6a0093125157d4a5dd0373fbadcd,-,Eoa,"25,250,000.00",0.83%
0x7457e0b010c364c7bf3b78c795c59e4dc451bd61,-,Eoa,"25,250,000.00",0.83%
0x682d9f3283ab9d85249c7db030808c1260059426,-,Eoa,"25,250,000.00",0.83%
0xc5d8808606dc5a25cc1a6115f5ebcaa378ca9f97,-,Eoa,"25,250,000.00",0.83%
0x1975a7acd130f93ee3d2182a6b260fc13342d3cc,-,Eoa,"25,250,000.00",0.83%
0x8ce1182e887c528cfcad41c65eed8e87e4732782,-,Eoa,"25,210,958.07",0.83%
0xa726021d836f92e97a45a914be4f074790975c2b,-,Eoa,"25,022,139.45",0.82%
0x1214353c7ca40760c2ec755ed69fe6ce223d0613,-,Eoa,"21,250,000.00",0.70%
