Address,Address Tag,Type,Token Balance,Percentage
0xcdac0d6c6c59727a65f871236188350531885c43,Volatile AMM - WETH/USDC (vAMM-WETH/USDC),Dex,"11,427.46",0.48%
0xd0b53d9277642d899df5c87a3966a349a798f224,Uniswap V3(WETH-USDC),Dex,"2,796.88",0.11%
0xcaedc2561356b6a01a94e3c0438011459e91fbb9,Volatile AMM - WETH/WELS (vAMM-WETH/WELS),Dex,"1,462.04",0.06%
0xba3f945812a83471d709bce9c3ca699a19fb46f7,Uniswap V3(WETH-BRETT),Dex,"1,411.90",0.06%
0xb37642e87613d8569fd8ec80888ea6c63684e79e,Volatile AMM - WETH/KLIMA (vAMM-WETH/KLIMA),Dex,"1,382.25",0.05%
0x89d0f320ac73dd7d9513ffc5bc58d1161452a657,Volatile AMM - WETH/WELL (vAMM-WETH/WELL),Dex,"1,173.03",0.04%
0x80c7dd17b01855a6d2347444a0fcc36136a314de,SushiSwap V3 Positions NFT-V1 (SUSHI-V3-POS),Dex,"1,027.54",0.04%
0x7f670f78b17dec44d5ef68a48740b6f8849cc2e6,Volatile AMM - WETH/AERO (vAMM-WETH/AERO),Dex,"1,023.76",0.04%
0x6b87b8663ee63191887f18225f79d9eeb2de0d34,Volatile AMM - WETH/bsdETH (vAMM-WETH/bsdETH),Dex,"1,009.24",0.04%
0xa6385c73961dd9c58db2ef0c4eb98ce4b60651e8,Volatile AMM - WETH/wstETH (vAMM-WETH/wstETH),Dex,909.63,0.03%
0xde4fb30ccc2f1210fce2c8ad66410c586c8d1f9a,Aerodrome(WETH-msETH),Dex,907.71,0.03%
0xcfaf75a3d292c3535ea3acdb16ed2ee58c2bb091,Uniswap V3(WETH-BORED),Dex,882.20,0.03%
0xb1419a7f9e8c6e434b1d05377e0dbc4154e3de78,Uniswap V3(weETH.base-WETH),Dex,819.88,0.03%
0x91f0f34916ca4e2cce120116774b0e4fa0cdcaa8,Volatile AMM - weETH.base/WETH (vAMM-weETH.base/WETH),Dex,799.48,0.03%
0xb8866732424acddd729c6fcf7146b19bfe4a2e36,Stable AMM - WETH/rETH (sAMM-WETH/rETH),Dex,764.77,0.03%
0xeccb34691c06c1c9c31ceb2228b22cbd242b5879,Uniswap V3(WETH-AIRDROP),Dex,671.96,0.02%
0x2d25e0514f23c6367687de89bd5167dc754d4934,Volatile AMM - WETH/TAROT (vAMM-WETH/TAROT),Dex,638.16,0.02%
0x678aa4bf4e210cf2166753e054d5b7c31cc7fa86,PancakeSwap V3,Dex,563.17,0.02%
0x8055e6de251e414e8393b20adab096afb3cf8399,Uniswap V3(WETH-SPEC),Dex,561.84,0.02%
0x0dfb9cb66a18468850d6216fcc691aa20ad1e091,Volatile AMM - WETH/GHST (vAMM-WETH/GHST),Dex,543.38,0.02%
0x20e068d76f9e90b90604500b84c7e19dcb923e7e,Uniswap V3(WETH-wstETH),Dex,431.29,0.01%
0xb3cc484a60bc300719aaefbd158a4e8e59d84555,HorizonDEX Reinvestment Token (HRZN-NPM),Dex,415.18,0.01%
0xb4885bc63399bf5518b994c1d0c153334ee579d0,Volatile AMM - WETH/USDbC (vAMM-WETH/USDbC),Dex,373.14,0.01%
0xc90e88d30b99442b6994915f3b146ce3d55982d9,Volatile AMM - MAVIA/WETH (vAMM-MAVIA/WETH),Dex,363.88,0.01%
0xe22a2dfaaaaec8a7b2b7acb4909eaaa5c5bd6e64,Uniswap V3(NOGS-WETH),Dex,345.27,0.01%
0x76bf0abd20f1e0155ce40a62615a90a709a6c3d8,Uniswap V3(WETH-BRETT),Dex,338.06,0.01%
0x7eb847a214192aab8fa1b503f4d4c9ddd2a08db6,Uniswap V3(WETH-TICKER),Dex,330.97,0.01%
0xa24382874a6fd59de45bbccfa160488647514c28,Volatile AMM - WETH/wrsETH (vAMM-WETH/wrsETH),Dex,305.61,0.01%
0x1a9f461a371559f82976fa18c46a6a0d29f131d0,Volatile AMM - WETH/TKN (vAMM-WETH/TKN),Dex,304.31,0.01%
0xd95bae63641d822dc591bd4aca7a64e53eac76f9,Uniswap V3(WETH-CHOMP),Dex,297.21,0.01%
0x69d667281778db0c3bc8177efea3a91ee95c3068,Uniswap V3(LONG-WETH),Dex,296.94,0.01%
0x10648ba41b8565907cfa1496765fa4d95390aa0d,Uniswap V3(cbETH-WETH),Dex,293.41,0.01%
0x4c36388be6f416a29c8d8eee81c771ce6be14b18,Uniswap V3(WETH-USDbC),Dex,288.92,0.01%
0x48413707b70355597404018e7c603b261fcadf3f,Uniswap V3(WETH-WETH),Dex,253.31,0.01%
0x21594b992f68495dd28d605834b58889d0a727c7,Volatile AMM - VIRTUAL/WETH (vAMM-VIRTUAL/WETH),Dex,232.27,0.00%
0x0d2edd335982f56662d772b93d86901eb9bd2ff9,Uniswap V3(WETH-BENCH),Dex,225.90,0.00%
0x6c561b446416e1a00e8e93e221854d6ea4171372,Uniswap V3(WETH-USDC),Dex,221.52,0.00%
0x963ceee215e5b0b1dcb221c3ba398de66abc73d9,Volatile AMM - GENOME/WETH (vAMM-GENOME/WETH),Dex,219.77,0.00%
0x9e37cb775a047ae99fc5a24dded834127c4180cd,Uniswap V3(BALD-WETH),Dex,217.58,0.00%
0x84ff3b6e2046579fb2f2b891ce18ee10b5fbdbf2,Volatile AMM - EXTRA/WETH (vAMM-EXTRA/WETH),Dex,215.89,0.00%
0xeff0891e5a1bd47a8f1e77abebfee4145974d088,Volatile AMM - WETH/JARVIS (vAMM-WETH/JARVIS),Dex,215.85,0.00%
0xec0b7e8e44c9d60efd67a89dba1d4a6e02a7a4a0,Uniswap V3(WETH-PRESALE),Dex,214.31,0.00%
0xaace080ea9ce5e7942ea826d311b6170bdfcf73b,Volatile AMM - WETH/TOWER (vAMM-WETH/TOWER),Dex,206.94,0.00%
0xf91e0dfe1265b914182de54e08c9ca2068beddde,Volatile AMM - WETH/MET (vAMM-WETH/MET),Dex,202.56,0.00%
0x455fd3ae52a8ab80f319a1bf912457aa8296695a,Uniswap V3(IHF-WETH),Dex,202.40,0.00%
0x65488ed876fa62489569abc73b6005a0a3f64150,SushiSwap V3,Dex,197.91,0.00%
0xade9bcd4b968ee26bed102dd43a55f6a8c2416df,Uniswap V3(WETH-doginme),Dex,191.40,0.00%
