Address,Address Tag,Type,Token Balance,Percentage
0x00051d55999c7cd91b17af7276cbecd647dbc000,-,Eoa,"54,352.69",2.30%
0x71395c0cdadeeff84ce43f13b60248e1d8a27139,-,Eoa,"30,878.58",1.31%
0x10fa4bf4d2f352153b8ffc6743b858c8fa81e88e,-,Eoa,"21,547.43",0.91%
0x32101b3dd90f71ddf2d4c979e1e8abb0eb2c2795,-,Eoa,"15,422.22",0.65%
0xe53321dd2fea73c0242343771206321127a19a47,-,Eoa,"13,842.28",0.58%
0xc947a5aa5b91a0a9952e9e1e492f619e80610000,_jaechung,Eoa,"12,738.07",0.54%
0x4c1a699166cd60473040d0618c47ad82251b9d0f,-,Eoa,"9,620.58",0.40%
0xcca9cea4547b0f46797011b3f592e560ebd2e33c,-,Eoa,"7,305.57",0.31%
0xb7670274f7fcbcd00503561be54852382d83dba6,-,Eoa,"6,984.14",0.29%
0x134575ff75f9882ca905ee1d78c9340c091d6056,-,Eoa,"6,558.16",0.27%
0xb497070466dc15fa6420b4781bb0352257146495,-,Eoa,"6,167.48",0.26%
0x989536719a72cfd50348ccd5521256c7eb41a999,-,Eoa,"5,901.97",0.25%
0x3a78b26d40756344fd16ac31be9597bf4f6c68d5,-,Eoa,"5,511.51",0.23%
0x166ce42df5f4baa94abc5b62c60dab1b3c73d2a3,-,Eoa,"5,472.29",0.23%
0x7c819b7e82dc6f3070f08063147c0a687a1ce3ca,-,Eoa,"5,277.31",0.22%
0x0c740699fc922a72e61fef9689713e29a2b899fc,-,Eoa,"4,218.18",0.17%
0xfd584d1e9c7a32213ddd7ddf6f73669b60ec3ef1,-,Eoa,"4,013.39",0.17%
0xad3b97c3c22b00c900fb04d47b3037e33f1d07d9,-,Eoa,"2,938.05",0.12%
0x357607d42fb25e7e6221520d4bfb90dac6b8d467,-,Eoa,"2,874.75",0.12%
0x7ac01acf8ac1984349f1aeb10d9eb11c90e120f8,-,Eoa,"2,397.61",0.10%
0x063adacc01db782093d0310bf3d5755d2adec424,-,Eoa,"2,378.93",0.10%
0x154cd317043a561e5d7bea5363e0ae20d726d70e,-,Eoa,"2,135.31",0.09%
0xc3e4e3756eeff0bfc045af3644cff93314ba2467,-,Eoa,"2,125.20",0.09%
0x2de9d6f84e28f3a347b97c6a3db51d366e65ba4c,Safefarmer,Eoa,"2,077.95",0.08%
0xc80c55a9c9e26ccbb00b3eb59b14cb0d30d95f40,-,Eoa,"1,904.19",0.08%
0xd746a2a6048c5d3aff5766a8c4a0c8cfd2311745,-,Eoa,"1,854.35",0.07%
0x0a6c69327d517568e6308f1e1cd2fd2b2b3cd4bf,-,Eoa,"1,733.52",0.07%
0x9cbf099ff424979439dfba03f00b5961784c06ce,AndreIsBack,Eoa,"1,688.77",0.07%
0x3f3429d28438cc14133966820b8a9ea61cf1d4f0,-,Eoa,"1,612.45",0.06%
0x5c70b3f22595caf8314f77dabc628363aaee18ad,-,Eoa,"1,592.66",0.06%
0x2c30a3a1b2cc998a95ab60cef376fcc7d8f0bd9d,-,Eoa,"1,418.09",0.06%
0x2156bfa195c033ca2df4ff14e6da0c617b8cb4f7,-,Eoa,"1,314.41",0.05%
0xf9aeb52bb4ef74e1987dd295e4df326d41d0d0ff,-,Eoa,"1,255.09",0.05%
0x328fefbb32fbadbb4a6f6e821aedf034fd790ae5,-,Eoa,"1,246.65",0.05%
0xde6b2a06407575b98724818445178c1f5fd53361,Samuraieth1,Eoa,"1,224.31",0.05%
0x937793ab079ba9a6019e6239db1593c0c4c2461d,-,Eoa,"1,066.52",0.04%
0xf447e2805f08e710fee5815a75e9cc40591e989a,-,Eoa,"1,062.65",0.04%
0xc44fd102415ff62769a4e37c70dea27033a5291f,senlinear,Eoa,"1,057.12",0.04%
0xca686974913389d42f3c5f61010503daccdb487a,-,Eoa,934.60,0.03%
0x994649b6f14e340c2878885d2e9d90bfd4ee8aae,-,Eoa,877.44,0.03%
0xb39778f7bbfe76e3013fcdb7027453063e44f14a,-,Eoa,862.14,0.03%
0xe31deacee1770dfa56f8849724bcb7f8e5f76ef2,-,Eoa,851.48,0.03%
0xf078969e55cabf9ae3f26afeb5ec627b4430f19e,-,Eoa,813.61,0.03%
0x4e42acaec7379db6c9325b5b11f4bcd7f373652a,-,Eoa,806.76,0.03%
0x33d84d2a77d850b13053a1496d25cc58b145aa13,-,Eoa,764.04,0.03%
0x4bb7f4c3d47c4b431cb0658f44287d52006fb506,Nexo,Eoa,762.95,0.03%
0x28aa4f9ffe21365473b64c161b566c3cdead0108,honey_pot,Eoa,745.30,0.03%
0x5593b57d06458f62b1a4f31a997945a3b51fc2fd,-,Eoa,734.71,0.03%
0xbabe777e1a43053c273bd8a4e45d0cb6c20f8fc6,-,Eoa,729.30,0.03%
0x31a7ab96408d533c6d2728c2d42fd34136495cf5,-,Eoa,700.02,0.02%
0xb4a3c2debfc033ee3399ad6adf0b4fc74db92baa,-,Eoa,699.02,0.02%
0x473d3a2005499301dc353afa9d0c9c5980b5188c,delucinator,Eoa,696.91,0.02%
0x946c82173234069a0e0be63704e6b8297a115cd5,-,Eoa,666.77,0.02%
0xe52f5349153b8eb3b89675af45ac7502c4997e6a,Manifold Trading,Eoa,662.38,0.02%
0x2eee2103ea55e071df76ad4a8412aa47963ee85f,-,Eoa,644.19,0.02%
0xb5235bb9ec03353da455d742dd09cbc3817fe3fa,-,Eoa,639.27,0.02%
0xfc93233ac03580efedda4f31c173fec58cdd7aec,-,Eoa,624.69,0.02%
0xc65c762fc8a7e1618529c1e49ea3fe572dbdc40b,-,Eoa,624.22,0.02%
0xc0d28f068f5483e18c4da8025a9a97dddc8d42f2,-,Eoa,606.78,0.02%
