Address,Address Tag,Type,Token Balance,Percentage,Date Times,Txhash,Value (USD),From,To,Transfer Type,是否沉淀
0x835678a611b28684005a5e2233695fb6cbbb0007,Binance Deposit Address,Eoa,"2,029,405.31",1.18%,2024/8/6 9:03,0x61024dc09abb9cca4fe88411aad012c929f4b23613305691d2ce58f7c0c03369,3174280.24,0x5a52e96bacdabb82fd05763e25335261b270efcb,0x835678a611b28684005a5e2233695fb6cbbb0007,in,
0x4b16c5de96eb2117bbe5fd171e4d203624b014aa,Binance: SAFU Wallet,Eoa,"1,364,102.15",0.79%,,,0,,,,
0x489a8756c18c0b8b24ec2a2b9ff3d4d447f79bec,BNB Bridge Exploiter,Eoa,"1,020,094.76",0.59%,,,0,,,,
0xa7c0d36c4698981fab42a7d8c783674c6fe2592d,Binance Deposit Address,Eoa,"230,754.09",0.13%,2024/3/8 8:28,0x73c80b84a606b99ce111057f16ca3b22fdcfa1bf08295bcb2b49263ae341ec61,117121500.2,0x5a52e96bacdabb82fd05763e25335261b270efcb,0xa7c0d36c4698981fab42a7d8c783674c6fe2592d,in,
0x058a871358c1b01039a265635ea282c3f435a9ed,Binance US:Cold,Eoa,"216,106.37",0.12%,,,0,,,,
0x0966602e47f6a3ca5692529f1d54ecd1d9b09175,-,Eoa,"195,871.06",0.11%,,,0,,,,
0xee3b4876dd1691d21f663c3a4190a59526b6a714,-,Eoa,"116,500.01",0.06%,,,0,,,,
0x11c993a1c69aa0fae44e392b4719295a2ef12db5,-,Eoa,"115,004.72",0.06%,2024/5/25 4:37,0x83925a6598776d9bab6cf980821dc801a3fc521caf5c0d3a1e0dcf4abb97af13,6060742.016,0x2292617a9daeb1074d7c435f975f073b5378b7bc,0x11c993a1c69aa0fae44e392b4719295a2ef12db5,in,
0x06eb481b81448d2bb248bf8b373a2ed4cd01f781,-,Eoa,"114,997.66",0.06%,2024/5/25 3:45,0x25b5065678df96bd2ba46b988e8f8f5e929b4d3087b17f04410e9b2764646829,3805582.569,0x2292617a9daeb1074d7c435f975f073b5378b7bc,0x06eb481b81448d2bb248bf8b373a2ed4cd01f781,in,
0x67492f474b06deab70bdd94cc7f66fef02ccd50c,-,Eoa,"110,083.72",0.06%,2024/5/25 2:08,0xfcc6fe5149013ad2996e50e0a64e42e4f77de8b1f1f762cc15272475af655ad6,3045360,0x2292617a9daeb1074d7c435f975f073b5378b7bc,0x67492f474b06deab70bdd94cc7f66fef02ccd50c,in,
0x3136ed252d6ec340c7d2fb1285c15add1fd4e0fa,-,Eoa,"93,295.93",0.05%,2024/5/18 8:46,0x7a417ef4d5bbc2100f91e4ff93240b4636534af70c536edc16287ae637cdc710,6899262.775,0xeb2d2f1b8c558a40207669291fda468e50c8a0bb,0x3136ed252d6ec340c7d2fb1285c15add1fd4e0fa,in,
0x86523c87c8ec98c7539e2c58cd813ee9d1a08d96,-,Eoa,"80,234.70",0.04%,2024/7/26 2:23,0x9a66203bbbd892921267da172911103adee2c42e823887fddc70c3230f780d16,10151200,0x86523c87c8ec98c7539e2c58cd813ee9d1a08d96,0x0000000000000000000000000000000000002002,out,
0x0ecc16d3fa38e1a59c10e44cda4e2e9d9941275a,Crypto.com,Eoa,"72,744.51",0.04%,,,0,,,,
0xd183f2bbf8b28d9fec8367cb06fe72b88778c86b,-,Eoa,"57,936.75",0.03%,,,0,,,,
0x178165a0261851e4c06624c323e78d0919a2b47c,-,Eoa,"55,830.75",0.03%,,,0,,,,
0xfd6042df3d74ce9959922fec559d7995f3933c55,Phishing:7,Eoa,"48,510.94",0.02%,,,0,,,,
