Address,Address Tag,Type,Token Balance,Percentage,Date Times,Txhash,Value (USD),From,To,Transfer Type,是否沉淀
0x51c2ba3c5e8a90e7c27fa9ec8b287454eb698ead,-,Eoa,"1,700.00",3.01%,2024/7/29 17:44,0x3d46beba6eb17bfe708b8cfdaca7ca581979d33f2c6a25a4d5916ee762981248,115793052.1,0x51c2ba3c5e8a90e7c27fa9ec8b287454eb698ead,0x9537bc0546506785bd1ebd19fd67d1f06800d185,out,
0x058a871358c1b01039a265635ea282c3f435a9ed,Binance US:Cold,Eoa,"1,368.28",2.42%,2023/7/25 16:37,0x6927a6955e67f74cf7349e909d01ed5025899525609ae0530bf9e6413fae9358,79823394.56,0x34ea4138580435b5a521e460035edb19df1938c1,0x058a871358c1b01039a265635ea282c3f435a9ed,in,是
0x9d0e151414aaa3913f22ac95b9c6377ea7826f08,-,Eoa,800.01,1.41%,2024/7/31 7:16,0xce6bc5b5a72a9f76533b4134f89c82ebbf1b18f9082c1da1992589cccbd6163c,5834482.723,0x9d0e151414aaa3913f22ac95b9c6377ea7826f08,0x353fe4dbd32ac16ac0622c210ff9f180929f14c8,out,
0x59a661f1c909ca13ba3e9114bfdd81e5a420705d,-,Eoa,550.58,0.97%,2024/8/7 10:42,0xf253580aba81fb095b9a9c789852bed1f42776944f95206fa1d6165fe12a4d42,17044433.84,0x59a661f1c909ca13ba3e9114bfdd81e5a420705d,0xc1374730c18dd10a6d5026e5d326d5cbea5cc49b,out,
0xc1374730c18dd10a6d5026e5d326d5cbea5cc49b,Binance Deposit Address,Eoa,550.58,0.97%,2024/8/7 11:41,0x99d3b4118d3400b1dd68f82655b503ea3a09655e7028b363aba715a8f4c66e7b,17044433.84,0xc1374730c18dd10a6d5026e5d326d5cbea5cc49b,0x8894e0a0c962cb723c1976a4421c95949be2d4e3,out,
0x835678a611b28684005a5e2233695fb6cbbb0007,Binance Deposit Address,Eoa,514,0.91%,2024/5/28 1:42,0x688021984a14a658ee6dc420fbb86be1e47039b38a1b0ff98320cc166c73b661,29985942.74,0x0000000000000000000000000000000000001004,0x835678a611b28684005a5e2233695fb6cbbb0007,in,
0x2839146158a49f3694730b5ccac75d57b7d4b697,-,Eoa,275.01,0.48%,2024/5/22 11:22,0x1e012c7a7087e6769acc9aeffb2cc3b1825f3f3720876803e4ef37045ee28e63,106758.8732,0x0d0707963952f2fba59dd06f2b425ace40b492fe,0x2839146158a49f3694730b5ccac75d57b7d4b697,in,
0x7248a42eaf7a8888ed3f77da78b62c37f4b098de,Binance Deposit Address,Eoa,209.02,0.37%,2024/7/29 7:30,0x8aa0802af34d1701132fa2198bc35c3743f24079dd79a2146f1e91ad5ef59755,1516798.66,0x7248a42eaf7a8888ed3f77da78b62c37f4b098de,0x8894e0a0c962cb723c1976a4421c95949be2d4e3,out,
0x4d6ddfee047195528734026780f69b0604492855,-,Eoa,199.09,0.35%,2024/8/12 12:04,0xbea312d0b1086fd465231ae784eb17037d693417a9b96b301eabb8f6252c8e5c,502877.2424,0x4d6ddfee047195528734026780f69b0604492855,0x882c173bc7ff3b7786ca16dfed3dfffb9ee7847b,out,
0x0ad459e2184ec0d781785d5a22c7aec590d06f0b,-,Eoa,183.11,0.32%,2024/8/13 0:23,0x09da063d959cd4d700d19ed595d21035ffdd9c62bf22c02d672e84bbbc0c1591,1750151.897,0x8894e0a0c962cb723c1976a4421c95949be2d4e3,0x0ad459e2184ec0d781785d5a22c7aec590d06f0b,in,
