Address,Address Tag,Type,Token Balance,Percentage
0x480234599362dc7a76cd99d09738a626f6d77e5f,-,Eoa,"30,644.46",7.79%
0xa73d9021f67931563fdfe3e8f66261086319a1fc,-,Eoa,"29,439.42",7.49%
0xd041af244d15456aedfab358fa80d6e454f3bd27,-,Eoa,"9,664.48",2.45%
0x00f435fa1f4297d58644a5c96b75e26d45f9ea4b,-,Eoa,"9,002.92",2.29%
0x424dbed38cd0d83b13e2a150f86710fb445680cb,-,Eoa,"8,532.93",2.17%
0x543e991e712bb51804d7dc86924b6d4e9819542a,-,Eoa,"7,826.74",1.99%
0x0f75e2f8b264be979d06ea08fae4b736b2837ab7,-,Eoa,"5,479.50",1.39%
0x17df49518d73b129f0da36b1c9b40cb66420fdc7,ETH ICO Participant,Eoa,"4,104.94",1.04%
0xb7ebb37d1b3d0cf456a6f0e2bd3c1489d6c3f507,-,Eoa,"3,999.00",1.01%
0x9a34bbbdd6eb8c775e494692c5f661a9c5e574da,-,Eoa,"3,463.00",0.88%
0x2fb5b9fe0e291ae1b38a26229ff6274b88bcb959,-,Eoa,"3,457.25",0.87%
0x31ce3bf27af01296f2174f3115d428ca40b9b5b9,-,Eoa,"3,019.52",0.76%
0x4566520f1f0cd06e0ff2f8c684483da4f2c2d9be,-,Eoa,"2,465.35",0.62%
0xd953a49c53c2a4db1cf37ac2ecef2dd082938795,-,Eoa,"2,325.40",0.59%
0xc0cb5b9f3f96a491323485cc848efb5d7047231e,-,Eoa,"2,250.00",0.57%
0x0a843d6351edfd74c628f72c2be33735a5c71341,-,Eoa,"1,600.00",0.40%
0x9ce02f96a5a2edf5cfb9231317dcce81d16ee864,-,Eoa,"1,467.97",0.37%
0xd66eb1dec42fff5d7e40279beb0a94cf1b8a564d,-,Eoa,"1,274.65",0.32%
0x713cf085fb578053745d4e6f12c58c6b1f41a188,-,Eoa,"1,262.84",0.32%
0x8e89fe3cd76979aa7ed01b3c9b0a78e93bc2ad28,-,Eoa,"1,156.00",0.29%
0xfd3e92f8ebf45d355d3654b4dd61148677596424,-,Eoa,"1,007.50",0.25%
0x11f01afbb6314629a53a2db9fd357a228030a73e,-,Eoa,"1,001.44",0.25%
0xd26e169b8f9aeb8762fd48ec51a681ce228f6a2e,-,Eoa,999.87,0.25%
0x8503fa99f2e7410e904f050849f8234091e1d108,-,Eoa,999.00,0.25%
0x9dcfdd7e6416674681c1759f723773e7ab30169d,-,Eoa,992.75,0.25%
0x916e7922be7b149df49cd0f972cf7e599da6aa9b,-,Eoa,895.55,0.22%
0x7001f26ebc3e70609736a82ac3f2c8208ffa75ca,-,Eoa,895.00,0.22%
0xc691277d693c9d42dd39ad8fde6833b93783101e,-,Eoa,869.82,0.22%
0x7af95fdba886eaf50b06ee5daf25ef0cafdc37f4,-,Eoa,867.24,0.22%
0x8635831fd0dd43078ebc3af9eca4232c2ca49b73,-,Eoa,847.79,0.21%
0xa375b695564e45db8b44bbb93d30291239e72e77,-,Eoa,800.00,0.20%
0x285a22aea25df0f33da1ef69d172a8f216641860,-,Eoa,773.84,0.19%
0xe105c872d766209f5228f085af7a418c8352047b,-,Eoa,746.35,0.19%
0x781b62036d1b9eb00f1d9d1ed70b02a8c8b2b686,-,Eoa,742.98,0.18%
0xe0bb30e4da109b065b5f002905ae517acfe3c461,-,Eoa,741.22,0.18%
0x6a9c371db67992444ca55d32ea4219dd264b8dd3,-,Eoa,741.00,0.18%
0x5ad727d30bbcb5a7bcdfa213b940ccfa61835121,-,Eoa,710.00,0.18%
0x176dbb5e78ee84c61e1b418fc8b9b708038b8a76,-,Eoa,629.47,0.16%
0x002a35f09f462595b1905015a43c18b1e02fe24a,-,Eoa,627.00,0.15%
0x8d738b3ddf8425e155f52caaaedc65ab28234f31,-,Eoa,583.14,0.14%
0x46b34053855a7fb79cc3401325848bcd28b4ba8d,-,Eoa,552.72,0.14%
0xf0f9367d2ff2a05b258f2d1503811b06726a64ed,-,Eoa,551.84,0.14%
0x7eb2e1a3f7faaac93da015da16918d5051eae97f,-,Eoa,549.00,0.13%
