Address,Address Tag,Type,Token Balance,Percentage,Date Times,Txhash,Value (USD),From,To,Transfer Type
0x480234599362dc7a76cd99d09738a626f6d77e5f,-,Eoa,"30,644.46",7.79%,2018-12-24 11:59:53,0xff139f8a9839be28e45cf707ca38484663f074a51a8bc0fa831c383c91e56aca,7951150.787400001,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,0x480234599362dc7a76cd99d09738a626f6d77e5f,in
0xa73d9021f67931563fdfe3e8f66261086319a1fc,-,Eoa,"29,439.42",7.49%,2018-09-27 04:43:24,0x6d14bc34dc527d72dc24d2ec1d3554b2ceabae83dbe8d31ddb57a2e22babb86c,5192100.0,0xa73d9021f67931563fdfe3e8f66261086319a1fc,0xc5954e9aea3a754fff2db26a71ed7ec6432b9238,out
0xd041af244d15456aedfab358fa80d6e454f3bd27,-,Eoa,"9,664.48",2.45%,2019-03-19 19:19:27,0x87cddb03b43d3add52bcea9c9f2351c15883e0c44a97da3ee33d7288b929a759,1474659.9702299098,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0xd041af244d15456aedfab358fa80d6e454f3bd27,in
0x00f435fa1f4297d58644a5c96b75e26d45f9ea4b,-,Eoa,"9,002.92",2.29%,2018-08-23 04:56:28,0x1c60572a14a516060de1e898cfaecae768f1f4fb0202602f63ff094cba6c64e3,4674354.1722,0xd551234ae421e3bcba99a0da6d736074f22192ff,0x00f435fa1f4297d58644a5c96b75e26d45f9ea4b,in
0x424dbed38cd0d83b13e2a150f86710fb445680cb,-,Eoa,"8,532.93",2.17%,2018-01-26 19:54:38,0x88246a24587c2926b2315be01584fa3fac043a2e805038a1b195285a2d66eaab,363447.0,0xd551234ae421e3bcba99a0da6d736074f22192ff,0x424dbed38cd0d83b13e2a150f86710fb445680cb,in
0x543e991e712bb51804d7dc86924b6d4e9819542a,-,Eoa,"7,826.74",1.99%,2018-02-01 22:11:07,0x5af8d10cd3c9427bbde6c12c04c1521da4f0d6d0209f16da98fbad64422b796e,4058533.781001,0xf00c4fff57d6c3399c8abfffd1b981631e28dee9,0x543e991e712bb51804d7dc86924b6d4e9819542a,in
0x0f75e2f8b264be979d06ea08fae4b736b2837ab7,-,Eoa,"5,479.50",1.39%,2024-06-16 15:42:23,0x228a6e892aa6148c8f0dbe26c8c7dabd7bd3483b6a603c2368d63af7dc752322,10384.2,0x0f75e2f8b264be979d06ea08fae4b736b2837ab7,0x95753372055343e1e97d0379a1943980432a0ef8,out
0x17df49518d73b129f0da36b1c9b40cb66420fdc7,ETH ICO Participant,Eoa,"4,104.94",1.04%,2017-09-29 21:02:26,0x2c4cd5879925cc29c68f1dd03520ca58a453538e1fb3c478658f2d18a5335f3b,2126655.863055,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0x17df49518d73b129f0da36b1c9b40cb66420fdc7,in
0xb7ebb37d1b3d0cf456a6f0e2bd3c1489d6c3f507,-,Eoa,"3,999.00",1.01%,2017-12-28 10:17:42,0x71857eb68098014f5cbaaa0261288aa6cb05f5865e440e46caf77a2faac3fd71,2076320.79,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0xb7ebb37d1b3d0cf456a6f0e2bd3c1489d6c3f507,in
0x9a34bbbdd6eb8c775e494692c5f661a9c5e574da,-,Eoa,"3,463.00",0.88%,2019-05-16 13:03:04,0x773a6b861f7c90d1572a2827a2a6dc903277637be8bacf62ff1a1f384524f2be,673934.5800000001,0x9a34bbbdd6eb8c775e494692c5f661a9c5e574da,0x308bb965c62658df88fe4d1a3e7f89d031f1007e,out
0x2fb5b9fe0e291ae1b38a26229ff6274b88bcb959,-,Eoa,"3,457.25",0.87%,2024-03-15 13:01:47,0xa863cdc0360600acca74983d79a5cf544566e8cfc15b584369e28922f1f073b6,1789846.6725,0x8699cee9cca0f1e2e627059ef7dcd46e9735b9d5,0x2fb5b9fe0e291ae1b38a26229ff6274b88bcb959,in
0x31ce3bf27af01296f2174f3115d428ca40b9b5b9,-,Eoa,"3,019.52",0.76%,2018-01-18 06:34:11,0xadb2219a4b710a9c22bb58170d232ca7eba4dbd8d220a719d5df035a28093f2e,674604.3609,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,0x31ce3bf27af01296f2174f3115d428ca40b9b5b9,in
0x4566520f1f0cd06e0ff2f8c684483da4f2c2d9be,-,Eoa,"2,465.35",0.62%,2019-02-19 00:52:08,0x7a3175bb8f84bf8983965832020fa8afc960134c22bd22a1d80057236499d9cf,1280034.4786763699,0xd551234ae421e3bcba99a0da6d736074f22192ff,0x4566520f1f0cd06e0ff2f8c684483da4f2c2d9be,in
0xd953a49c53c2a4db1cf37ac2ecef2dd082938795,-,Eoa,"2,325.40",0.59%,2020-03-05 09:48:19,0x3cd5fb64e5b3c2d5ed4c42010b28582c6545a65e416346ab0cbcb14b260e0e5f,10384200.0,0xd953a49c53c2a4db1cf37ac2ecef2dd082938795,0x53cc36a4bc06f100ffec164157785305249d9ec9,out
0xc0cb5b9f3f96a491323485cc848efb5d7047231e,-,Eoa,"2,250.00",0.57%,2017-07-24 05:00:40,0x87e4ab32b4e92c4051867de01536335410150decfdb2483a27f8bfaf317c4487,1168222.5,0xffed97052d3f64d847f435cc62e830ce8eb30c15,0xc0cb5b9f3f96a491323485cc848efb5d7047231e,in
0x0a843d6351edfd74c628f72c2be33735a5c71341,-,Eoa,"1,600.00",0.40%,2024-06-19 11:39:59,0xe22eb67584437288aa58923aa144e49b8f7c9a4af1d9aba0e7c8623dc3a7252d,91380.96,0x0a843d6351edfd74c628f72c2be33735a5c71341,0xff6d774e41338f0d24ac8d6c1ac5d767c6371291,out
0x9ce02f96a5a2edf5cfb9231317dcce81d16ee864,-,Eoa,"1,467.97",0.37%,2018-01-23 01:16:44,0x7dc86a7d54d5d4cc33ccfce9a2980f4192f0c51bc00f5909b2e18c7a4eb8a489,502440.67181130574,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,0x9ce02f96a5a2edf5cfb9231317dcce81d16ee864,in
0xd66eb1dec42fff5d7e40279beb0a94cf1b8a564d,-,Eoa,"1,274.65",0.32%,2018-05-16 10:33:29,0x5ecde0df2a2b8605dde60ed1f589c135adda3fe27ec11d8683403d908f85c12a,661816.2186000001,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,0xd66eb1dec42fff5d7e40279beb0a94cf1b8a564d,in
0x713cf085fb578053745d4e6f12c58c6b1f41a188,-,Eoa,"1,262.84",0.32%,2018-06-06 21:08:10,0x756ac9b767414f3ccfdca10ed98d2adbe07f57a2896d353be1c92097abb3fd09,655683.8148767304,0x8e5b4cdc512c58804c0c335afa2d6c12cb952190,0x713cf085fb578053745d4e6f12c58c6b1f41a188,in
0x8e89fe3cd76979aa7ed01b3c9b0a78e93bc2ad28,-,Eoa,"1,156.00",0.29%,2017-12-07 16:54:23,0xa1bf283db25b9fa4ed6f5812134aa5d4c3e5bd6468e666bafd7eecace596b9e4,600206.76,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0x8e89fe3cd76979aa7ed01b3c9b0a78e93bc2ad28,in
0xfd3e92f8ebf45d355d3654b4dd61148677596424,-,Eoa,"1,007.50",0.25%,2018-11-17 23:46:28,0xce7972267c30266f8d6ea88b5b0b4ce096ca99d010adbd585a352833ace3e606,523107.76168694976,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,0xfd3e92f8ebf45d355d3654b4dd61148677596424,in
0x11f01afbb6314629a53a2db9fd357a228030a73e,-,Eoa,"1,001.44",0.25%,2018-04-27 13:27:51,0x2507c40347c3570c4fcdbd7b84743e8d8be62994830debbdf62d87575ea48d6e,519064.62120000005,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0x11f01afbb6314629a53a2db9fd357a228030a73e,in
0xd26e169b8f9aeb8762fd48ec51a681ce228f6a2e,-,Eoa,999.87,0.25%,2018-10-21 09:02:38,0x569520053781f0474c207595e8dd86881ec8165466b884463a3714f3db738d97,519142.5027,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,0xd26e169b8f9aeb8762fd48ec51a681ce228f6a2e,in
0x8503fa99f2e7410e904f050849f8234091e1d108,-,Eoa,999.00,0.25%,2017-09-04 12:37:41,0xc6e044d89b74738b27c75570a0658ce25622a6bc943be0ea4c76cf480bd38081,518690.79000000004,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0x8503fa99f2e7410e904f050849f8234091e1d108,in
0x9dcfdd7e6416674681c1759f723773e7ab30169d,-,Eoa,992.75,0.25%,2018-01-29 07:38:06,0x994057c4ab4a824399f476bceb10112e8f69ddb616083b8adf767777c08eadaf,515446.64749858325,0x564286362092d8e7936f0549571a803b203aaced,0x9dcfdd7e6416674681c1759f723773e7ab30169d,in
0x916e7922be7b149df49cd0f972cf7e599da6aa9b,-,Eoa,895.55,0.22%,2017-09-04 19:08:45,0x97db6006ecac478ec0f489d7d3825a15d1d5502b5f6a19ada2c24cef9c198a1b,464979.29431500006,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0x916e7922be7b149df49cd0f972cf7e599da6aa9b,in
0x7001f26ebc3e70609736a82ac3f2c8208ffa75ca,-,Eoa,895.00,0.22%,2023-12-28 20:48:23,0xef967228c0c4d95374238f3d0753f77bc9636388225ed6319a5f7ee4ff338a3b,464692.95,0x00ee047a66d5cff27587a61559138c26b62f7ceb,0x7001f26ebc3e70609736a82ac3f2c8208ffa75ca,in
0xc691277d693c9d42dd39ad8fde6833b93783101e,-,Eoa,869.82,0.22%,2018-09-23 16:55:51,0xf06266dced0ab5394a82f06dc59f2d0efea7e94be4fde2e2ffcc29bcdbe8f4a3,49506.6735,0xd551234ae421e3bcba99a0da6d736074f22192ff,0xc691277d693c9d42dd39ad8fde6833b93783101e,in
0x7af95fdba886eaf50b06ee5daf25ef0cafdc37f4,-,Eoa,867.24,0.22%,,,0.0,,,
0x8635831fd0dd43078ebc3af9eca4232c2ca49b73,-,Eoa,847.79,0.21%,2018-06-22 05:19:06,0xd71516e4854c4afacfbce937959e3a57ef022a9e8898d6649999455fd0803d76,440181.58576936595,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,0x8635831fd0dd43078ebc3af9eca4232c2ca49b73,in
0xa375b695564e45db8b44bbb93d30291239e72e77,-,Eoa,800.00,0.20%,2019-04-17 17:42:22,0x9c64457984647b1755121fccf84c55ea8a1e2b984254a5c907672a5bc71cd30a,415368.0,0xbabdd722da2db7b43e60812832f3c8dcbd54ea43,0xa375b695564e45db8b44bbb93d30291239e72e77,in
0x285a22aea25df0f33da1ef69d172a8f216641860,-,Eoa,773.84,0.19%,2020-03-25 09:59:57,0x98834383c572c99daf2a9e99504922ab01a73e6c6a428e6d224c10bedf102be9,25960.5,0x285a22aea25df0f33da1ef69d172a8f216641860,0xb7b0ed016a7b28b93529f273f50c04d4b904913d,out
0xe105c872d766209f5228f085af7a418c8352047b,-,Eoa,746.35,0.19%,2017-12-13 19:57:02,0xff41d260cc1bf34773bb2f0acd3dc77600d9a0fce0d06fd5ca9337f58d612890,25441.29,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0xe105c872d766209f5228f085af7a418c8352047b,in
0x781b62036d1b9eb00f1d9d1ed70b02a8c8b2b686,-,Eoa,742.98,0.18%,2017-12-01 10:48:34,0xe43592de33cb06366e0e9869681b1f309675b2d4099ff00fb75419df288df8f5,363966.21,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0x781b62036d1b9eb00f1d9d1ed70b02a8c8b2b686,in
0xe0bb30e4da109b065b5f002905ae517acfe3c461,-,Eoa,741.22,0.18%,2018-01-17 08:05:09,0xba32e7e0fcdc6c121f857a159e6b0b4ea381d25b8ec99031c59227aa9b2d5396,380053.358901765,0x564286362092d8e7936f0549571a803b203aaced,0xe0bb30e4da109b065b5f002905ae517acfe3c461,in
0x6a9c371db67992444ca55d32ea4219dd264b8dd3,-,Eoa,741.00,0.18%,2019-02-05 09:04:34,0xbab4e55f83e66439b2b13d3a90b921edf67c8cd6dd9510c66e1d7e5d722b5451,384734.61000000004,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0x6a9c371db67992444ca55d32ea4219dd264b8dd3,in
0x5ad727d30bbcb5a7bcdfa213b940ccfa61835121,-,Eoa,710.00,0.18%,2019-08-27 12:03:11,0x246368f6f6d2140270610e92e7d0c3da9b50a42201e8c1aaf26a6bddecaeb788,368639.10000000003,0xfb30e66a96ec7b6634bde94144e57325acb61316,0x5ad727d30bbcb5a7bcdfa213b940ccfa61835121,in
0x176dbb5e78ee84c61e1b418fc8b9b708038b8a76,-,Eoa,629.47,0.16%,2018-01-29 06:03:15,0x76962a04cb68490347c6da23f43595ef47ab32e2c80a314d7ff2337e69bb03ff,326829.12713408255,0xd551234ae421e3bcba99a0da6d736074f22192ff,0x176dbb5e78ee84c61e1b418fc8b9b708038b8a76,in
0x002a35f09f462595b1905015a43c18b1e02fe24a,-,Eoa,627.00,0.15%,2017-12-07 20:25:13,0x9fa965e4825a23c467df7ae571c9f2c88000bfbfdb377b6198774b8bb0b468ad,259605.00000000003,0x002a35f09f462595b1905015a43c18b1e02fe24a,0x45778a0188ac5d9db94755899c427c8333cf755a,out
