Address,Address Tag,Type,Token Balance,Percentage
0x517f9dd285e75b599234f7221227339478d0fcc8,Uniswap V2 (UNI-V2),Dex,"83,486,092.44",2.62%
0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,Curve.fi: DAI/USDC/USDT Pool,Dex,"62,232,917.02",1.95%
0x5777d92f208679db4b9778590fa3cab3ac9e2168,Uniswap V3: DAI-USDC 4,Dex,"36,054,370.20",1.13%
0x6c6bc977e13df9b0de53b251522280bb72383700,Uniswap V3,Dex,"7,464,959.03",0.23%
0xc2e9f25be6257c210d7adf0d4cd6e3e881ba25f8,Uniswap V3(DAI-WETH),Dex,"7,396,543.30",0.23%
0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,Uniswap V2 (UNI-V2),Dex,"7,370,831.17",0.23%
0xc3d03e4f041fd4cd388c549ee2a29a9e5075882f,SushiSwap LP Token (SLP),Dex,"5,069,112.04",0.15%
0xa5407eae9ba41422680e2e00537571bcc53efbfd,sUSD v2 Swap,Dex,"3,905,609.44",0.12%
0x60594a405d53811d3bc4766596efd80fd545a270,Uniswap V3: DAI 2,Dex,"2,529,067.66",0.07%
0x97e7d56a0408570ba1a7852de36350f7713906ec,Uniswap V3: DAI-FRAX,Dex,"2,078,030.79",0.06%
0xba12222222228d8ba445958a75a0704d566bf2c8,Balancer V2,Dex,"1,715,071.54",0.05%
0xae750560b09ad1f5246f3b279b3767afd1d79160,Uniswap V3(PEAS-DAI),Dex,"1,383,909.97",0.04%
0x1e0447b19bb6ecfdae1e4ae1694b0c3659614e4e,Solo Margin,Dex,"1,308,736.32",0.04%
0x3058ef90929cb8180174d74c507176cca6835d73,DLP_3058ef90 (DLP),Dex,"1,214,114.53",0.03%
0x48da0965ab2d2cbf1c17c09cfb5cbe67ad5b1406,Uniswap V3,Dex,"984,550.09",0.03%
0xe532b04d2f2e921dfec69e132e9214d2f82df304,Uniswap V2 (UNI-V2),Dex,"917,423.21",0.02%
0xdd2a08a1c1a28c1a571e098914ca10f2877d9c97,Loopring: Proxy Admin,Dex,"872,106.26",0.02%
0xe571dc7a558bb6d68ffe264c3d7bb98b0c6c73fc,Uniswap: Uniswap Foundation Custody,Dex,"749,250.74",0.02%
0xae461ca67b15dc8dc81ce7615e0320da1a9ab8d5,Uniswap V2 (UNI-V2),Dex,"738,612.71",0.02%
0xab7ae646063087317c1f410c6661364779f87d73,Bancor: Converter 558,Dex,"710,290.25",0.02%
0x9bd82673c50acb4a3b883d61e070a3c8d9b08e10,Uniswap V2 (UNI-V2),Dex,"621,195.09",0.01%
0x0a09cdb390d3b6ba9119843a92c14b2428e101bf,Uniswap V2 (UNI-V2),Dex,"547,393.02",0.01%
0x1cf0df2a5a20cd61d68d4489eebbf85b8d39e18a,Rarible: Treasury,Dex,"510,224.54",0.01%
0x87fe5b001444419b4751ce713a87f8f2aba36bdc,Uniswap V3: DAI-HOPR,Dex,"372,842.40",0.01%
0xcb0c5d9d92f4f2f80cce7aa271a1e148c226e19d,Uniswap V3: RAI-DAI,Dex,"362,996.38",0.01%
