Address,Address Tag,Type,Token Balance,Percentage
0xbf293d5138a2a1ba407b43672643434c43827179,Nomad Bridge Exploiter 2,Eoa,"39,753,037.51",1.24%
0xd1668fb5f690c59ab4b0cabad0f8c1617895052b,-,Eoa,"37,512,295.68",1.17%
0x837c20d568dfcd35e74e5cc0b8030f9cebe10a28,-,Eoa,"34,315,721.19",1.07%
0xa359fc83c48277eedf375a5b6dc9ec7d093ad3f2,-,Eoa,"30,522,251.05",0.95%
0x786f7f37095697221a09f2b2eb82657beafde435,-,Eoa,"29,685,956.09",0.93%
0x3b5fb9d9da3546e9ce6e5aa3cceca14c8d20041e,-,Eoa,"23,549,676.69",0.73%
0xfc2ee3bd619b7cfb2de2c797b96deecbd7f68e46,-,Eoa,"21,840,114.97",0.68%
0xc08a8a9f809107c5a7be6d90e315e4012c99f39a,-,Eoa,"21,758,245.29",0.68%
0xfd546293a729fe1a05d249ad4f2ca984082f889e,-,Eoa,"21,132,658.75",0.66%
0x5a16552f59ea34e44ec81e58b3817833e9fd5436,CVault Finance:Deployer,Eoa,"19,609,483.06",0.61%
0x604981db0c06ea1b37495265eda4619c8eb95a3d,-,Eoa,"17,284,249.43",0.54%
0x1819ede3b8411ebc613f3603813bf42ae09ba5a5,-,Eoa,"16,345,538.87",0.51%
0xf55d8255dbaba4b63885bbadd49a03cd762b8ba3,-,Eoa,"16,166,038.28",0.50%
0x82810e81cad10b8032d39758c8dba3ba47ad7092,-,Eoa,"15,697,825.05",0.49%
0x5aa7953b28a7ec6daea5e6d179c8d9eaf1a0f14a,-,Eoa,"13,311,094.14",0.41%
0xb96695ccb167ac37ae2fd46f8a8ddfaf462f27ac,-,Eoa,"13,307,169.80",0.41%
0xfda56cbd86e5576745495839fa925b90638cdd1a,-,Eoa,"11,930,205.30",0.37%
0xbf702ea18bb1ab2a710394993a576ec61476ccf3,-,Eoa,"11,728,000.00",0.36%
0x8a610c1c93da88c59f51a6264a4c70927814b320,-,Eoa,"11,505,050.00",0.36%
0x820c79d0b0c90400cdd24d8916f5bd4d6fba4cc3,-,Eoa,"11,400,000.00",0.35%
0xb4176cf4f50e7bef7183459582e235fa47dcc24a,-,Eoa,"10,976,811.93",0.34%
0x13e382dfe53207e9ce2eeeab330f69da2794179e,-,Eoa,"10,129,286.09",0.31%
