Address,Address Tag,Type,Token Balance,Percentage
0x47ac0fb4f2d84898e4d9e7b4dab3c24507a6d503,Binance: Binance-Peg Tokens,Exchange,"35,999,972.00",1.13%
0x66c57bf505a85a74609d2c83e94aabb26d691e1f,Kraken 12,Exchange,"11,964,713.51",0.37%
0x28c6c06298d514db089934071355e5743bf21d60,Binance 14,Exchange,"4,700,997.25",0.14%
0xcffad3200574698b78f32232aa9d63eabd290703,Crypto.com 5,Exchange,"4,609,004.93",0.14%
0x742d35cc6634c0532925a3b844bc454e4438f44e,Bitfinex 2,Exchange,"3,562,786.11",0.11%
0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,Coinbase 10,Exchange,"2,544,632.44",0.07%
0x21a31ee1afc51d94c2efccaa2092ad1028285549,Binance 15,Exchange,"2,103,618.54",0.06%
0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,Bitget,Exchange,"2,022,319.90",0.06%
0x5f65f7b609678448494de4c87521cdf6cef1e932,Gemini 4,Exchange,"1,953,077.62",0.06%
0xd6216fc19db775df9774a6e33526131da7d19a2c,KuCoin 6,Exchange,"1,522,365.25",0.04%
0x77134cbc06cb00b66f4c7e623d5fdbf6777635ec,Bitfinex: Hot Wallet,Exchange,"1,499,595.10",0.04%
0x0d0707963952f2fba59dd06f2b425ace40b492fe,Gate.io,Exchange,"1,395,273.45",0.04%
0xf89d7b9c864f589bbf53a82105107622b35eaa40,Bybit,Exchange,"1,346,280.22",0.04%
0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,OKEx,Exchange,"1,251,452.25",0.03%
0xf977814e90da44bfa03b6295a0616a897441acec,Binance 8,Exchange,"1,000,000.00",0.03%
0xf3b0073e3a7f747c7a38b36b805247b222c302a3,Crypto.com,Exchange,"909,617.82",0.02%
0x111cff45948819988857bbf1966a0399e0d1141e,bitFlyer,Exchange,"405,634.00",0.01%
0x7ab6c736baf1dac266aab43884d82974a9adcccf,Nexo,Exchange,"358,333.83",0.01%
