Address,Address Tag,Type,Token Balance,Percentage,Date Times,Txhash,Value (USD),From,To,Transfer Type
0xbf293d5138a2a1ba407b43672643434c43827179,Nomad Bridge Exploiter 2,Eoa,"39,753,037.51",1.24%,2024-08-05 03:44:35,0xd3f64c666f0e6441c26335e3623cd6da35b231d57c3670fd77fc83013eb1767f,39753037.51135797,0xbf293d5138a2a1ba407b43672643434c43827179,0x663ad6b822537d1e8108436a80e4c1cca4ccf448,out
0xd1668fb5f690c59ab4b0cabad0f8c1617895052b,-,Eoa,"37,512,295.68",1.17%,2024-05-21 19:22:47,0xd0a84b6788e4bbc4cde51cab8f0fb4716f8248f65c9309687d2911d7afa20374,782396.6469704156,0xad3b67bca8935cb510c8d18bd45f0b94f54a968f,0xd1668fb5f690c59ab4b0cabad0f8c1617895052b,in
0x837c20d568dfcd35e74e5cc0b8030f9cebe10a28,-,Eoa,"34,315,721.19",1.07%,2023-01-18 23:50:23,0xfcfc684d44531d158832419ac53d8685239eb8d018324e0c3c23cb0f91f36d8f,34315721.198137306,0x1111111254eeb25477b68fb85ed929f73a960582,0x837c20d568dfcd35e74e5cc0b8030f9cebe10a28,in
0xa359fc83c48277eedf375a5b6dc9ec7d093ad3f2,-,Eoa,"30,522,251.05",0.95%,2024-06-13 20:06:35,0x8a37606eea3a15b11c93ce9e2f4fcce558364d69915e5e517d2699a0a82189d0,30522251.052128397,0x2feb1512183545f48f6b9c5b4ebfcaf49cfca6f3,0xa359fc83c48277eedf375a5b6dc9ec7d093ad3f2,in
0x786f7f37095697221a09f2b2eb82657beafde435,-,Eoa,"29,685,956.09",0.93%,2024-05-07 17:53:59,0xc9ab61b1fb74a6689d4a990c14bba73358f02c3e872100dd0a0ac0670aba9f87,5000000.0,0xdf67930a03edb6bde0681c7659febb2d557bc09a,0x786f7f37095697221a09f2b2eb82657beafde435,in
0x3b5fb9d9da3546e9ce6e5aa3cceca14c8d20041e,-,Eoa,"23,549,676.69",0.73%,2023-09-23 01:28:23,0x4db8a244538e4dce92c8bbddf80a8a84136d9e6d91734983e17f8e03a7ffa10e,355047.5181749675,0x48da0965ab2d2cbf1c17c09cfb5cbe67ad5b1406,0x3b5fb9d9da3546e9ce6e5aa3cceca14c8d20041e,in
0xfc2ee3bd619b7cfb2de2c797b96deecbd7f68e46,-,Eoa,"21,840,114.97",0.68%,2021-07-31 08:08:48,0x22e43a73017f3f0953e527c0304432aebbd4c0dbbb4dae2cbfb42e385bba070e,21840114.97352421,0x3e18669729c8418de1b44113462ba5d59ac60a8b,0xfc2ee3bd619b7cfb2de2c797b96deecbd7f68e46,in
0xc08a8a9f809107c5a7be6d90e315e4012c99f39a,-,Eoa,"21,758,245.29",0.68%,2023-02-08 18:53:59,0x128e4a6add9f056129ca9493c2e323d4e8d1a2171a3ef8bab0eb588ff7d3fc35,100000.0,0xc08a8a9f809107c5a7be6d90e315e4012c99f39a,0x2d64e862abea3d3a3c47227e751825afcfa48df4,out
0xfd546293a729fe1a05d249ad4f2ca984082f889e,-,Eoa,"21,132,658.75",0.66%,2022-07-11 05:06:29,0x72f29c33daf0c35d8abce71aa35caf9e5daa1341829ff9a5d202268710513025,8000000.0,0xfd546293a729fe1a05d249ad4f2ca984082f889e,0x8ce71ef87582b28de89d14970d00b2377f93f32b,out
0x5a16552f59ea34e44ec81e58b3817833e9fd5436,CVault Finance:Deployer,Eoa,"19,609,483.06",0.61%,2024-08-05 01:39:23,0x2d1b72ce95cc0ea9444657b60afb2ee01272d975e793f8834191bc9ed136a24d,3000000.0,0x5a16552f59ea34e44ec81e58b3817833e9fd5436,0xd08d0006f00040b400180f9500b00c5026ac0900,out
0x604981db0c06ea1b37495265eda4619c8eb95a3d,-,Eoa,"17,284,249.43",0.54%,2022-09-08 04:34:50,0x48bd731de570645a0762637f4d73eab0980b610697f926e373669f03afd6b2a8,372627.0,0x739ca6d71365a08f584c8fc4e1029045fa8abc4b,0x604981db0c06ea1b37495265eda4619c8eb95a3d,in
0x1819ede3b8411ebc613f3603813bf42ae09ba5a5,-,Eoa,"16,345,538.87",0.51%,2024-03-10 18:36:35,0x49602b307b282b8a2623d7c092a2efcf1844d0f6b4cdfe54ba2bb489339f0324,1087152.1833334113,0x5777d92f208679db4b9778590fa3cab3ac9e2168,0x1819ede3b8411ebc613f3603813bf42ae09ba5a5,in
0xf55d8255dbaba4b63885bbadd49a03cd762b8ba3,-,Eoa,"16,166,038.28",0.50%,2024-07-23 23:27:59,0x0c099855f98216ea365778136afbb4fb5b90cfd1ca8a2e20613673fe55b5fd57,3500000.0,0xf55d8255dbaba4b63885bbadd49a03cd762b8ba3,0x9008d19f58aabd9ed0d60971565aa8510560ab41,out
0x82810e81cad10b8032d39758c8dba3ba47ad7092,-,Eoa,"15,697,825.05",0.49%,2021-04-14 17:55:01,0xe4a7b1ec79a5194145689bed0d008cbb8ae653641d87e83d5b0b9091bbe58517,4064085.7735373783,0xdb38ae75c5f44276803345f7f02e95a0aeef5944,0x82810e81cad10b8032d39758c8dba3ba47ad7092,in
0x5aa7953b28a7ec6daea5e6d179c8d9eaf1a0f14a,-,Eoa,"13,311,094.14",0.41%,2024-07-06 10:16:47,0x198a23bf3bc68a53d7f9b312749234c16f622ebcf9d85f40baf38a2d1347e966,222256.7885630022,0xad3b67bca8935cb510c8d18bd45f0b94f54a968f,0x5aa7953b28a7ec6daea5e6d179c8d9eaf1a0f14a,in
0xb96695ccb167ac37ae2fd46f8a8ddfaf462f27ac,-,Eoa,"13,307,169.80",0.41%,2021-07-31 08:17:21,0xa1c64dc4cb0697dadb574f42c85e41f96063829f98f328f6c93c64021d28f7e0,13307169.802926758,0x0a15f5c6aa858db3c8d952277e2c568970960522,0xb96695ccb167ac37ae2fd46f8a8ddfaf462f27ac,in
0xfda56cbd86e5576745495839fa925b90638cdd1a,-,Eoa,"11,930,205.30",0.37%,2023-01-19 00:49:35,0xeb2d094cfe66197d0c0060e455fbc433527215d40ead14b5930f97f2bca98225,57100.97837598167,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,0xfda56cbd86e5576745495839fa925b90638cdd1a,in
0xbf702ea18bb1ab2a710394993a576ec61476ccf3,-,Eoa,"11,728,000.00",0.36%,2022-11-09 07:29:23,0x4721e550970e10bd4e074c03e8ccc6712f813add7a832398d3de0082dad69cf9,11728000.0,0x1111111254fb6c44bac0bed2854e76f90643097d,0xbf702ea18bb1ab2a710394993a576ec61476ccf3,in
0x8a610c1c93da88c59f51a6264a4c70927814b320,-,Eoa,"11,505,050.00",0.36%,2023-08-01 20:12:11,0x33ab4ceb72d1c382610cc8d6ad4fb45629a61291ba48d63c88b988ac5217bccb,5882000.0,0x3f889ac8d3fbfca1945388a5ccd348b25c7acd8b,0x8a610c1c93da88c59f51a6264a4c70927814b320,in
0x820c79d0b0c90400cdd24d8916f5bd4d6fba4cc3,-,Eoa,"11,400,000.00",0.35%,2024-08-05 00:16:59,0x627745a7cfe78c050cf9ae9e323b6e4259c9dceb4f0d3baf30c00dabfd4a351a,2500000.0,0x820c79d0b0c90400cdd24d8916f5bd4d6fba4cc3,0xa5bc0e58ce6b006c05800743f43a7f33838d8c42,out
0xb4176cf4f50e7bef7183459582e235fa47dcc24a,-,Eoa,"10,976,811.93",0.34%,2022-02-07 23:17:15,0xd1453bcc496ce4cced1644e42f14361fbff5890b8bb5fa072f51dfb5cb617d15,158917.15849404057,0x1111111254fb6c44bac0bed2854e76f90643097d,0xb4176cf4f50e7bef7183459582e235fa47dcc24a,in
0x13e382dfe53207e9ce2eeeab330f69da2794179e,-,Eoa,"10,129,286.09",0.31%,2024-08-07 03:03:59,0xeb1b72a2904fe6aa3b276c0e72ecd79865d30b686f22494d239cd7dd78a012b0,2000000.0,0x13e382dfe53207e9ce2eeeab330f69da2794179e,0x90bf8aadcff22779e5cf208f84ef5b7536ae135d,out
0xd9cf5e2a699c19a33b4ba7831d9525471e262931,-,Eoa,"10,120,361.05",0.31%,2024-06-11 08:23:23,0x2cccc5e2cb83a89c70c97d07f7b74e8b977f525578c618a17d92df76322a5bd7,10120361.05945428,0x2872f40a9bf8348f280bd9d79220c3ffdfc6cdf8,0xd9cf5e2a699c19a33b4ba7831d9525471e262931,in
0xde228965da0d064b8ae171a02500602e84e8330d,-,Eoa,"10,068,197.13",0.31%,2023-07-03 12:59:47,0x74501ac6eb3142fa589f036c816a1f308f113fbeb197cbb7cf7c6edc4084da3f,5068197.135833833,0x7641a5e890478bea2bdc4cafff960ac4ae96886e,0xde228965da0d064b8ae171a02500602e84e8330d,in
0x3a886a63c768665a9830886e608d6f9dc6b4f730,-,Eoa,"10,000,001.32",0.31%,2023-12-31 21:07:59,0xafdc36278fcef8d54824b09ec019147cfe2afd995abf6754e52d273a2c1b07ca,10000000.0,0x1bf68a9d1eaee7826b3593c20a0ca93293cb489a,0x3a886a63c768665a9830886e608d6f9dc6b4f730,in
0x36fdbe7005414fa1611330dc7e18725ed4a75600,-,Eoa,"9,999,999.99",0.31%,2024-04-07 14:47:35,0xc5bc47ffd9733ca22ba38fbc34b33227125ea97e647d42c9195f8625bec6047d,9999989.0,0x974caa59e49682cda0ad2bbe82983419a2ecc400,0x36fdbe7005414fa1611330dc7e18725ed4a75600,in
0xcbe601f6263e7ba628d698a4cca3d33752115c90,-,Eoa,"9,998,266.55",0.31%,2024-06-11 00:41:35,0x83eff23e93783c1fae4dd541073f1443a4c599a7406479a31cf1348003c84ca5,9998266.55637658,0xd42b0ecf8a9f8ba9db7b0c989d73cf0bd5f83b66,0xcbe601f6263e7ba628d698a4cca3d33752115c90,in
0x2a5a1d256744bc09a2469d4cc558bbd84a35cefa,-,Eoa,"9,904,388.11",0.31%,2024-04-27 06:08:59,0x80f5ee5b3bc53074aa2ac390d74482452098dd847f98b184b50eea75d0a1bb48,9904388.11551,0x1111111254eeb25477b68fb85ed929f73a960582,0x2a5a1d256744bc09a2469d4cc558bbd84a35cefa,in
0xc2fe57936927d663937d83fd7d9a3c8dbd233556,-,Eoa,"9,392,206.00",0.29%,2024-07-22 06:04:59,0x705168dea281c3dcda87e24cf23a25d45b30974bb77c195d9339c177c13279b9,348951.0,0x69751adf4298c9d10b594a9996edcea30a9ec871,0xc2fe57936927d663937d83fd7d9a3c8dbd233556,in
0xe9be525b40578fa33ab723d458f6af9fda530662,-,Eoa,"9,372,075.44",0.29%,2023-02-22 20:54:47,0xa74993c05eea0d92761e33a9e4638ad8411fb1ca64ddfe3f60259def1dc28ff3,25000.0,0xe9be525b40578fa33ab723d458f6af9fda530662,0xe7b0ce0526fbe3969035a145c9e9691d4d9d216c,out
0xfe9fe2ef61faf6e291b06903dff85df25a989498,-,Eoa,"9,325,885.02",0.29%,2024-01-17 09:29:59,0x8eee985980763d7c6ebae527fd5417bade4188cd3f7a43d9a4d6ab6efd603386,1652580.0,0xd449888dbbdc7d8a4876dbb04ee56b80269d1eb3,0xfe9fe2ef61faf6e291b06903dff85df25a989498,in
0xdf1fc5523f2e5ea4f6dac2eaed3263953a391b0c,-,Eoa,"9,000,000.00",0.28%,2024-07-11 13:23:59,0x6b9a8c7c37c6eec0116ac4abe6ce6d5ef412ce7ecf82e994e9a65096bd43e97c,5000000.0,0x974caa59e49682cda0ad2bbe82983419a2ecc400,0xdf1fc5523f2e5ea4f6dac2eaed3263953a391b0c,in
0xfe175398f22f267ea8f5718e5848ef1e0047bf32,-,Eoa,"8,688,171.19",0.27%,2024-01-21 14:59:23,0x85e49a3f492c74eeff112d7432f8f5b003bbaa2b98e848629d91bbc3ad5d6d52,1997537.0,0x47464ccbe0bb6c8ee80f430839849e5402935490,0xfe175398f22f267ea8f5718e5848ef1e0047bf32,in
0x4c35234291cb25676e5363cff6f73f1ef545684b,-,Eoa,"8,578,729.93",0.26%,2022-09-07 23:19:55,0xe52452bcef97ca8343872f6c1af07ac4f69f14e00a5b7b1423b7b397432b446b,8578729.932304,0x1111111254fb6c44bac0bed2854e76f90643097d,0x4c35234291cb25676e5363cff6f73f1ef545684b,in
0x1821eb432e091cce0f2aa13bd64399a474d325d0,-,Eoa,"8,425,560.00",0.26%,2024-08-05 08:40:59,0x9bed535c5ac512b4358f1b4aab4fcb2b02f669f44c547e1732813c5823b461f7,4425560.0,0x1821eb432e091cce0f2aa13bd64399a474d325d0,0x748de14197922c4ae258c7939c7739f3ff1db573,out
0x7923ef1b53eb2cbbf8643f835aadd32f9f1dd240,-,Eoa,"8,215,123.53",0.25%,2022-09-07 16:27:16,0xcee99093e125c0d8bd77aeaf858a2cefb30a15e7b7639435ce69843cbfa8e2c8,3000000.0,0x7923ef1b53eb2cbbf8643f835aadd32f9f1dd240,0x9882238034fdfef9391fb1ae76980ee253dc857a,out
0xcd707a78e3ca02a39508ed817140957b38ea7ef6,-,Eoa,"8,140,233.52",0.25%,2024-02-03 04:16:59,0x83bb5724f9bcd16f2592cfdb17404fee52d8122e11feb5d5c7e872e7b4046f82,362993.1445219439,0xcf5540fffcdc3d510b18bfca6d2b9987b0772559,0xcd707a78e3ca02a39508ed817140957b38ea7ef6,in
