Address,Address Tag,Type,Token Balance,Percentage
0x40b38765696e3d5d8d9d834d8aad4bb6e418e489,Jump:robinhood funds,Eoa,"1,363,194.72",0.99%
0xea674fdde714fd979de3edf0f56aa9716b898ec8,Ethermine,Eoa,"802,537.79",0.58%
0xa6715eafe5d215b82cb9e90a9d6c8970a7c90033,Kraken Deposit Address,Eoa,"538,289.84",0.39%
0x829bd824b016326a401d083b33d092293333a830,f2pool.eth,Eoa,"440,726.33",0.32%
0xca8fa8f0b631ecdb18cda619c4fc9d197c8affca,-,Eoa,"325,000.48",0.23%
0x8696e84ab5e78983f2456bcb5c199eea9648c8c2,Coincheck:Cold,Eoa,"264,039.16",0.19%
0x0a4c79ce84202b03e95b7a692e5d728d83c44c76,-,Eoa,"254,248.45",0.18%
0x0e58e8993100f1cbe45376c410f97f4893d9bfcd,-,Eoa,"250,625.83",0.18%
0x2b6ed29a95753c3ad948348e3e7b1a251080ffb9,ETH ICO Participant,Eoa,"250,000.02",0.18%
0x1b3cb81e51011b549d78bf720b0d924ac763a7c2,ETH ICO Participant,Eoa,"243,300.00",0.17%
0xd3a22590f8243f8e83ac230d1842c9af0404c4a1,Ceffu:Custody Cold Wallet,Eoa,"194,995.82",0.14%
0xbf3aeb96e164ae67e763d9e050ff124e7c3fdd28,-,Eoa,"187,068.19",0.13%
0x9e927c02c9eadae63f5efb0dd818943c7262fb8e,-,Eoa,"171,547.25",0.12%
0x5b5b69f4e0add2df5d2176d7dbd20b4897bc7ec4,-,Eoa,"169,032.00",0.12%
0x2f2d854c1d6d5bb8936bb85bc07c28ebb42c9b10,-,Eoa,"167,334.97",0.12%
0xe3f8250bdc233d93875c15c25d725fd509192d60,-,Eoa,"161,881.77",0.11%
0xfd898a0f677e97a9031654fc79a27cb5e31da34a,-,Eoa,"150,000.10",0.10%
0x701c484bfb40ac628afa487b6082f084b14af0bd,Coinbase:Cold,Eoa,"150,000.00",0.10%
0xb20411c403687d1036e05c8a7310a0f218429503,-,Eoa,"150,000.00",0.10%
0x9a1ed80ebc9936cee2d3db944ee6bd8d407e7f9f,Coinbase Cold 8,Eoa,"150,000.00",0.10%
0x8d95842b0bca501446683be598e12f1c616770c1,-,Eoa,"143,012.05",0.10%
0x35aeed3aa9657abf8b847038bb591b51e1e4c69f,-,Eoa,"141,871.70",0.10%
0xb93d8596ac840816bd366dc0561e8140afd0d1cb,-,Eoa,"139,701.32",0.10%
0x7d6149ad9a573a6e2ca6ebf7d4897c1b766841b4,-,Eoa,"137,870.27",0.10%
0xb5ab08d153218c1a6a5318b14eeb92df0fb168d6,-,Eoa,"135,283.67",0.09%
0xdb3c617cdd2fbf0bb4309c325f47678e37f096d9,-,Eoa,"135,188.02",0.09%
0x15c22df3e71e7380012668fb837c537d0f8b38a1,-,Eoa,"132,876.50",0.09%
0x7ead3a4361bd26a20deb89c9470be368ee9cb6f1,-,Eoa,"132,432.53",0.09%
0xd5268a476aadd1a6729df5b3e5e8f2c1004139af,-,Eoa,"130,876.36",0.09%
0xd47b4a4c6207b1ee0eb1dd4e5c46a19b50fec00b,-,Eoa,"129,392.27",0.09%
0xd65fb7d4cb595833e84c3c094bd4779bab0d4c62,-,Eoa,"129,392.17",0.09%
0x595faf77e533a5cd30ab5859c9a0116de8bad8db,-,Eoa,"129,392.17",0.09%
0x1bd3fc5ac794e7af8e834a8a4d25b08acd9266ce,-,Eoa,"129,392.17",0.09%
0xf481b7fab9f5d0e74f21ae595a749634fb053619,-,Eoa,"129,231.42",0.09%
0x835678a611b28684005a5e2233695fb6cbbb0007,Binance Deposit Address,Eoa,"128,860.93",0.09%
0xa7c0d36c4698981fab42a7d8c783674c6fe2592d,Binance Deposit Address,Eoa,"128,280.01",0.09%
0xa7e4fecddc20d83f36971b67e13f1abc98dfcfa6,jeffehh,Eoa,"125,737.51",0.09%
0x79f67f689b9925710d4dda2a39d680e9cea61c81,-,Eoa,"121,198.18",0.08%
0x368d43c23843ca9b49dc861d80251bda6a090367,-,Eoa,"120,707.72",0.08%
0x2d1566722288be5525b548a642c98b546f116aa0,-,Eoa,"120,707.71",0.08%
0xb4f4317b7885de16305d1303570879c21f378255,-,Eoa,"120,707.71",0.08%
0x84bf16e7675cee22d0e0302913ccf58b45333ddf,-,Eoa,"120,707.71",0.08%
0x6d9d2b30df394f17a5058aceb9a4d3446f1bc042,-,Eoa,"120,707.71",0.08%
0xf443864ba5d5361bbc54298551067194f980a635,-,Eoa,"120,707.71",0.08%
0xa1a45e91164cdab8fa596809a9b24f8d4fdbe0f3,-,Eoa,"116,005.01",0.08%
0x0548f59fee79f8832c299e01dca5c76f034f558e,Genesis Trading:558e(OTC),Eoa,"112,283.95",0.08%
0x084ef8564b4f75a70b7ad5e8aabf73edac005397,-,Eoa,"108,544.04",0.07%
0xcac9c634b4464efe71a9a5910edba06686baf457,-,Eoa,"108,532.91",0.07%
0x04b7f4195595d8132dd8249cc8dc7e79a6ae772b,-,Eoa,"108,532.91",0.07%
0xff2ac8c5834a7585fcc97edb8ba2431c4beab487,-,Eoa,"108,532.91",0.07%
0x4ed97d6470f5121a8e02498ea37a50987da0eec0,-,Eoa,"108,532.91",0.07%
0x6e414cfad874d8ee716ea0299d40011207c907b8,-,Eoa,"108,205.26",0.07%
0x19bf56fca395a600c20f732b05757f30ad24a719,-,Eoa,"108,205.26",0.07%
0xfcd159d0fef5b1003e10d91a5b79d52bbb8cd05d,-,Eoa,"108,054.42",0.07%
0x8ae880b5d35305da48b63ce3e52b22d17859f293,-,Eoa,"107,708.24",0.07%
0xa463597d49f54fe6a811fb894cbd67c7f92852b0,-,Eoa,"107,686.26",0.07%
0x00192fb10df37c9fb26829eb2cc623cd1bf599e8,2Miners: PPLNS,Eoa,"107,148.69",0.07%
0x5a710a3cdf2af218740384c52a10852d8870626a,-,Eoa,"107,141.16",0.07%
0x7f101fe45e6649a6fb8f3f8b43ed03d353f2b90c,Flexpool.io,Eoa,"106,645.07",0.07%
0x7f1502605a2f2cc01f9f4e7dd55e549954a8cd0c,-,Eoa,"105,874.38",0.07%
0xbed96d0840201011df1467379a5d311e0040073a,-,Eoa,"103,744.75",0.07%
0x4eac9ce57af61a6fb1f61f0bf1d8586412be30bc,-,Eoa,"102,002.99",0.07%
0x76ae5632ae65d95dd704218920f7d8ac4daef9cc,-,Eoa,"101,388.61",0.07%
0x67f706db3bbd04a250eed049386c5d09c4ee31f0,-,Eoa,"100,784.24",0.07%
0xd9858d573a26bca124282afa21ca4f4a06eff98a,-,Eoa,"100,179.66",0.07%
0xd8d98ee915a5a4f52c40d97fcd8ffadea1ee8604,-,Eoa,"100,000.14",0.07%
0x2d89034424db22c9c555f14692a181b22b17e42c,-,Eoa,"100,000.00",0.07%
0x40f50e8352d64af0ddda6ad6c94b5774884687c3,-,Eoa,"100,000.00",0.07%
0x73af3bcf944a6559933396c1577b257e2054d935,Jump:robinhood custody,Eoa,"99,028.45",0.07%
0x36b6751586614d647d8a3f495e82bdcf250914c8,-,Eoa,"98,770.46",0.07%
0xe9a5a2acfa9bee149ed28fcbf12b60ff2ad97efb,-,Eoa,"98,770.46",0.07%
0xe93fc974908003faddf0bd972b05b6494368d3f5,-,Eoa,"98,770.46",0.07%
0x303c741bb15c9c4b1c72320f6df702b32da80519,-,Eoa,"98,770.46",0.07%
0x28140cb1ac771d4add91ee23788e50249c10263d,-,Eoa,"97,634.06",0.07%
0x85ce6d7989c8133c31c8fab6a2d2c48a9d9273a1,-,Eoa,"97,089.90",0.07%
0xf196c023de1f19d6529133759f449c4b01ce0f51,-,Eoa,"94,923.81",0.06%
0x86a6a0080b1a4c9390416cf73ffb02738d94f8d6,-,Eoa,"93,032.09",0.06%
0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,Nanopool,Eoa,"92,780.72",0.06%
0x9030dcb01830eaa3d8ba285a824a05d8fb489ad0,-,Eoa,"92,228.15",0.06%
0x0ef3794802b55bc4464114c3df550430b53a3506,-,Eoa,"91,036.97",0.06%
0x807cc0e799dcc651d94595e1f7f6e7373ef8f96a,-,Eoa,"90,645.23",0.06%
0xa580e49df5d054d69cf1b2ef4af847c6e6f64d30,Upbit Deposit Address,Eoa,"90,000.14",0.06%
0x9b07c94f1d39d24b68da8ff7c78adb8b70238a75,Upbit Deposit Address,Eoa,"90,000.14",0.06%
0x22a54a1eb8c573bbf845dd1ff64c8df05502c1b0,Upbit Deposit Address,Eoa,"90,000.14",0.06%
0xda29accfb77995bef70bcf6478a73e9acb07732d,Upbit Deposit Address,Eoa,"90,000.14",0.06%
0xf29c6705f188526e0029a92ee6bc21ebc750b675,-,Eoa,"90,000.14",0.06%
0x03d615c04be905790dbef2df0472a2e901ccd810,Upbit Deposit Address,Eoa,"90,000.14",0.06%
0x5d71f4d4f6048112a3b21433fbcfba5f1f39549f,-,Eoa,"90,000.13",0.06%
0x6fb8ebc19bc2a9fa4413ba6a0ca6fa99e974b461,-,Eoa,"89,854.99",0.06%
0x5a0b54d5dc17e0aadc383d2db43b0a0d3e029c4c,Spark Pool,Eoa,"89,815.73",0.06%
0x6f17cebea98d247afec682aee781d23059236e3a,-,Eoa,"86,711.51",0.06%
0x1bb762b16438f8b287626fd1042bc6f6848cc286,-,Eoa,"86,481.01",0.06%
0x3727cfcbd85390bb11b3ff421878123adb866be8,-,Eoa,"85,977.40",0.06%
0xad0d53cf033ab63dc72d653640766ee1d366cef6,-,Eoa,"85,968.12",0.06%
0xac08f21ef597a51865d69896f09b52472acde80d,-,Eoa,"85,968.12",0.06%
0x6586ce3d543e0c57b347f0c3b9eeed2f132c104f,-,Eoa,"84,999.99",0.06%
0x3f4ac8d3e1414b5351e632391908177c012c65cc,-,Eoa,"84,642.40",0.06%
0xb3764761e297d6f121e79c32a65829cd1ddb4d32,Multisig Exploit Hacker,Eoa,"83,017.21",0.06%
0xb46427e2cddecb0bde40bf402361effddd4401e2,-,Eoa,"81,444.25",0.05%
0x2fd56159f4c8664a1de5c75e430338cfa58cd5b9,-,Eoa,"80,673.98",0.05%
0xa90aa5a93fa074de79306e44596109dc53e01410,-,Eoa,"80,525.55",0.05%
0xc39cc669a548c661dfa6b5a1eeaa389d1ec53143,-,Eoa,"80,000.00",0.05%
0x918fa381cb534677bad24afb29cb3c2acaf16385,-,Eoa,"79,340.38",0.05%
0xd2b0b1daed605718080f861034d3241f1cfd89cb,-,Eoa,"79,122.43",0.05%
0x1e547eb395ac9c3ec41704ba85777dbcdd359de5,-,Eoa,"78,583.74",0.05%
0xfdfeb7474b6b104f32599948bb7f8ed81b06def3,-,Eoa,"77,735.85",0.05%
0xb7e390864a90b7b923c9f9310c6f98aafe43f707,Miner,Eoa,"75,913.02",0.05%
0x0a8f6257ef3ed3efdd8dd18dd9294d3e333ad7fc,-,Eoa,"74,658.55",0.05%
0x7ced76dde9203a554df01cbb1ed0d17e9bce7524,-,Eoa,"74,658.55",0.05%
0x10cad69cbd241d36ed8c6d83a9f30b380134d1bc,-,Eoa,"74,658.55",0.05%
0x92f71d08f5ee94a7bf40fab05beda3545b55ad2a,-,Eoa,"74,658.55",0.05%
0x1b7b5b4bed048d86976d7cf51d9c4ea24e20ade7,-,Eoa,"74,658.55",0.05%
0x831c3720681096f276cb016b51a33433d7cb2faa,-,Eoa,"74,658.55",0.05%
0xb3177d9873b7ac246874114d8760e66dc5e797cc,-,Eoa,"74,658.55",0.05%
0x6b2069bde6b87d0f882abbdc6eb4fcbd0a90bb96,-,Eoa,"74,658.55",0.05%
0x434587332cc35d33db75b93f4f27cc496c67a4db,-,Eoa,"74,061.44",0.05%
0x9aabd298b30d034f8c64f86aa25fc74b9f70930f,-,Eoa,"72,013.49",0.05%
0xe27f62b70ab44d7fd1842dce66138a31940fa29a,-,Eoa,"71,365.78",0.05%
0x3ecef08d0e2dad803847e052249bb4f8bff2d5bb,MiningPoolHub,Eoa,"68,897.54",0.05%
0x4e5fab20b7b83c6f557b20c820883eab0a0b343b,-,Eoa,"67,666.36",0.04%
0x1f72b240b6fffceba07bdaa097cc7b216a643a0f,-,Eoa,"67,666.36",0.04%
0x3fd6b1e25200fdda352cbc911ffcd4308895a7d0,-,Eoa,"67,666.36",0.04%
0xd65d71e5ecccfcf72b84cad65370626e048d1b33,-,Eoa,"67,666.36",0.04%
0x54cee0ef273d3d08ed120b0c561c0284a4c4490e,-,Eoa,"67,560.20",0.04%
0xecef66258cc21cb742ac34c68375b311fd3f34cc,-,Eoa,"67,491.71",0.04%
0x92cf9066c657b1f63a7a2dc37255b31be6ef1858,-,Eoa,"67,395.88",0.04%
0xc4d5b7c576edfbac20fa081cff79ec745193e207,-,Eoa,"67,372.26",0.04%
0xd548dd6ccc7a563346372fa0d8cef06e1683b0e3,-,Eoa,"67,372.26",0.04%
0xcaaad25746a0e04a3c7eff86422991b00fd3d76a,-,Eoa,"67,372.25",0.04%
0x4920f22b632bfaa40af8d39c31d9607809485952,-,Eoa,"67,312.71",0.04%
0xad7f791974169973443c496eaa102f1a7842003d,-,Eoa,"66,919.48",0.04%
0x47029dc4f3922706bf670d335c45550cff4f6a35,-,Eoa,"65,857.53",0.04%
0x3bc643a841915a267ee067b580bd802a66001c1d,-,Eoa,"65,814.53",0.04%
0x282edab8a933bc1c02649fe3ea2842ecbe9928a7,-,Eoa,"65,006.10",0.04%
0xec6a76e74b9a5ad49eda0aa63b91c2c53cb65a9c,-,Eoa,"63,734.30",0.04%
0xe4f4866437513e7e023fb3933ba43045312b7459,-,Eoa,"60,078.61",0.04%
0x52e86988bd07447c596e9b0c7765f8500113104c,-,Eoa,"59,807.71",0.04%
0x1342a001544b8b7ae4a5d374e33114c66d78bd5f,Gatecoin Hacker 2,Eoa,"59,491.41",0.04%
0xd4914762f9bd566bd0882b71af5439c0476d2ff6,Gatecoin Hacker 1,Eoa,"59,480.51",0.04%
