Address,Address Tag,Type,Token Balance,Percentage,Date Times,Txhash,Value (USD),From,To,Transfer Type
0x40b38765696e3d5d8d9d834d8aad4bb6e418e489,Jump:robinhood funds,Eoa,"1,363,194.72",0.99%,2024-06-06 12:30:47,0xc51570480041a86e2683e5b14dccec04ffaac29f35b6dfc946c96d621338a9d4,35305790.0,0x40b38765696e3d5d8d9d834d8aad4bb6e418e489,0x73af3bcf944a6559933396c1577b257e2054d935,out
0xea674fdde714fd979de3edf0f56aa9716b898ec8,Ethermine,Eoa,"802,537.79",0.58%,,,0.0,,,
0xa6715eafe5d215b82cb9e90a9d6c8970a7c90033,Kraken Deposit Address,Eoa,"538,289.84",0.39%,2024-08-14 12:10:11,0x7acff9e9ec9367983f9ffd4dad354964ccd6d463e4d0924df591f8e8e38c3021,1959790.751090936,0xa6715eafe5d215b82cb9e90a9d6c8970a7c90033,0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,out
0x829bd824b016326a401d083b33d092293333a830,f2pool.eth,Eoa,"440,726.33",0.32%,2024-02-16 17:09:59,0x181f8abdf2dbe37fbeb964da111593817628d4596613b75884612e026061e8af,27158.3,0x829bd824b016326a401d083b33d092293333a830,0x0db143ede6805f23922535bad7acb3e9aa5d2f7b,out
0xca8fa8f0b631ecdb18cda619c4fc9d197c8affca,-,Eoa,"325,000.48",0.23%,,,0.0,,,
0x8696e84ab5e78983f2456bcb5c199eea9648c8c2,Coincheck:Cold,Eoa,"264,039.16",0.19%,2024-08-15 02:54:47,0x4a12a32dbe82af8b0d4baef2fb0528e92bfa596eec32e72c13f2bc627fa0aa10,760432.4,0x8696e84ab5e78983f2456bcb5c199eea9648c8c2,0xd52814615dc129e1eea3520e7e7f8d44dbfc6c5b,out
0x0a4c79ce84202b03e95b7a692e5d728d83c44c76,-,Eoa,"254,248.45",0.18%,2017-04-17 19:27:33,0xbd8743bbcd468ec33bd6a5cb482210aba39515ac3b9d223c7f8cca5ac38143d0,658276.6052514067,0x2ab9eb36eac8c3b469fd5d61746a48278eebf986,0x0a4c79ce84202b03e95b7a692e5d728d83c44c76,in
0x0e58e8993100f1cbe45376c410f97f4893d9bfcd,-,Eoa,"250,625.83",0.18%,2024-08-13 14:13:47,0x2abb03bca6f1ecb6d921c812bc029039bd301c0b1a105b5512290467d8175fea,23084555.0,0x0e58e8993100f1cbe45376c410f97f4893d9bfcd,0x1a6de1fb718f1791cde9c0e6269ecb5896eaee83,out
0x2b6ed29a95753c3ad948348e3e7b1a251080ffb9,ETH ICO Participant,Eoa,"250,000.02",0.18%,2015-07-30 15:26:13,GENESIS_2b6ed29a95753c3ad948348e3e7b1a251080ffb9,678957500.0,GENESIS,0x2b6ed29a95753c3ad948348e3e7b1a251080ffb9,in
0x1b3cb81e51011b549d78bf720b0d924ac763a7c2,ETH ICO Participant,Eoa,"243,300.00",0.17%,2023-02-26 04:42:47,0xd8988eeac88facc2e4e115a221219cd55d6b51c5f1eac90fa19de070889d0831,108633200.0,0x1b3cb81e51011b549d78bf720b0d924ac763a7c2,0x22de0b5c40f012782a667ccdaa15406ba1201246,out
0xd3a22590f8243f8e83ac230d1842c9af0404c4a1,Ceffu:Custody Cold Wallet,Eoa,"194,995.82",0.14%,2024-08-14 06:19:47,0xf33bcb304fc113907047363a72ef485a114d577bd22ab2661ae03a98cf8398ec,19010810.0,0xd3a22590f8243f8e83ac230d1842c9af0404c4a1,0x4a9e49a45a4b2545cb177f79c7381a30e1dc261f,out
0xbf3aeb96e164ae67e763d9e050ff124e7c3fdd28,-,Eoa,"187,068.19",0.13%,2017-03-26 03:26:23,0xec978d838f3e2883a32e63a98cf91b96961474167485fdee12ec3fdbcc075270,508031307.28999996,0xcf690d4bbb6d622fd9620855d88f3e0489a1696d,0xbf3aeb96e164ae67e763d9e050ff124e7c3fdd28,in
0x9e927c02c9eadae63f5efb0dd818943c7262fb8e,-,Eoa,"171,547.25",0.12%,2024-08-12 09:28:59,0x242dfcd57693cc0b42e2620e8479a85143314421a12c08a671536f5577d11155,271583.0,0xcbdf3bb069ecf14c9877028ff43d8e232689d6bd,0x9e927c02c9eadae63f5efb0dd818943c7262fb8e,in
0x5b5b69f4e0add2df5d2176d7dbd20b4897bc7ec4,-,Eoa,"169,032.00",0.12%,2016-07-30 02:42:00,0xd3400246430f9f5e572ecfa2f0f3d98c73584b3f613f1a58325cdbffdca98c04,81474.9,0x5b5b69f4e0add2df5d2176d7dbd20b4897bc7ec4,0x1e143b2588705dfea63a17f2032ca123df995ce0,out
0x2f2d854c1d6d5bb8936bb85bc07c28ebb42c9b10,-,Eoa,"167,334.97",0.12%,2023-12-21 16:26:47,0x082d0eca7e349ad368b91a41a89a390ea58be83cbed8ed5d45584a306533c8c0,803823.2159099999,0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,0x2f2d854c1d6d5bb8936bb85bc07c28ebb42c9b10,in
0xe3f8250bdc233d93875c15c25d725fd509192d60,-,Eoa,"161,881.77",0.11%,2024-08-14 14:42:35,0x1685b88d06d463c3f41af9d5c9446015fa110e06588069a947ef88bde3153421,1773637.868279511,0x8afb1134c3ead3ad5f457f43e4032a905f5a1167,0xe3f8250bdc233d93875c15c25d725fd509192d60,in
0xfd898a0f677e97a9031654fc79a27cb5e31da34a,-,Eoa,"150,000.10",0.10%,2018-12-01 02:23:46,0x590fbe8ddfa55848dcffb50c488753c74d25ac56705fb280f0b1921b92da45b5,101843625.0,0x31f6cae92229eb26b7a64cc70a97f14871cf6058,0xfd898a0f677e97a9031654fc79a27cb5e31da34a,in
0x701c484bfb40ac628afa487b6082f084b14af0bd,Coinbase:Cold,Eoa,"150,000.00",0.10%,2018-12-01 02:32:54,0x1439956d4988f36564ec52d316806aa7593866d45566c501f7a04605f71f0bd0,101843625.0,0xd7f3421980a9847aceb650a0230e8fbfc1d183ab,0x701c484bfb40ac628afa487b6082f084b14af0bd,in
0xb20411c403687d1036e05c8a7310a0f218429503,-,Eoa,"150,000.00",0.10%,2018-12-01 02:37:30,0xbf5a18c224dbd6c996d9b334f5613225f3588b5759a5a9191c6aba931e0418af,101843625.0,0x613b5aeff0e4225d110b2d441de9ce7f4413cf06,0xb20411c403687d1036e05c8a7310a0f218429503,in
0x9a1ed80ebc9936cee2d3db944ee6bd8d407e7f9f,Coinbase Cold 8,Eoa,"150,000.00",0.10%,2018-12-11 21:00:40,0x1f990699e306f5d8cf001753828e348711e127644fe3a1946d73c817a9dd6fab,7075401.775113725,0xfb8ff338be57d7b2e6d9e2ed1798f781f8cd9bb7,0x9a1ed80ebc9936cee2d3db944ee6bd8d407e7f9f,in
0x8d95842b0bca501446683be598e12f1c616770c1,-,Eoa,"143,012.05",0.10%,2022-07-18 15:59:14,0x35c37c801854124e060dbc71e89eb897fd182ca3cd746b8a7b8168275cf94c93,4671166.386993457,0xddfabcdc4d8ffc6d5beaf154f18b778f892a0740,0x8d95842b0bca501446683be598e12f1c616770c1,in
0x35aeed3aa9657abf8b847038bb591b51e1e4c69f,-,Eoa,"141,871.70",0.10%,2022-07-18 18:35:39,0x370c2b0d44bd702462ad4c6065474eb244241a1cf14a09c22fed76d8cc923f6a,1984990.67946236,0xddfabcdc4d8ffc6d5beaf154f18b778f892a0740,0x35aeed3aa9657abf8b847038bb591b51e1e4c69f,in
0xb93d8596ac840816bd366dc0561e8140afd0d1cb,-,Eoa,"139,701.32",0.10%,2022-07-18 23:50:13,0x38f8b624c66277135b01e8ad542dff820b882df74746b2655ea3e6fc2a751a33,14034618.45383221,0x3cd751e6b0078be393132286c442345e5dc49699,0xb93d8596ac840816bd366dc0561e8140afd0d1cb,in
0x7d6149ad9a573a6e2ca6ebf7d4897c1b766841b4,-,Eoa,"137,870.27",0.10%,2024-08-05 06:38:35,0x9f0b0ee9be4461c20f55e317471f0b3d5c61080786de98327714f44b32fc5ad8,203687250.0,0x7d6149ad9a573a6e2ca6ebf7d4897c1b766841b4,0xd848f54280f8fe8661b796e3bb8d8922c87af452,out
0xb5ab08d153218c1a6a5318b14eeb92df0fb168d6,-,Eoa,"135,283.67",0.09%,2017-07-28 15:54:42,0x26757bf689dc9a5c9cfcf0b61c283c12bac5ecc6c510ef39dafdc3a8fedf87ca,27158272.8417,0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,0xb5ab08d153218c1a6a5318b14eeb92df0fb168d6,in
0xdb3c617cdd2fbf0bb4309c325f47678e37f096d9,-,Eoa,"135,188.02",0.09%,2022-07-19 13:45:02,0xea5a4da2bcb0c684ec24916b427e588f4cad74a1a597a2c0d5507895f333224f,4211248.6062270645,0x3cd751e6b0078be393132286c442345e5dc49699,0xdb3c617cdd2fbf0bb4309c325f47678e37f096d9,in
0x15c22df3e71e7380012668fb837c537d0f8b38a1,-,Eoa,"132,876.50",0.09%,2024-07-22 12:22:11,0x8681e5a4570e987a9c2fb0bd35aaa0b3f4fe09293d0d41c765c8edb9f0a88ee4,38904264.75,0x15c22df3e71e7380012668fb837c537d0f8b38a1,0x9b0c45d46d386cedd98873168c36efd0dcba8d46,out
0x7ead3a4361bd26a20deb89c9470be368ee9cb6f1,-,Eoa,"132,432.53",0.09%,2022-07-19 23:42:28,0xf7077488b62522d26859599e52799056057398c723df499141c0fe5f6e6c50a7,6365888.691652052,0xddfabcdc4d8ffc6d5beaf154f18b778f892a0740,0x7ead3a4361bd26a20deb89c9470be368ee9cb6f1,in
0xd5268a476aadd1a6729df5b3e5e8f2c1004139af,-,Eoa,"130,876.36",0.09%,2022-07-20 17:24:37,0xb0c7878689641e7c3d0e5623db0238fa21578bb73f432343d004bf99322bc492,10457420.196207473,0xeb2629a2734e272bcc07bda959863f316f4bd4cf,0xd5268a476aadd1a6729df5b3e5e8f2c1004139af,in
0xd47b4a4c6207b1ee0eb1dd4e5c46a19b50fec00b,-,Eoa,"129,392.27",0.09%,2022-11-13 20:45:23,0xf954486a8c4bcdda51fb20ba05f66abb5d4af81de9cd99064487812a12866eb7,17570357.032586135,0x77696bb39917c91a0c3908d577d5e322095425ca,0xd47b4a4c6207b1ee0eb1dd4e5c46a19b50fec00b,in
0xd65fb7d4cb595833e84c3c094bd4779bab0d4c62,-,Eoa,"129,392.17",0.09%,2022-11-13 20:45:23,0x83e476d9c9c85b504bb080a2bc7bbc293e7b5f62768d26e31e3949dc5709f0d9,17570357.032586135,0x77696bb39917c91a0c3908d577d5e322095425ca,0xd65fb7d4cb595833e84c3c094bd4779bab0d4c62,in
0x595faf77e533a5cd30ab5859c9a0116de8bad8db,-,Eoa,"129,392.17",0.09%,2022-11-13 20:45:23,0x4cdca60168d8eabacdee5e4dde45b90bd5189692aa69bb701e631a23ab9f33c6,17570357.032586135,0x77696bb39917c91a0c3908d577d5e322095425ca,0x595faf77e533a5cd30ab5859c9a0116de8bad8db,in
0x1bd3fc5ac794e7af8e834a8a4d25b08acd9266ce,-,Eoa,"129,392.17",0.09%,2022-11-13 20:45:23,0x0a34cf2d218eb3c882513627a80e5c04163e376e1dd39636c1ee39ad21e7c101,17570357.032586135,0x77696bb39917c91a0c3908d577d5e322095425ca,0x1bd3fc5ac794e7af8e834a8a4d25b08acd9266ce,in
0xf481b7fab9f5d0e74f21ae595a749634fb053619,-,Eoa,"129,231.42",0.09%,2022-07-20 17:36:53,0xe1e0ce87f72dd9474638764b5aab522034ea921aea4baad1d17eb2a0c5740e19,3815596.953670243,0x3cd751e6b0078be393132286c442345e5dc49699,0xf481b7fab9f5d0e74f21ae595a749634fb053619,in
0x835678a611b28684005a5e2233695fb6cbbb0007,Binance Deposit Address,Eoa,"128,860.93",0.09%,2024-08-13 06:39:11,0x22f39565359a5ca2c4484c1ad3b21784919c7b3e16fbc83a646c8db0b3fbdf4b,18573561.37,0x835678a611b28684005a5e2233695fb6cbbb0007,0x5a52e96bacdabb82fd05763e25335261b270efcb,out
0xa7c0d36c4698981fab42a7d8c783674c6fe2592d,Binance Deposit Address,Eoa,"128,280.01",0.09%,2024-03-08 08:27:47,0x0c3ebaf09825456289d8ca402b43c5b23a2d1efd83640d9c384d68f266c6d196,348386672.4,0x5a52e96bacdabb82fd05763e25335261b270efcb,0xa7c0d36c4698981fab42a7d8c783674c6fe2592d,in
0xa7e4fecddc20d83f36971b67e13f1abc98dfcfa6,jeffehh,Eoa,"125,737.51",0.09%,2024-05-22 23:06:11,0x3569f8b6fc6cbc4adabd79c6a484d9cad2c3f7338cb5c414ce4eadb10b7c93af,27158300.0,0xa7e4fecddc20d83f36971b67e13f1abc98dfcfa6,0xfe98f85eafe3c7bf23af3a7b406adcc1db43e36b,out
0x79f67f689b9925710d4dda2a39d680e9cea61c81,-,Eoa,"121,198.18",0.08%,2022-11-13 20:45:23,0x4ff46861a1808c41c7c231a9d0df5f6bb068287a29670dfb83480606e7b32bb6,17570357.032586135,0x77696bb39917c91a0c3908d577d5e322095425ca,0x79f67f689b9925710d4dda2a39d680e9cea61c81,in
0x368d43c23843ca9b49dc861d80251bda6a090367,-,Eoa,"120,707.72",0.08%,2022-12-07 05:20:11,0xf3367d29dd4c49b4164adc173d72f8b649aaab159eb6ba377efddfabe2b0217b,16391081.10958162,0xddfabcdc4d8ffc6d5beaf154f18b778f892a0740,0x368d43c23843ca9b49dc861d80251bda6a090367,in
0x2d1566722288be5525b548a642c98b546f116aa0,-,Eoa,"120,707.71",0.08%,2022-12-07 05:20:11,0xf86c6633402e73da2d5d5f176be7e8b2ae97365c7149fe8b63b767b79a0b88a4,16391081.10958162,0x7c195d981abfdc3ddecd2ca0fed0958430488e34,0x2d1566722288be5525b548a642c98b546f116aa0,in
0xb4f4317b7885de16305d1303570879c21f378255,-,Eoa,"120,707.71",0.08%,2022-12-07 05:20:11,0xbe4cfa2fb5642d9ce9064c2c187c9c556d05a90673dd58f52323a3c6e7c8e42e,16391081.10958162,0xddfabcdc4d8ffc6d5beaf154f18b778f892a0740,0xb4f4317b7885de16305d1303570879c21f378255,in
0x84bf16e7675cee22d0e0302913ccf58b45333ddf,-,Eoa,"120,707.71",0.08%,2022-12-07 05:20:11,0xfe907aa6e62ac1727c0e76c55a1d91d95492af464ac9f2920df019da408219e1,16391081.10958162,0xddfabcdc4d8ffc6d5beaf154f18b778f892a0740,0x84bf16e7675cee22d0e0302913ccf58b45333ddf,in
0x6d9d2b30df394f17a5058aceb9a4d3446f1bc042,-,Eoa,"120,707.71",0.08%,2022-12-07 05:20:11,0x530ece50598fc65ed8169772ff99c1182e2d7d1e6187190de13732daefb2f713,16391081.10958162,0xddfabcdc4d8ffc6d5beaf154f18b778f892a0740,0x6d9d2b30df394f17a5058aceb9a4d3446f1bc042,in
0xf443864ba5d5361bbc54298551067194f980a635,-,Eoa,"120,707.71",0.08%,2022-12-07 05:20:11,0x38d7aaa0aa052bba00bfc7f4289777cd79dcebf6532fea4eb79e4a4c8fafdfed,16391081.10958162,0xddfabcdc4d8ffc6d5beaf154f18b778f892a0740,0xf443864ba5d5361bbc54298551067194f980a635,in
