Address,Address Tag,Type,Token Balance,Percentage
0xd54f502e184b6b739d7d27a6410a67dc462d69c8,dYdX: L2 Perpetual Smart Contract,Dex,"271,915,722.58",1.06%
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,Uniswap V3,Dex,"82,358,514.94",0.32%
0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,Curve.fi: DAI/USDC/USDT Pool,Dex,"53,691,276.99",0.21%
0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,Uniswap V2 (UNI-V2),Dex,"50,831,678.85",0.19%
0x3416cf6c708da44db2624d63ea0aaef7113527c6,Uniswap V3(USDC-USDT),Dex,"49,120,190.83",0.19%
0x5777d92f208679db4b9778590fa3cab3ac9e2168,Uniswap V3: DAI-USDC 4,Dex,"37,154,562.70",0.14%
0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,Uniswap V3(USDC-WETH),Dex,"36,257,183.44",0.14%
0x99ac8ca7087fa4a2a1fb6357269965a2014abc35,Uniswap V3: WBTC-USDC,Dex,"22,986,390.02",0.09%
0xc63b0708e2f7e69cb8a1df0e1389a98c35a76d52,Uniswap V3,Dex,"13,544,548.90",0.05%
0x04c8577958ccc170eb3d2cca76f9d51bc6e42d8f,PancakeSwap V3,Dex,"9,483,818.16",0.03%
0xba12222222228d8ba445958a75a0704d566bf2c8,Balancer V2,Dex,"9,086,966.41",0.03%
0x397ff1542f962076d0bfe58ea045ffa2d347aca0,SushiSwap LP Token (SLP),Dex,"6,122,702.51",0.02%
0x6c6bc977e13df9b0de53b251522280bb72383700,Uniswap V3,Dex,"4,307,911.59",0.01%
0x3211c6cbef1429da3d0d58494938299c92ad5860,STG-USDC Factory Pool Contract,Dex,"4,202,315.95",0.01%
0xa5407eae9ba41422680e2e00537571bcc53efbfd,sUSD v2 Swap,Dex,"4,157,456.20",0.01%
0x674bdf20a0f284d710bc40872100128e2d66bd3f,Loopring: Exchange v2 Deposit,Dex,"4,050,580.73",0.01%
0xd0a4c8a1a14530c7c9efdad0ba37e8cf4204d230,Uniswap V3(SHFL-USDC),Dex,"4,039,436.22",0.01%
0xdd2a08a1c1a28c1a571e098914ca10f2877d9c97,Loopring: Proxy Admin,Dex,"3,691,315.69",0.01%
0x98a7f18d4e56cfe84e3d081b40001b3d5bd3eb8b,Pool,Dex,"3,196,206.14",0.01%
0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,Uniswap V3: WBTC-USDC 2,Dex,"2,499,699.81",0.00%
0xa86aca6d7c393c06dcdc30473ea3d1b05c358dff,Uniswap V2 (UNI-V2),Dex,"2,483,547.01",0.00%
