Address,Address Tag,Type,Token Balance,Percentage
0xd6153f5af5679a75cc85d8974463545181f48772,-,Eoa,"661,651,268.99",2.58%
0xc81374313ea27548b983df515e385df94613c32c,-,Eoa,"275,747,359.78",1.07%
0x51edf02152ebfb338e03e30d65c15fbf06cc9ecc,-,Eoa,"210,000,000.00",0.82%
0x15abb66ba754f05cbc0165a64a11cded1543de48,Galaxy Digital,Eoa,"194,737,194.95",0.76%
0x7713974908be4bed47172370115e8b1219f4a5f0,-,Eoa,"170,961,318.21",0.66%
0xda9ce944a37d218c3302f6b82a094844c6eceb17,-,Eoa,"154,577,480.00",0.60%
0x6f17cebea98d247afec682aee781d23059236e3a,-,Eoa,"150,930,233.63",0.59%
0x000b35d40186a8483527c4ba09ed7e96840ae3f1,-,Eoa,"146,167,148.40",0.57%
0x8b476f1476a43b64a7dd1f9a79097aa1e6f46f03,-,Eoa,"146,167,148.32",0.57%
0x300db19d62957bc5ca1a9e5b99f111149910f372,-,Eoa,"146,167,148.32",0.57%
0x5a13933573125aefaaf768f5c2c80debc506fdb0,-,Eoa,"146,167,148.28",0.57%
0x74f23594cd408e1f356a51e274f5d587202106a6,-,Eoa,"146,167,119.82",0.57%
0xac1c52ca5e3113b70615be675bb585973a7838ba,-,Eoa,"146,167,103.16",0.57%
0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,Jump trading:d621,Eoa,"92,196,361.42",0.36%
0xd343e9f123b5e03eb0427b3028d80ac6d10f7df0,-,Eoa,"90,000,100.00",0.35%
0x13e003a57432062e4eda204f687be80139ad622f,BlackRock:Digital Assets Fund,Eoa,"88,409,530.36",0.34%
0x8bd6ef362a29fe872a113d69e0ea3461081120c9,-,Eoa,"87,500,000.00",0.34%
0x688344d10928adc4bcf846e6ed5ee0b2cafe4786,-,Eoa,"75,000,229.99",0.29%
0x9f340e1e372b47afaabdaf4ed344f87cc6b42696,-,Eoa,"70,540,793.01",0.27%
0x1bd5f6b59beb387d188f4a0274606a9fd0af1cad,Coinbase Deposit Address,Eoa,"67,275,800.00",0.26%
0x5414d89a8bf7e99d732bc52f3e6a3ef461c0c078,-,Eoa,"64,637,250.00",0.25%
0x95b8e28f8a2b24b5683bdc09924e6926d3f5f8d3,Berachain:Series B Fundraise,Eoa,"62,724,247.99",0.24%
0x555d73f2002a457211d690313f942b065ead1fff,-,Eoa,"58,076,623.43",0.22%
0x4f1a5a5d258522254933a6da9648c57fe230d17e,Jump trading:d17e,Eoa,"56,398,229.37",0.22%
0xd8a3c2901b736170b70088a0df9aa914317d43c6,-,Eoa,"51,350,100.00",0.20%
0xf4cd0bedcc371900e179e16905946071a25784f0,-,Eoa,"51,239,509.79",0.20%
0xacdaf67f4ad44019bac4f4d1390cbc9eeea2cec6,-,Eoa,"48,000,000.00",0.18%
0x6b92bf04bd68cd5c89bdb7fd642ad73f3b47b670,-,Eoa,"48,000,000.00",0.18%
0x3f451a8a48a82234df85140cd6cbdccbea241d95,-,Eoa,"48,000,000.00",0.18%
0x7fef96eaec2c7b932af98debdd383a6d32fffe9c,-,Eoa,"48,000,000.00",0.18%
0x1b8b354d783aae8a0469e916f9fb7842e57e3d6c,-,Eoa,"48,000,000.00",0.18%
0x2f6185b9023d88c261ddd48631bbb610e19551d3,-,Eoa,"48,000,000.00",0.18%
0x5cf08eb4f424003a7cb0358816b225207f753ae9,-,Eoa,"48,000,000.00",0.18%
0xd96eab58c045a61ef8c67a5930c9a0a37efc8a67,-,Eoa,"48,000,000.00",0.18%
0xecc3e815744f86b4e8d40b5ba60b07ef496e081c,-,Eoa,"48,000,000.00",0.18%
0x7a6a6a3fce29fc26e2c8570f03a6c6b02c59003c,-,Eoa,"48,000,000.00",0.18%
0xb589809e07002072fccaccfe7400964688aa497e,-,Eoa,"48,000,000.00",0.18%
0x4139992e704219b39489ad62874b97240320a89d,-,Eoa,"48,000,000.00",0.18%
0x6c6876db8b0463209921712db6db814d46b93de4,-,Eoa,"48,000,000.00",0.18%
0x804a81dfcf56ead81efe59fc628ece962e25baa9,-,Eoa,"48,000,000.00",0.18%
0x3a88823cf464dac9a9ef83b85b815dfb9335457d,-,Eoa,"48,000,000.00",0.18%
0xa858979f61cf4cd0c74aa5977736c183cd3c709b,-,Eoa,"48,000,000.00",0.18%
0x60e0fed67e23c6befe4f21ad576db9b81bd6c8c6,-,Eoa,"48,000,000.00",0.18%
0xe74d8fb74aef3148272a80b93f9500826a6ce2c1,-,Eoa,"48,000,000.00",0.18%
0x484d601f0a5e1cbafbff0d18545eba67e6ff3c89,-,Eoa,"48,000,000.00",0.18%
0xb5cbe58eea8d4bb35aa89c55e5995c56e46a1494,-,Eoa,"48,000,000.00",0.18%
0xf93bc48de45adeac1c05bc1160437a341047566f,-,Eoa,"48,000,000.00",0.18%
0x426574b6decf13420eb6643d57c36c58d1661d45,-,Eoa,"48,000,000.00",0.18%
0xb1417c87b5901a2b841eb22e58a5fe79a99e1ca1,-,Eoa,"48,000,000.00",0.18%
0xda84ed9bf58353c6500e40eeaa79fba0d23bc6fb,-,Eoa,"48,000,000.00",0.18%
0x6f329566b51915baa800e0242e7a68b1bec261dc,-,Eoa,"48,000,000.00",0.18%
0xaefdb8c2faeb205ad6135558becc28d655081e21,-,Eoa,"48,000,000.00",0.18%
0x51eb063c3d32c8659e0468fdf1833051aeb7d4f1,-,Eoa,"48,000,000.00",0.18%
0xdce47322110e81bb53e975e7ef4e1df2fcb44568,-,Eoa,"48,000,000.00",0.18%
0x43fb06ad61ff3625dbcc0be8d3e05b0e1fe26cef,-,Eoa,"48,000,000.00",0.18%
0xb787868c32abffc628d010db0520c084a277a3f9,-,Eoa,"48,000,000.00",0.18%
0x8052c7574e5250fbe1f7149c8bd1df57d118b2fb,-,Eoa,"48,000,000.00",0.18%
0x74e39b8064de39f76fca21568343ab13e1523013,-,Eoa,"47,239,536.44",0.18%
0xcfc5692cda2caddb651fcbe95eb79d681d2c2a1f,-,Eoa,"47,027,671.29",0.18%
0x7f7b3ae483f3800656def4ab7554346c7c2c131a,-,Eoa,"44,351,513.89",0.17%
0x11bc3b9575125f106946b4e88f13da5862f4e496,-,Eoa,"40,000,028.05",0.15%
0xd3a22590f8243f8e83ac230d1842c9af0404c4a1,Ceffu:Custody Cold Wallet,Eoa,"39,183,714.70",0.15%
0xc0db01d35723b7aef2fd1616306bef0dfcf2f7b2,-,Eoa,"36,363,701.79",0.14%
0x726f72eecb49348affaff8602d4177f61e45671a,-,Eoa,"33,325,642.82",0.13%
0x77ec2176824df1145425eb51b3c88b9551847667,-,Eoa,"30,528,999.58",0.11%
0xefeef8e968a0db92781ac7b3b7c821909ef10c88,-,Eoa,"30,138,618.00",0.11%
0xfa3794b76b7041ebeefa158773b8be71b611cdb3,-,Eoa,"30,000,000.00",0.11%
