Address,Address Tag,Type,Token Balance,Percentage
0x4b16c5de96eb2117bbe5fd171e4d203624b014aa,Binance:SAFU,Exchange,"1,000,000,000.01",3.91%
0x47ac0fb4f2d84898e4d9e7b4dab3c24507a6d503,Binance: Binance-Peg Tokens,Exchange,"542,999,999.84",2.12%
0x5041ed759dd4afc3a72b8192c143f72f4724081a,OKx 7,Exchange,"464,013,247.06",1.81%
0x7eb6c83ab7d8d9b8618c0ed973cbef71d1921ef2,OKX 20,Exchange,"463,370,289.72",1.81%
0x28c6c06298d514db089934071355e5743bf21d60,Binance 14,Exchange,"378,205,091.28",1.48%
0xf977814e90da44bfa03b6295a0616a897441acec,Binance 8,Exchange,"317,000,000.00",1.24%
0xae2d4617c862309a3d75a0ffb358c7a5009c673f,Kraken 10,Exchange,"195,575,267.67",0.76%
0xcffad3200574698b78f32232aa9d63eabd290703,Crypto.com 5,Exchange,"109,936,060.81",0.43%
0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,Coinbase 10,Exchange,"95,407,538.04",0.37%
0x5f397b62502e255f68382791947d54c4b2d37f09,Deribit 8,Exchange,"76,120,193.24",0.29%
0xf89d7b9c864f589bbf53a82105107622b35eaa40,Bybit,Exchange,"64,209,752.85",0.25%
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,Binance 16,Exchange,"63,038,263.22",0.24%
0x21a31ee1afc51d94c2efccaa2092ad1028285549,Binance 15,Exchange,"58,590,264.92",0.22%
0x46340b20830761efd32832a74d7169b29feb9758,Crypto.com 2,Exchange,"42,931,970.12",0.16%
0xd6216fc19db775df9774a6e33526131da7d19a2c,KuCoin 6,Exchange,"20,400,727.64",0.07%
0xf3b0073e3a7f747c7a38b36b805247b222c302a3,Crypto.com,Exchange,"19,407,615.57",0.07%
0xcd531ae9efcce479654c4926dec5f6209531ca7b,Coinbase Prime,Exchange,"15,938,037.21",0.06%
0x77134cbc06cb00b66f4c7e623d5fdbf6777635ec,Bitfinex: Hot Wallet,Exchange,"8,127,217.93",0.03%
0x18709e89bd403f470088abdacebe86cc60dda12e,Huobi,Exchange,"7,693,479.01",0.03%
0xa205fd7344656c72fdc645b72faf5a3de0b3e825,Copper,Exchange,"7,597,338.51",0.02%
0xb8e6d31e7b212b2b7250ee9c26c56cebbfbe6b23,KuCoin 15,Exchange,"7,100,000.31",0.02%
0xf60c2ea62edbfe808163751dd0d8693dcb30019c,Binance US 3,Exchange,"5,202,647.14",0.02%
0x33a64dcdfa041befebc9161a3e0c6180cd94fa89,Coinspot,Exchange,"5,092,044.70",0.01%
0x6262998ced04146fa42253a5c0af90ca02dfd2a3,Crypto.com,Exchange,"4,837,293.81",0.01%
0xef8801eaf234ff82801821ffe2d78d60a0237f97,Rollbit: ERC-20 Hot Wallet,Exchange,"3,064,506.89",0.01%
