Address,Address Tag,Type,Token Balance,Percentage
0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,Uniswap V2 (UNI-V2),Dex,"67,751,031.70",0.13%
0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,Curve.fi: DAI/USDC/USDT Pool,Dex,"59,355,188.79",0.11%
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,Uniswap V3: USDT,Dex,"57,565,312.65",0.11%
0x9db9e0e53058c89e5b94e29621a205198648425b,Uniswap V3: WBTC-USDT,Dex,"26,358,906.67",0.05%
0x11b815efb8f581194ae79006d24e0d814b7697f6,Uniswap V3: USDT 3,Dex,"23,968,379.34",0.04%
0x3416cf6c708da44db2624d63ea0aaef7113527c6,Uniswap V3(USDC-USDT),Dex,"21,851,147.23",0.04%
0x04c8577958ccc170eb3d2cca76f9d51bc6e42d8f,PancakeSwap V3,Dex,"14,760,447.13",0.02%
0x6ca298d2983ab03aa1da7679389d955a4efee15c,PancakeSwap V3,Dex,"12,982,623.19",0.02%
0x4a25dbdf9629b1782c3e2c7de3bdce41f1c7f801,Uniswap V3(USDM-USDT),Dex,"10,325,155.67",0.01%
0xd51a44d3fae010294c616388b506acda1bfaae46,USDT-WBTC-WETH (tricrypto2),Dex,"8,479,798.12",0.01%
0x435664008f38b0650fbc1c9fc971d0a3bc2f1e47,Uniswap V3(USDe-USDT),Dex,"7,289,445.76",0.01%
0xc9f93163c99695c6526b799ebca2207fdf7d61ad,USDT-USDC,Dex,"4,150,727.26",0.00%
0xa5407eae9ba41422680e2e00537571bcc53efbfd,sUSD v2 Swap,Dex,"4,148,967.33",0.00%
