Address,Address Tag,Type,Token Balance,Percentage
0x835678a611b28684005a5e2233695fb6cbbb0007,Binance Deposit Address,Eoa,"601,172,961.00",1.15%
0xa7c0d36c4698981fab42a7d8c783674c6fe2592d,Binance Deposit Address,Eoa,"600,000,000.00",1.15%
0x0750b999e493112c88cb226a13a2a67419f06ad6,-,Eoa,"337,948,035.00",0.64%
0x88a1493366d48225fc3cefbdae9ebb23e323ade3,-,Eoa,"275,325,070.82",0.52%
0xd3a22590f8243f8e83ac230d1842c9af0404c4a1,Ceffu:Custody Cold Wallet,Eoa,"163,662,917.43",0.31%
0x9e4e147d103def9e98462884e7ce06385f8ac540,OKX:Hot Wallet,Eoa,"124,680,240.64",0.23%
0xf7d13c7dbec85ff86ee815f6dcbb3dedac78ca49,-,Eoa,"116,372,998.91",0.22%
0x83a32a54d31ee4f1f9dffad2a63a6d214e469ec3,-,Eoa,"105,858,421.25",0.20%
0x4ee7bbc295a090ad0f6db12fe7ee4dc8de896400,-,Eoa,"105,728,620.42",0.20%
0x15abb66ba754f05cbc0165a64a11cded1543de48,Galaxy Digital,Eoa,"102,446,092.66",0.19%
0x3fe705e2ffcaee8d7287de047def35db3e794c76,U.S. Government:FTX Alameda Seized Funds,Eoa,"94,149,341.65",0.18%
0x8558fe88f8439ddcd7453ccad6671dfd90657a32,-,Eoa,"87,481,243.50",0.16%
0x82e1d4ddd636857ebcf6a0e74b9b0929c158d7fb,-,Eoa,"87,464,642.25",0.16%
0x1760cf6ed927240260bdeca4bec8b6924a228858,-,Eoa,"80,489,747.93",0.15%
0x7ac8d96d572b6bf7d5a14447c09cc13d2cde4f11,-,Eoa,"73,112,197.01",0.14%
0x99ebaf3661065dc1e44feff4b80365678bdff6ce,-,Eoa,"64,707,696.53",0.12%
0x434742703055bd20f42142d9d70b0735a5eb1b14,-,Eoa,"64,343,438.59",0.12%
0x8068daa4984bb2ad7033e8e670f1d7a854b3688a,-,Eoa,"59,347,020.54",0.11%
0xe1e13a8d3d5b1596dc8849ae35c9f410a4ab49d1,-,Eoa,"53,803,100.00",0.10%
0xb9711550ec6dc977f26b73809a2d6791c0f0e9c8,Cobo.com:Custody,Eoa,"52,460,508.53",0.10%
0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,Jump trading:d621,Eoa,"51,690,095.39",0.09%
0x1298500214c99cc9c844c2d99d741b44a869e427,-,Eoa,"50,251,106.82",0.09%
0x1d1d1990bf38f87112d4215408d83cbae7edad5a,-,Eoa,"49,672,283.11",0.09%
0xec10641bdd13b147841f0ed43e5ddd18351c7ef5,-,Eoa,"49,672,139.46",0.09%
0x36d9d8ee9064d4f0d153a28f82485e9efacb8eb0,-,Eoa,"49,636,632.93",0.09%
0x62ff09d6c5c341b4bc179d57f41c196630d9ab10,-,Eoa,"47,799,990.00",0.09%
0xdf1fc5523f2e5ea4f6dac2eaed3263953a391b0c,-,Eoa,"47,103,295.00",0.09%
0x64a6095960e46c1881d40e40ea478db33fd3a32b,-,Eoa,"46,726,045.45",0.08%
0x32b24247cbce7c17b0017a2159a9fa481f401b16,-,Eoa,"44,178,805.76",0.08%
0x82b4f6b900a8c8497692b4894cf7b1c501f233fa,-,Eoa,"42,000,000.00",0.08%
0xa1195f0d9b010f86633e1553f1286d74f80ef52b,-,Eoa,"40,010,010.00",0.07%
0xc06f25517e906b7f9b4dec3c7889503bb00b3370,Kraken:Cold Wallet,Eoa,"38,362,504.19",0.07%
0x60a332a527a1e99733e999bc3f6ba712550f79e8,-,Eoa,"35,807,246.68",0.06%
0xe0755f3a9a1714eee8fe7a540f20eeac6117787c,-,Eoa,"35,778,253.50",0.06%
0xf4a3b00e806c9525b079c67a457897535e258651,-,Eoa,"33,000,033.40",0.06%
0x0817954f45623406c8b7223e50865f79b3849f71,-,Eoa,"31,241,960.25",0.06%
0xfe99644d35926a7955f88eccfa52a13012fa984e,Copper:Cold,Eoa,"30,658,087.34",0.05%
0x72a8abefc5995d4fe5153a2ae1fd23e015d74cf2,-,Eoa,"30,530,130.19",0.05%
0xb937bf362cd897e05eb3d351575598c4f9b55839,Copper:Hot Wallet,Eoa,"30,146,400.31",0.05%
0xf88f8ec6b98cad9ce25c9c8fe1387b351f382b09,-,Eoa,"30,000,010.00",0.05%
0x564e11ace70bfe6c943a973f1289faa6e8a0fe16,-,Eoa,"30,000,000.35",0.05%
0x74e7fd0b532f88cf8cc50922f7a8f51e3f320fa7,-,Eoa,"30,000,000.00",0.05%
0x95327cd531f3015f27ce4bc91a34ce6ccc6f2959,-,Eoa,"30,000,000.00",0.05%
0x7ffbafdc1e4f0a4b97130b075fb4a25f807a1807,HashKey Exchange:Cold Wallet,Eoa,"29,714,112.80",0.05%
0xc7c8f8284c5360d0086a2f0a05bdd07afde23246,-,Eoa,"29,413,680.82",0.05%
0x79fe313c6f5a652250d158d88be090d572c1cd2e,-,Eoa,"29,000,000.00",0.05%
0x5ac03a154305a8d7bb3911f8f148f76cb3458934,-,Eoa,"28,335,364.69",0.05%
0xdd77916e440e598d12a54a4397e629038c92a2f4,-,Eoa,"28,195,122.70",0.05%
0x0e01cfa718a68fe852f7144eedcb40357c489905,-,Eoa,"27,768,692.46",0.05%
0x4a9e49a45a4b2545cb177f79c7381a30e1dc261f,Ceffu:Custody Hot Wallet,Eoa,"27,628,356.94",0.05%
0x351597830b1b71729a7ef54ac004c845a14f6fe0,-,Eoa,"27,574,534.20",0.05%
0x298d04a8b95bdc0ab04d87def5a7c783e9905de1,-,Eoa,"27,542,337.68",0.05%
0x9c707c599ae958307f845e776374a49dc566858c,-,Eoa,"27,339,587.11",0.05%
0x98f67ae22745fdfe2e03637b248ea30c4d0a2394,-,Eoa,"26,586,713.02",0.05%
0x9e7174cad1a3c8cc479f44c397438e7d53a2d874,Copper:Hot Wallet,Eoa,"26,554,900.09",0.05%
0x329343a1bcaa2bc030183952980c0723f0aba6fc,-,Eoa,"26,076,818.12",0.05%
0x7408a2fd6b4b6093592cac330653eb4e5adc0f93,-,Eoa,"25,589,841.41",0.04%
0x4dfc04aa1bfc60727feecccfd7247201abcd735a,-,Eoa,"25,454,188.68",0.04%
0x673c2443c99cf2b12500f013ab567c4ddea4db53,-,Eoa,"24,885,000.09",0.04%
0xeca33dc9e896072d4edc4a02183910376d4b5e76,-,Eoa,"24,465,301.26",0.04%
0xc2c49f75410b3a1d42de994b108c987833a16567,-,Eoa,"23,462,423.00",0.04%
0x09bb42c95f8f3fb41f47a99487bea93beb4211fe,-,Eoa,"23,375,717.23",0.04%
0x1419fc88b54bc56504af910341bfaa27281675b8,-,Eoa,"22,290,924.21",0.04%
0xc2814d15210efbf1e0f6a89a7b3b48355a1440e6,-,Eoa,"22,280,312.94",0.04%
0x7dc5cbf95440c9b62dd9f886add1ef615638ca52,-,Eoa,"22,247,029.51",0.04%
0x327a44f749c41a14c448ecaf8ad3a736de0fd25e,-,Eoa,"22,244,538.23",0.04%
0x11dbf181dd5c075c2abd92cb9579c4809406b5be,-,Eoa,"22,181,328.54",0.04%
0x18e5367bf704dc7e3599182742863d9c83c68f33,-,Eoa,"22,018,826.75",0.04%
0xbdd32b0e59f253f37ec97da72c421d8da0e1fb1e,-,Eoa,"21,779,062.55",0.04%
0xfecc47ab11a44c09d9cc7289eeb3b9a8abb9ca16,-,Eoa,"21,692,098.05",0.04%
0x35d2d03607b9155b42cf673102fe58251ac4f644,Phemex 3,Eoa,"21,628,259.07",0.04%
0x1cc93e14af6290ae70da4e51dcab8d6961f5bf24,-,Eoa,"21,443,775.80",0.04%
0x3feff3893bef914c20d345241c8d9ba5b8be277c,-,Eoa,"21,220,249.72",0.04%
0x3e1b373f18110bd7986b5cb6826300f5f3fd87b0,-,Eoa,"20,935,010.00",0.04%
0xce2b47d7b7163ecb732494265935bce39e82e9c4,-,Eoa,"20,735,394.61",0.03%
0xf7f741e29828da8500a5daae6a348008fe3a5816,-,Eoa,"20,448,093.91",0.03%
0x4131c718d9fd40cd952fd458749281ef8e544233,-,Eoa,"20,093,829.91",0.03%
0x99c2d01c89ea89839516b2758fbca737fb939263,-,Eoa,"20,090,005.00",0.03%
0x6b7ac100481e30252331c150a6839d3cd9c517d9,-,Eoa,"20,047,826.58",0.03%
0x44c9503188827034377353a9f6d876eea15933c9,-,Eoa,"20,010,840.04",0.03%
0x30fa800bd43b9bab33c363df28c85914ed92f4bc,-,Eoa,"20,006,900.00",0.03%
0xec8786093d617ad944bc8e84ffdb242b7d6b0d75,-,Eoa,"20,000,305.00",0.03%
0xad8e5ceb7d77e10403be8430717c515273c31b8d,-,Eoa,"20,000,000.00",0.03%
0xf884b1bc1d91cdf824e7f35d61edfdb042c28c83,-,Eoa,"20,000,000.00",0.03%
0xa7bf48749d2e4aa29e3209879956b9baa9e90570,Phishing:185618,Eoa,"20,000,000.00",0.03%
0xac541a5768d248eb23c34e7cbcea252bcf14e900,-,Eoa,"19,376,712.00",0.03%
0xd93b7fb24fbb640120ad65214f587adc8756292d,-,Eoa,"19,347,788.14",0.03%
0x09209993f60274386ad539ab539b53e0ddc98d7a,-,Eoa,"19,109,150.00",0.03%
0x840760aed6bbd878c46c5850d3af0a61afcd09c8,-,Eoa,"19,000,121.27",0.03%
0xf0374db692ca94c3a6921a78ca9409504c2ce387,-,Eoa,"19,000,040.20",0.03%
0xf0125865ede30b00260cea0bc7dc8a5dcd6a0fed,-,Eoa,"18,945,611.26",0.03%
0x9db812a1b55ac6fdbd1d52e628324e2fd2dbb560,-,Eoa,"18,912,627.67",0.03%
0xcd9d70e721f9234393b598006203fdef7620e704,-,Eoa,"18,843,154.51",0.03%
0xdcdfd1736cb742ef9d88a678aaf4e601d52a4a26,-,Eoa,"18,739,154.90",0.03%
