Address,Address Tag,Type,Token Balance,Percentage
0xf977814e90da44bfa03b6295a0616a897441acec,Binance 8,Exchange,"4,000,000,052.09",7.67%
0x47ac0fb4f2d84898e4d9e7b4dab3c24507a6d503,Binance: Binance-Peg Tokens,Exchange,"1,820,000,161.44",3.49%
0x5754284f345afc66a98fbb0a0afe71e0f007b949,Tether: Treasury,Exchange,"1,247,441,723.44",2.39%
0x28c6c06298d514db089934071355e5743bf21d60,Binance 14,Exchange,"1,140,306,349.38",2.18%
0x5a52e96bacdabb82fd05763e25335261b270efcb,Binance 28,Exchange,"855,564,189.00",1.64%
0xc882b111a75c0c657fc507c04fbfcd2cc984f071,Gate.io,Exchange,"542,837,397.59",1.04%
0xc5451b523d5fffe1351337a221688a62806ad91a,OKEx 10,Exchange,"500,000,101.01",0.95%
0x69a722f0b5da3af02b4a205d6f0c285f4ed8f396,OKEx 12,Exchange,"500,000,011.00",0.95%
0x461249076b88189f8ac9418de28b365859e46bfd,OKX 9,Exchange,"500,000,001.00",0.95%
0x42436286a9c8d63aafc2eebbca193064d68068f2,OKEx 11,Exchange,"500,000,001.00",0.95%
0xd6216fc19db775df9774a6e33526131da7d19a2c,KuCoin 6,Exchange,"451,000,000.00",0.86%
0xf59869753f41db720127ceb8dbb8afaf89030de4,OKX 15,Exchange,"400,000,020.16",0.76%
0x65a0947ba5175359bb457d3b34491edf4cbf7997,OKEx 16,Exchange,"400,000,006.01",0.76%
0x4d19c0a5357bc48be0017095d3c871d9afc3f21d,OKX 17,Exchange,"400,000,001.00",0.76%
0x5c52cc7c96bde8594e5b77d5b76d042cb5fae5f2,OKEx 18,Exchange,"400,000,001.00",0.76%
0xe9172daf64b05b26eb18f07ac8d6d723acb48f99,OKEx 19,Exchange,"400,000,001.00",0.76%
0x5041ed759dd4afc3a72b8192c143f72f4724081a,OKx 7,Exchange,"363,970,690.88",0.69%
0xee5b5b923ffce93a870b3104b7ca09c3db80047a,bybit,Exchange,"306,139,930.42",0.58%
0x6fb624b48d9299674022a23d92515e76ba880113,OKX 14,Exchange,"300,000,026.79",0.57%
0xc708a1c712ba26dc618f972ad7a187f76c8596fd,OKX 13,Exchange,"300,000,001.00",0.57%
0x89e51fa8ca5d66cd220baed62ed01e8951aa7c40,Kraken 7,Exchange,"259,393,335.73",0.49%
0xcba38020cd7b6f51df6afaf507685add148f6ab6,OKX 8,Exchange,"185,000,002.01",0.35%
0xf89d7b9c864f589bbf53a82105107622b35eaa40,Bybit,Exchange,"174,918,889.28",0.33%
0x3cc936b795a188f0e246cbb2d74c5bd190aecf18,Mexc.com 3,Exchange,"162,666,141.81",0.31%
0xeea81c4416d71cef071224611359f6f99a4c4294,BitMEX 1,Exchange,"69,042,074.56",0.13%
0x77134cbc06cb00b66f4c7e623d5fdbf6777635ec,Bitfinex: Hot Wallet,Exchange,"64,307,158.23",0.12%
0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,Coinbase 10,Exchange,"61,987,371.68",0.11%
0xb8e6d31e7b212b2b7250ee9c26c56cebbfbe6b23,KuCoin 15,Exchange,"55,999,980.75",0.10%
0x46340b20830761efd32832a74d7169b29feb9758,Crypto.com 2,Exchange,"43,060,178.28",0.08%
0x0d0707963952f2fba59dd06f2b425ace40b492fe,Gate.io,Exchange,"39,342,215.44",0.07%
0xf3b0073e3a7f747c7a38b36b805247b222c302a3,Crypto.com,Exchange,"36,799,242.82",0.07%
0x9696f59e4d72e237be84ffd425dcad154bf96976,Binance 18,Exchange,"34,840,859.38",0.06%
0x56eddb7aa87536c09ccc2793473599fd21a8b17f,Binance 17,Exchange,"33,450,752.65",0.06%
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,Binance 16,Exchange,"31,946,255.95",0.06%
0xa205fd7344656c72fdc645b72faf5a3de0b3e825,Copper,Exchange,"29,749,874.91",0.05%
0x21a31ee1afc51d94c2efccaa2092ad1028285549,Binance 15,Exchange,"29,357,258.03",0.05%
0x2c8fbb630289363ac80705a1a61273f76fd5a161,OKx 4,Exchange,"10,899,592.25",0.02%
0xf60c2ea62edbfe808163751dd0d8693dcb30019c,Binance US 3,Exchange,"10,864,968.05",0.02%
0x9acbb72cf67103a30333a32cd203459c6a9c3311,Paribu 5,Exchange,"10,558,682.21",0.02%
0x5f397b62502e255f68382791947d54c4b2d37f09,Deribit 8,Exchange,"7,753,866.23",0.01%
0xef8801eaf234ff82801821ffe2d78d60a0237f97,Rollbit: ERC-20 Hot Wallet,Exchange,"7,098,515.51",0.01%
0x1c4b70a3968436b9a0a9cf5205c787eb81bb558c,Gate.io 3,Exchange,"7,088,056.57",0.01%
0x5d7f34372fa8708e09689d400a613eee67f75543,Binance 42,Exchange,"5,131,078.71",0.00%
