Address,Address Tag,Type,Token Balance,Percentage
0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,Uniswap V3: WBTC,Dex,830.47,0.53%
0xceff51756c56ceffca006cd410b03ffc46dd3a58,SushiSwap LP Token (SLP),Dex,279.02,0.18%
0x4585fe77225b41b697c938b018e2ac67ac5a20c0,Uniswap V3,Dex,245.14,0.15%
0x9db9e0e53058c89e5b94e29621a205198648425b,Uniswap V3: WBTC-USDT,Dex,167.62,0.10%
0xd51a44d3fae010294c616388b506acda1bfaae46,USDT-WBTC-WETH (tricrypto2),Dex,122.36,0.07%
0xbb2b8038a1640196fbe3e38816f3e67cba72d940,Uniswap V2 (UNI-V2),Dex,96.76,0.06%
0x99ac8ca7087fa4a2a1fb6357269965a2014abc35,Uniswap V3: WBTC-USDC,Dex,66.16,0.04%
0x649765821d9f64198c905ec0b2b037a4a52bc373,Master Vault V3,Dex,59.54,0.03%
0xb2c86ff752f18499b70e8f642b3421405d50d6e9,Uniswap V3(WBTC-SAITABIT),Dex,56.15,0.03%
0xe15e6583425700993bd08f51bf6e7b73cd5da91b,Uniswap V3(WBTC-BADGER),Dex,43.48,0.02%
0xdbac78be00503d10ae0074e5e5873a61fc56647c,Uniswap V3(tBTC-WBTC),Dex,42.72,0.02%
0xba12222222228d8ba445958a75a0704d566bf2c8,Balancer V2,Dex,35.40,0.02%
0xe6ff8b9a37b0fab776134636d9981aa778c4e718,Uniswap V3: WBTC 4,Dex,32.29,0.02%
0x674bdf20a0f284d710bc40872100128e2d66bd3f,Loopring: Exchange v2 Deposit,Dex,30.54,0.01%
0x93054188d876f558f4a66b2ef1d97d16edf0895b,Curve.fi: REN Swap,Dex,29.94,0.01%
0xb2dcaa15fbd8460bcb9cfab5aebea7ab0ed328fe,Uniswap V3,Dex,26.26,0.01%
0x5d22045daceab03b158031ecb7d9d06fad24609b,DeversiFi: Bridge,Dex,25.56,0.01%
0xef9b4fddd861aa2f00ee039c323b7fabd7afe239,Uniswap V3(WBTC-EBTC),Dex,23.87,0.01%
0xe6ac70304bfc466862b2d957f29438c76bcb191d,Uniswap V2 (UNI-V2),Dex,20.00,0.01%
0x7fc77b5c7614e1533320ea6ddc2eb61fa00a9714,sBTC Swap,Dex,18.25,0.01%
0xcba47689202d31575bfa204efe70e2c83d29da4d,Bancor: Converter 560,Dex,16.15,0.01%
0x5dfae56e344b18bc7cd3b8350721ffdd12ff2b3c,Integral LP (ITGR-LP),Dex,13.97,0.00%
0x6a11f3e5a01d129e566d783a7b6e8862bfd66cca,1inch Liquidity Pool (ETH-WBTC) (1LP-ETH-WBTC),Dex,12.32,0.00%
