Address,Address Tag,Type,Token Balance,Percentage
0x6dab3bcbfb336b29d06b9c793aef7eaa57888922,-,Eoa,"1,610.44",1.04%
0xed805ac246f441ea0d057b81d910ef1e39eb5995,-,Eoa,966.35,0.62%
0xd48573cda0fed7144f2455c5270ffa16be389d04,-,Eoa,961.00,0.62%
0xc76c7253592e27f090019f9949585366f799d6f7,-,Eoa,866.51,0.56%
0x652356478073ba1d38b310850446d0a4c3cad4bd,U.S. Government:FTX Alameda Seized Funds,Eoa,750.18,0.48%
0xe74b28c2eae8679e3ccc3a94d5d0de83ccb84705,Wintermute Exploiter,Eoa,671.24,0.43%
0x693942887922785105088f04e9906d16188e9388,-,Eoa,588.05,0.38%
0xbfe5e57fa7a851f1f404e33a57e8fc5bf182df06,-,Eoa,585.75,0.37%
0xadc842a26b185897ac22042c99961f854ca4395f,-,Eoa,579.57,0.37%
0x3c22ec75ea5d745c78fc84762f7f1e6d82a2c5bf,-,Eoa,568.06,0.36%
0xa489e9daf10ced86811d59e4d00ce1b0dec95f5e,-,Eoa,550.52,0.35%
0x02e5a482d5bc6c41c97d21c70f4e4da96b8da0f4,-,Eoa,473.65,0.30%
0x21aa30c357d4102372be8f32f7a3104c853bbe22,-,Eoa,450.00,0.29%
0x1d5a591eebb5bcb20f440d121e4f62e8d1689997,-,Eoa,400.52,0.25%
0xb20fb60e27a1be799b5e04159ec2024cc3734ed7,-,Eoa,400.02,0.25%
0x33eecc48943aaeabb5328a25ff28eb85f67945c2,salve.eth,Eoa,392.07,0.25%
0x834bd54eae7edd442637375b9be9ba2a9ad28389,-,Eoa,359.03,0.23%
0xcdd8699e53c1b6c6c378c03efc701c7a700b5fca,-,Eoa,304.21,0.19%
0xab7b99998206d1ccf8b13b02b7566c267f4e2313,-,Eoa,257.60,0.16%
0x4860d039cbc7cffb0267f86e63f4b4442b71505e,-,Eoa,245.73,0.15%
0xefa6dbc560308338867ab6fa69a8c8f6bf14167e,-,Eoa,235.83,0.15%
0x0ef6aeb825dc4c9983d551f8afefaae9d79165c6,-,Eoa,232.56,0.15%
0xb65e2ee1873189690453554125ba35df7a64bed8,-,Eoa,218.84,0.14%
0x5680b3fcbb64fb161adbd347bc92e8ddeda97008,-,Eoa,217.80,0.14%
0x1ac296547248ba59a39878b2f8087bd75762df5d,-,Eoa,216.59,0.14%
0xfaf5358a4ac02833dd82e1beb3347d81bdf596cc,-,Eoa,210.29,0.13%
0x70fbb965302d50d1783a2337cb115b30ae9c4638,-,Eoa,200.00,0.12%
0xa0e9e1e224b66e82893873d0a2d1a17a4ad199aa,-,Eoa,200.00,0.12%
0x37d63649527cc66eee5b6d96b3305f0f764618f5,-,Eoa,192.95,0.12%
0x21f0ec8719b1e92f04f57d1e41dbdf248b5514b3,-,Eoa,188.25,0.12%
0x9a5c7630d327885ae849217702824e5835d3c5e0,-,Eoa,185.63,0.12%
0x59bb9d4a00e5f6bf2cd1286f93afa0cf0326325f,-,Eoa,177.28,0.11%
0xaeb9c505b7411128204755109dd8e30d3557d60e,-,Eoa,176.15,0.11%
0x5a16552f59ea34e44ec81e58b3817833e9fd5436,CVault Finance:Deployer,Eoa,172.72,0.11%
0xf3315095db3f53af331a83cee931b1e3751cfc8f,-,Eoa,172.67,0.11%
0xb2b6360cf65384af668e905d09e46a8c7918eeee,-,Eoa,166.70,0.10%
0x563654bfe483530f2a82ba2b17c28bc4daa7447b,-,Eoa,162.23,0.10%
0x89638209d697505f9b9f8a3971a7d0c8b093483d,-,Eoa,155.77,0.10%
0x0c4809be72f9e117d75381438c5daec8abe75bad,-,Eoa,154.22,0.09%
0x5d616e813ba53a898fc936dc473443b525451e9d,-,Eoa,150.83,0.09%
0x6de947950eb32f00773554309c6fa598d0ff6a9b,-,Eoa,150.04,0.09%
0x042b8c325dbbc25903f0a488038aebf280ffff6a,-,Eoa,150.04,0.09%
0xce0adbb76a8ce7224bec6b586e18743aeb03250a,-,Eoa,149.34,0.09%
0x2a097805c9bca80925b840b5c42e482ebc8c985e,-,Eoa,147.88,0.09%
0x727e0b4dace39c984eefe342875323de5662aa07,-,Eoa,143.40,0.09%
0xe506b2b5bbd1a166c8e44cc9942b6bd0eda51d90,-,Eoa,142.28,0.09%
0xadc68fb9809206c88e4f871c14b904b25ae5e301,-,Eoa,140.35,0.09%
