Address,Address Tag,Type,Token Balance,Percentage
0x28c6c06298d514db089934071355e5743bf21d60,Binance 14,Exchange,"1,463.67",0.94%
0x77134cbc06cb00b66f4c7e623d5fdbf6777635ec,Bitfinex: Hot Wallet,Exchange,"1,362.67",0.88%
0xcffad3200574698b78f32232aa9d63eabd290703,Crypto.com 5,Exchange,488.03,0.31%
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,Binance 16,Exchange,269.19,0.17%
0xc882b111a75c0c657fc507c04fbfcd2cc984f071,Gate.io,Exchange,255.25,0.16%
0x21a31ee1afc51d94c2efccaa2092ad1028285549,Binance 15,Exchange,184.72,0.11%
0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,OKEx,Exchange,96.49,0.06%
0xf89d7b9c864f589bbf53a82105107622b35eaa40,Bybit,Exchange,56.24,0.03%
0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,Coinbase 10,Exchange,49.40,0.03%
0x0d0707963952f2fba59dd06f2b425ace40b492fe,Gate.io,Exchange,19.93,0.01%
0xeed86b90448c371eab47b7f16e294297c27e4f51,Coinspot,Exchange,16.61,0.01%
0xf3b0073e3a7f747c7a38b36b805247b222c302a3,Crypto.com,Exchange,12.73,0.00%
0xd6216fc19db775df9774a6e33526131da7d19a2c,KuCoin 6,Exchange,11.24,0.00%
