Address,Address Tag,Type,Token Balance,Percentage,Date Times,Txhash,Value (USD),From,To,Transfer Type
0x6dab3bcbfb336b29d06b9c793aef7eaa57888922,-,Eoa,"1,610.44",1.04%,2023-06-25 17:44:59,0x924cf94b5dccaeb124540154abfa4b331ffe55ba51557c70a9db62d2ea5ff157,59605.42,0x6dab3bcbfb336b29d06b9c793aef7eaa57888922,0xf4d34d7fdd2ed5d57c6f583237bb038fc3839d17,out
0xed805ac246f441ea0d057b81d910ef1e39eb5995,-,Eoa,966.35,0.62%,2024-08-05 18:01:35,0xb7dfe5483457fd017d6b4aa7e93b967a14222af7ff75d871105dc53bda9d8476,851212.2790509926,0xa8c1c98aaf99a5dfc907d61b892b2ad624901185,0xed805ac246f441ea0d057b81d910ef1e39eb5995,in
0xd48573cda0fed7144f2455c5270ffa16be389d04,-,Eoa,961.00,0.62%,2024-08-14 15:42:11,0xf15252615711b37664193b0ec9c8ae2a464b812be3c37fdb002913236e6b95ff,65565962.0,0x5ee5bf7ae06d1be5997a1a72006fe6c607ec6de8,0xd48573cda0fed7144f2455c5270ffa16be389d04,in
0xc76c7253592e27f090019f9949585366f799d6f7,-,Eoa,866.51,0.56%,2024-05-15 14:46:35,0x3a8f48eb5c3befe5f2d4f40a47c16882a6dd8782a54991c8538c785773f89d5e,2980271.0,0xc76c7253592e27f090019f9949585366f799d6f7,0x24b12457d3a68eca9daca48f0628276592bebcdd,out
0x652356478073ba1d38b310850446d0a4c3cad4bd,U.S. Government:FTX Alameda Seized Funds,Eoa,750.18,0.48%,2023-04-15 05:52:47,0x5f6e58099b83e1b363f4b8d465426349dbb0c4fafb88b16eb933c69a7155e94b,44715346.236505814,0x21a31ee1afc51d94c2efccaa2092ad1028285549,0x652356478073ba1d38b310850446d0a4c3cad4bd,in
0xe74b28c2eae8679e3ccc3a94d5d0de83ccb84705,Wintermute Exploiter,Eoa,671.24,0.43%,2022-09-20 05:11:35,0xedd31e2a949b7957a786d44b071dbe1bc5abd5c57e269edb9ec2bf1af30e9ec4,40009966.72537386,0x0248f752802b2cfb4373cc0c3bc3964429385c26,0xe74b28c2eae8679e3ccc3a94d5d0de83ccb84705,in
0x693942887922785105088f04e9906d16188e9388,-,Eoa,588.05,0.38%,2022-06-18 03:14:18,0x8bf03be983173510dd0c841fad057541eeda6f84b653ac5a48fa630fafb18aca,35050974.323448926,0x93054188d876f558f4a66b2ef1d97d16edf0895b,0x693942887922785105088f04e9906d16188e9388,in
0xbfe5e57fa7a851f1f404e33a57e8fc5bf182df06,-,Eoa,585.75,0.37%,2022-07-11 06:08:51,0xc17a6fc5a3de37d52d3922dcb1588cb6e57b5e675ab4c5244dd3175801481fee,34462558.051971905,0x93054188d876f558f4a66b2ef1d97d16edf0895b,0xbfe5e57fa7a851f1f404e33a57e8fc5bf182df06,in
0xadc842a26b185897ac22042c99961f854ca4395f,-,Eoa,579.57,0.37%,2022-12-28 03:11:11,0x114e2f2323dae46079cd4c11d1846d93243a83aecd8648b30a0ab030362555d0,34546095.09995863,0x3a20d28ca96d360ee91e1a6844c384f741abed2a,0xadc842a26b185897ac22042c99961f854ca4395f,in
0x3c22ec75ea5d745c78fc84762f7f1e6d82a2c5bf,-,Eoa,568.06,0.36%,2024-07-18 15:25:23,0xa0ae4253695452939e6acb382cf5a6019b52ddb9abe0f180d225218dcc8ec7e0,59605.654249300605,0x43fc188f003e444e9e538189fc675acdfb8f5d12,0x3c22ec75ea5d745c78fc84762f7f1e6d82a2c5bf,in
