Address,Address Tag,Type,Token Balance,Percentage
0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,Uniswap V3: WBTC,Dex,"79,179.75",2.87%
0xba12222222228d8ba445958a75a0704d566bf2c8,Balancer V2,Dex,"40,134.41",1.45%
0x21b8065d10f73ee2e260e5b47d3344d3ced7596e,Uniswap V2 (UNI-V2),Dex,"30,880.95",1.12%
0x4585fe77225b41b697c938b018e2ac67ac5a20c0,Uniswap V3,Dex,"24,642.43",0.89%
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,Uniswap V3,Dex,"22,499.75",0.81%
0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,Uniswap V2 (UNI-V2),Dex,"20,225.86",0.73%
0x202a6012894ae5c288ea824cbc8a9bfb26a49b93,Uniswap V3(WETH-weETH),Dex,"18,561.13",0.67%
0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,Uniswap V2 (UNI-V2),Dex,"15,197.18",0.55%
0x7a415b19932c0105c82fdb6b720bb01b0cc2cae3,Uniswap V3(WETH-weETH),Dex,"13,719.13",0.49%
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,Uniswap V3: USDT,Dex,"13,669.22",0.49%
0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,Uniswap V3(USDC-WETH),Dex,"12,622.68",0.45%
0xc5c134a1f112efa96003f8559dba6fac0ba77692,Uniswap V3(WHITE-WETH),Dex,"8,784.06",0.31%
0xa43fe16908251ee70ef74718545e4fe6c5ccec9f,Uniswap V2 (UNI-V2),Dex,"7,522.34",0.27%
0xceff51756c56ceffca006cd410b03ffc46dd3a58,SushiSwap LP Token (SLP),Dex,"5,758.82",0.20%
0x11b815efb8f581194ae79006d24e0d814b7697f6,Uniswap V3: USDT 3,Dex,"5,483.77",0.19%
0x6a091a3406e0073c3cd6340122143009adac0eda,SushiSwap LP Token (SLP),Dex,"5,117.35",0.18%
0x40e629a26d96baa6d81fae5f97205c2ab2c1ff29,Uniswap V3,Dex,"5,001.07",0.18%
0x04708077eca6bb527a5bbbd6358ffb043a9c1c14,Uniswap V3(WETH-mETH),Dex,"4,528.08",0.16%
0xf4c5e0f4590b6679b3030d29a84857f226087fef,Uniswap V3(MNT-WETH),Dex,"4,100.61",0.14%
0xe8c6c9227491c0a8156a0106a0204d881bb7e531,Uniswap V3(MKR-WETH),Dex,"3,876.30",0.14%
0xc2e9f25be6257c210d7adf0d4cd6e3e881ba25f8,Uniswap V3(DAI-WETH),Dex,"3,746.23",0.13%
0x0af81cd5d9c124b4859d65697a4cd10ee223746a,Uniswap V2 (UNI-V2),Dex,"3,734.99",0.13%
0x109830a1aaad605bbf02a9dfa7b0b92ec2fb7daa,Uniswap V3,Dex,"3,730.45",0.13%
0xca7c2771d248dcbe09eabe0ce57a62e18da178c0,Uniswap V2 (UNI-V2),Dex,"3,195.67",0.11%
0x9c4fe5ffd9a9fc5678cfbd93aa2d4fd684b67c4c,Uniswap V2 (UNI-V2),Dex,"3,017.26",0.10%
0x059615ebf32c946aaab3d44491f78e4f8e97e1d3,Uniswap V3(rsETH-WETH),Dex,"2,829.21",0.10%
0xc2eab7d33d3cb97692ecb231a5d0e4a649cb539d,Uniswap V2 (UNI-V2),Dex,"2,550.88",0.09%
0xd51a44d3fae010294c616388b506acda1bfaae46,USDT-WBTC-WETH (tricrypto2),Dex,"2,473.14",0.08%
0x3afdc5e6dfc0b0a507a8e023c9dce2cafc310316,Uniswap V3,Dex,"2,414.39",0.08%
