Address,Address Tag,Type,Token Balance,Percentage
0x57757e3d981446d585af0d9ae4d7df6d64647806,worthalter,Eoa,"19,820.73",0.71%
0x6b44ba0a126a2a1a8aa6cd1adeed002e141bcd44,-,Eoa,"12,077.40",0.43%
0xb1c33b391c2569b737ec387e731e88589e8ec148,-,Eoa,"6,180.49",0.22%
0x4a18a50a8328b42773268b4b436254056b7d70ce,-,Eoa,"3,500.00",0.12%
0x1ac296547248ba59a39878b2f8087bd75762df5d,-,Eoa,"3,302.96",0.11%
0xd3a7e3c5602f8a66b58dc17ce33f739efac33da2,-,Eoa,"3,000.00",0.10%
0x4bb7f4c3d47c4b431cb0658f44287d52006fb506,-,Eoa,"2,833.41",0.10%
0xce0adbb76a8ce7224bec6b586e18743aeb03250a,-,Eoa,"2,550.00",0.09%
0xa4bc88024149740e06d5f686060f61be58b4148c,-,Eoa,"2,488.02",0.09%
0x821a96fbd4465d02726edbaa936a0d6d1032de46,-,Eoa,"2,472.11",0.08%
0x4b7feceffe3b14ffd522e72b711b087f08bd98ab,-,Eoa,"2,459.00",0.08%
0x2e40ddcb231672285a5312ad230185ab2f14ed2b,-,Eoa,"2,284.42",0.08%
0x59d779bed4db1e734d3fda3172d45bc3063ecd69,-,Eoa,"2,125.46",0.07%
0x894d55be079e7e19fe526ac22b0786b7afe18e7e,-,Eoa,"2,055.76",0.07%
0x9359ecf077186d4543bd53bc3528da4a80938c79,U.S. Government:FTX Alameda Seized Funds,Eoa,"1,933.52",0.07%
0xd1668fb5f690c59ab4b0cabad0f8c1617895052b,-,Eoa,"1,890.00",0.06%
0x25431341a5800759268a6ac1d3cd91c029d7d9ca,-,Eoa,"1,763.00",0.06%
0x17fd2feedabe71f013f5228ed9a52de58291b15d,-,Eoa,"1,700.19",0.06%
0xe5ebcde141e98c23c150bc350b72c23fdcb747c1,-,Eoa,"1,624.76",0.05%
0xc819ece252316e90491e2cc865c3972787515d13,-,Eoa,"1,600.00",0.05%
0x8813c2a42ddafd151178b52000e6de42fa8defc0,-,Eoa,"1,538.63",0.05%
0x2e684fb180f7f0de3d15e76dc55385f9f4be5710,-,Eoa,"1,531.48",0.05%
0xb09daaff1539630a422c676e3456149cceddc09f,-,Eoa,"1,200.05",0.04%
0xb96695ccb167ac37ae2fd46f8a8ddfaf462f27ac,-,Eoa,"1,186.60",0.04%
0x80596bf6a3467502557ce466933e8c4cba2e0b0b,-,Eoa,"1,160.97",0.04%
0xc7a253fd3c61cf69d043e6184c107df4e29475b5,-,Eoa,"1,066.00",0.03%
0xebdbb4a9b9e2e41151938138bd789f38fe3af41d,-,Eoa,"1,059.95",0.03%
0x3240f5819de3fcd90db9294b38b926b28ccaae50,-,Eoa,"1,055.59",0.03%
0xb5a9621b0397bfc5b45896cae5998b6111bcdce6,-,Eoa,"1,013.63",0.03%
0x1d812a7e929d4dbe237926ed8e7c31434b9ab469,Maven 11,Eoa,"1,008.33",0.03%
0x19deab81e77fe551d3d096b54b3ef9b8b29f34cb,-,Eoa,971.04,0.03%
0x125f95140e9c4b34043546bb5ac302b3aecff65b,-,Eoa,965.14,0.03%
0xed3c405156ab00a5e5b9ef46aaa282cf481f46bb,-,Eoa,933.00,0.03%
0xa65840c0ae791cd70bd6ecc4c0eb6ed51775fc0b,-,Eoa,923.71,0.03%
0x693b75eed71dfa1be188fdb53472c8fc51c5a0a0,-,Eoa,923.70,0.03%
0xa3aaf2e92f9c11d7a449a1e2f6323e00f7ce8bd1,-,Eoa,850.00,0.03%
0xc18caab79fa89f58c03bb9c7a85e76fea8300362,-,Eoa,816.33,0.02%
0xb3e54ff20b43650cf5706beef5c69705a7fc28ef,-,Eoa,805.38,0.02%
0xe06d3a22a40fbc7c4a554ded32c8efc0d15c3fbd,-,Eoa,773.36,0.02%
0x65ddfd176281cba8c180ddfcfcba11d17d5061b8,-,Eoa,741.53,0.02%
0xa3609cf7872faa7804281c7c5edb8b2d33001089,-,Eoa,739.25,0.02%
0x24faf482304ed21f82c86ed5feb0ea313231a808,-,Eoa,724.13,0.02%
0xf694197103dfb3e2d1a21effb72f945710fbefc9,-,Eoa,701.52,0.02%
0x9bbb7d07a044eca40d321c005073aac08b614fd5,-,Eoa,673.00,0.02%
0x3187923915ef910a1da0af1de12a55824a7e7e60,-,Eoa,656.29,0.02%
0x9d1ec3375252d4ab3c128f9774be266f67faa0bd,-,Eoa,611.35,0.02%
0x4ddd3cf6f442523a72de51fc5db11b3c25aeb6b0,-,Eoa,559.85,0.02%
0xc2111e551c38271931f151ab29aa7af16193899b,-,Eoa,553.95,0.02%
0xeb022e78da0fd63b549a8a53aaa81937ad483099,-,Eoa,553.59,0.02%
0x1f60c7714ef4cb63f07211cfccc93f615b55e12e,-,Eoa,541.01,0.01%
0x3fe0bf87b9fff545a85adc63ec93acc46b7ca542,-,Eoa,535.41,0.01%
0x3046013417883d1b6f48e5391f57fadf7e58d246,-,Eoa,534.45,0.01%
0x4a74eac494c34a8aa997a7cc8d0ebd7e1174bd4f,-,Eoa,517.30,0.01%
0x3af4a49c8e2fcaf33fd3389543b80d320fcc9091,-,Eoa,515.67,0.01%
0x4460531eb1a2a27f3fdd83a13c2d526ecc7db859,-,Eoa,500.00,0.01%
0x5e9f736f314c9108ac72d4cfed4bcc09c01309a6,-,Eoa,491.45,0.01%
