Address,Address Tag,Type,Token Balance,Percentage
0x1337bedc9d22ecbe766df105c9623922a27963ec,Curve.fi DAI/USDC/USDT (3CRV),Dex,"3,184,263.48",8.48%
0x41cc89b91d0abe260f2cb53c1abda07b321e71df,StableV2 AMM - CHI/DAI (sAMMV2-CHI/DAI),Dex,"2,881,108.83",7.67%
0x60daec2fc9d2e0de0577a5c708bcadba1458a833,Rubicon,Dex,"1,130,488.52",3.01%
0xbf16ef186e715668aa29cef57e2fd7f9d48adfe6,Uniswap V3(USDC.e-DAI),Dex,"1,078,077.87",2.87%
0x4f7ebc19844259386dbddb7b2eb759eefc6f8353,StableV1 AMM - USDC/DAI (sAMM-USDC/DAI),Dex,"661,435.45",1.76%
0x427464d9434f99a3d942c60210ee2376166975ce,KyberSwap v2 Reinvestment Token (KS2-RT),Dex,"259,953.06",0.69%
0x64cfb034b5f0366329df47bf110fa1409278f3b4,KyberSwap v2 Reinvestment Token (KS2-RT),Dex,"63,855.94",0.17%
0x5130f6ce257b8f9bf7fac0a0b519bd588120ed40,ClipperDirect Pool Token (CLPRDRPL),Dex,"60,631.69",0.16%
0x9438a9d1bdeece02ed4431ac59613a128201e0b9,Uniswap V3(sUSD-DAI),Dex,"46,079.40",0.12%
0x381af0787add5bbbfa6ff88bd1284449a486372b,Uniswap V3(DAI-XCHF),Dex,"36,931.63",0.09%
0x819ff7911fcc218665ecd6faad61730af544b3e1,Uniswap V3(EST-DAI),Dex,"27,243.55",0.07%
0xd400a9a5328d7f8a35fe00d28f2d422d8de6c17e,Uniswap V3(RAI-DAI),Dex,"18,545.39",0.04%
0x078f65c0e854ab7fa3baa2cff62a4f9cb4031382,VolatileV1 AMM - USDC/DAI (vAMM-USDC/DAI),Dex,"16,631.21",0.04%
0xdbd4ffc32b34f630dd8ac18d37162ec8462db7db,ClipperDirect Pool Token (CLPRDRPL),Dex,"16,290.70",0.04%
0x72b74fc8e8911664575679f55253524515b06c0e,Uniswap V3(RAI-DAI),Dex,"13,997.31",0.03%
0x43c3f2d0aa0ebc433d654bb6ebf67f0c03f8d8d9,VolatileV1 AMM - OP/DAI (vAMM-OP/DAI),Dex,"6,060.01",0.01%
0x0bb50d3e479e4682558fdb86f41a205e2c035ae5,Uniswap V3(wstETH-DAI),Dex,"3,799.68",0.01%
0x53790b6c7023786659d11ed82ee03079f3bd6976,WETH-DAI (WETH-DAI-ZS),Dex,"3,431.27",0.00%
0xc345a10f4399c16ce2ff7892cb4bbce24edebe8a,Uniswap V3(RTKN-DAI),Dex,"2,037.02",0.00%
0xec24eb97cec2f0f6a2d61254990b0f163bbbfe1d,StableV1 AMM - sUSD/DAI (sAMM-sUSD/DAI),Dex,"1,567.56",0.00%
0xe588add6432dc1a9c717d37dbce858a6ded48656,Uniswap V3(UNIDX-DAI),Dex,645.70,0.00%
