Address,Address Tag,Type,Token Balance,Percentage
0xc66825c5c04b3c2ccd536d626934e16248a63f68,-,Eoa,"3,005,144.79",8.00%
0xd28843e10c3795e51a6e574378f8698afe803029,-,Eoa,"763,424.97",2.03%
0xc2aa89ac54815aab8195a52983117e9fef03a719,-,Eoa,"574,707.58",1.53%
0xc27e87cfe1fd2ed6f43dfffbb9e9e46428497a24,-,Eoa,"190,378.37",0.50%
0x777a044ceff2305a06ce06ab4644ea025d4ddeb5,-,Eoa,"184,625.08",0.49%
0x06f522a84e0101545516b149ccc4e5561608da1d,-,Eoa,"165,750.40",0.44%
0xb3621f75564bd22e0621cf3ab341e489c510b29c,-,Eoa,"154,850.50",0.41%
0x2bd84c7ebc87e51e0b48d775e2b1ff3c6ab12de2,barna,Eoa,"150,000.00",0.39%
0xd2eeff73117c86c14f11a6052620848f8dd6e0c8,-,Eoa,"120,535.34",0.32%
0x48a63097e1ac123b1f5a8bbffafa4afa8192fab0,notscottmoore,Eoa,"113,156.59",0.30%
0x8c06ae280a798be86f74fd7ccc5b70f3e82430a8,-,Eoa,"101,367.42",0.27%
0xa55edee4c007c31112674350800d95614ee69814,-,Eoa,"92,671.01",0.24%
0xfbaebc8b8fe4d144702831590507cbf365774f3f,-,Eoa,"81,093.55",0.21%
0xf78c068032ae223641b6d997f57f9ab881485be3,-,Eoa,"67,491.26",0.17%
0x7fe02ca835b711928505ea6725ccca6dce6db9e7,-,Eoa,"66,957.82",0.17%
0x2309e84fcf0909dd65d28f7836f972c126aca997,-,Eoa,"64,669.36",0.17%
0x4d5ea105deccff5bcd373c31d742a455351a663b,-,Eoa,"62,399.61",0.16%
0x9ee457023bb3de16d51a003a247baead7fce313d,Ethereum Foundation,Eoa,"59,886.08",0.15%
0xa7406166a0941a10ff372467f914f2303fce3d46,-,Eoa,"56,881.78",0.15%
0xac8777e09acae7816ce3c598ca85293dda3e3b72,-,Eoa,"53,195.04",0.14%
0xd9a1ed9aac149bf9bd655f9b9ddecf9bd04316b3,Flow Traders,Eoa,"51,276.84",0.13%
0x1b4715ddada5903847a4f68fa17ca84a9644d087,-,Eoa,"50,922.71",0.13%
0x23b7dd3a09e8eb96eebad54ea468986f2ffe36f7,-,Eoa,"50,060.05",0.13%
0x8f0671330750c67620d3a430fe078faa50bb1ede,-,Eoa,"48,832.30",0.13%
0x604f127145cac2467389124f0871227d3fd6f628,-,Eoa,"48,394.62",0.12%
0x00dee1f836998bcc736022f314df906588d44808,-,Eoa,"48,112.93",0.12%
0xbdaa8be6856773ffadbdb0bb327303ac3d86d81e,-,Eoa,"47,402.57",0.12%
0xd8e177792a8c8ba6767d3e274e2735120a44e4a1,-,Eoa,"46,502.05",0.12%
0x4a8b9e2c2940fdd39aceb384654dc59acb58c337,poolisaDebank,Eoa,"45,082.77",0.12%
0x41e7d45610417b1909b6f71d0993cf7b5728e0e7,-,Eoa,"43,115.19",0.11%
0x0408e3078b8aa4eea7e51e1088b7df87698e513b,-,Eoa,"42,913.29",0.11%
0xb3d381c886f47bd2c091ae7c785229aaf140b0e9,-,Eoa,"42,568.46",0.11%
0xa69121fd798e86ab2bc172a7842d5888de890346,-,Eoa,"42,332.29",0.11%
0x1098503a90c3224f0e6be7c124a337888c0ba564,-,Eoa,"37,203.20",0.09%
0x75dee4b8a5eeed0984af3cbe99edeaeb42f762f1,-,Eoa,"37,117.91",0.09%
0x7c942389f5248a9c2cba111c08a1a34d55e15272,-,Eoa,"34,855.73",0.09%
0x23c2aa52895d15d5ba51f3f3b588a8d4f13d6af3,StarvngBillion,Eoa,"34,700.21",0.09%
0xf92f4fc2c68743913a735b4efc8f129f186edb7c,-,Eoa,"33,030.33",0.08%
0x666f03cb07876a52f38277992b2fe7ed3bcbc397,-,Eoa,"32,058.56",0.08%
0x0c5e87683c1e5aba053b47f0f724cc40692daf47,-,Eoa,"31,287.33",0.08%
0xcabe02e51448e03a55a1da5540e8b07ca0835d97,-,Eoa,"30,000.85",0.07%
0x22d67f4e233e15f91f61ab7420c6f874e4df5cea,-,Eoa,"28,720.73",0.07%
0x428ab2ba90eba0a4be7af34c9ac451ab061ac010,Across Protocol: Relayer,Eoa,"28,577.01",0.07%
0x2752f1b6b3b91ede8bff9e98cc61ec7441b5ed14,-,Eoa,"27,892.16",0.07%
0x5347de7b28ae486168c63143d89d8d4ec9089cac,-,Eoa,"26,793.60",0.07%
0xd188844238a9449f317bc55521f8503cb14c4d59,-,Eoa,"25,716.43",0.06%
0x822a8e8c00cb78772749b36f58ac17530bd526b0,-,Eoa,"24,918.33",0.06%
0x63164a328912ba03537234c26b3c09857a705bd6,-,Eoa,"24,245.64",0.06%
0xe3c6970e4e51990ee0fe115f7672c8cfad8fb318,-,Eoa,"23,993.57",0.06%
0xed78afd8acba4b56703c4c0ac6cdfa6b7433c1aa,VIPCrypto22,Eoa,"23,680.07",0.06%
0xa06067164e76285cef0ac6c42b3ad3ce9be5039a,-,Eoa,"23,246.73",0.06%
0x083cbb5cc1e13862f60a0f960531dc26b95f910d,-,Eoa,"23,051.36",0.06%
0x551cfb91acd97572ba1c2b177eeb667c207ce759,-,Eoa,"22,966.16",0.06%
0x61a9f1f732c3067cc3c4553de5e3e55d29109342,-,Eoa,"22,832.16",0.06%
0xa8811e18a7e675c2c8730c35543643b662dce9c1,-,Eoa,"22,419.59",0.05%
0xe55993a4627e781a91b3bbf8874031a1462a0cb0,-,Eoa,"22,258.73",0.05%
0xfc1d987a42a0e37bd19ae7bc8d7c0566b8555d9c,-,Eoa,"21,984.88",0.05%
