Address,Address Tag,Type,Token Balance,Percentage
0xc04f49c89058da65b443a66f9092d90912c2d95f,Bithumb:Cold Wallet,Eoa,"26,000.00",3.63%
0xf4dd9bc7ae7ae04502ec85fb9f4ee0463e905b20,Kraken:Hot Wallet,Eoa,"12,244.69",1.71%
0xf23a9bd0ef1ccc9a2fda2b3cd66542e2269bd15e,-,Eoa,"10,000.01",1.39%
0x28a645aca864d3e03a5a0fc62b98e86d2a4f4f62,Bithumb:Hot Wallet,Eoa,"3,810.19",0.53%
0xe0863e34802cbbf05444c3a0f5f6bba8401b1d7e,-,Eoa,"3,259.76",0.45%
0x3cb3783e22b4c6e997d5bd11b0ab51898ab7a955,-,Eoa,"1,363.22",0.19%
0x00ca04caa39eb913749c94ead54f503e84eac988,-,Eoa,"1,172.05",0.16%
0x1f4961130e936522141028343830502a13e3b34c,-,Eoa,"1,130.92",0.15%
0x78f87cc02fa8a0ac98fbf66cebfb27260ecee60b,-,Eoa,"1,099.63",0.15%
0x2ce910fbba65b454bbaf6a18c952a70f3bcd8299,OKX:Internal,Eoa,"1,059.75",0.14%
0x7c67ec08525672a4703c51125709dee33c24a240,-,Eoa,768.73,0.10%
0x7b23e38fbd0e677a1d1f72fe29a1aea9fd83ade8,maker-vault-owner,Eoa,750.79,0.10%
0xf6d4e5a7c5215f91f59a95065190cca24bf64554,-,Eoa,695.91,0.09%
0xf78c068032ae223641b6d997f57f9ab881485be3,-,Eoa,680.76,0.09%
0x82f0b74da307d033bdf8cccb4d8139d43034eae9,-,Eoa,608.21,0.08%
0xcb470dd050d929cb4dbf42f9dfe465e905d8453e,-,Eoa,561.08,0.07%
0x4e05c8bf85fc7275d56e2beb8ffa352386401dba,-,Eoa,503.09,0.07%
0xee2826453a4fd5afeb7ceffeef3ffa2320081268,-,Eoa,492.92,0.06%
0x63dfe4e34a3bfc00eb0220786238a7c6cef8ffc4,Woo Network,Eoa,400.46,0.05%
0xb1e9d641249a2033c37cf1c241a01e717c2f6c76,thomasg_eth,Eoa,390.21,0.05%
0x2e15d7aa0650de1009710fdd45c3468d75ae1392,-,Eoa,360.20,0.05%
0xf8df9716c5b83d02f09a34e9d62c9e22f62c616c,-,Eoa,352.06,0.04%
0x159fa18b343dba8ba19b90f92ae711b971e05866,-,Eoa,350.61,0.04%
0x7d0a2cfe9a4a729f912a9b24f3aec2a93436f451,-,Eoa,347.65,0.04%
0x482d685a17c90d7bb3e0c753f72c870f76aaa850,-,Eoa,339.71,0.04%
0xdfe4f07d1f36b8d559b25082460a4f6a72531de2,-,Eoa,328.61,0.04%
0xf71d6f913855c9bb5a5114748a73862a9bf4347b,-,Eoa,319.99,0.04%
0xd3d3a295be556cf8cef2a7ff4cda23d22c4627e8,BingX,Eoa,319.94,0.04%
0x79cac03cc7eab5e7fdf365f143068b9a2fa521cd,-,Eoa,318.74,0.04%
0xf88e599e84774e5b1cac105919d26ac97a874f77,eth2-depositor,Eoa,300.46,0.04%
0xa489e9daf10ced86811d59e4d00ce1b0dec95f5e,-,Eoa,299.97,0.04%
0x8d397fe58b38c555ea3f1b74c5d2adde0b9f4761,-,Eoa,296.90,0.04%
0xce2cc46682e9c6d5f174af598fb4931a9c0be68e,Crypto.com,Eoa,288.96,0.04%
0xf491d040110384dbcf7f241ffe2a546513fd873d,Coinbase,Eoa,285.51,0.03%
0x6f6ab5c0424a5da9c4238d8bbd7a14dda0ca3405,-,Eoa,270.02,0.03%
0x7a1cf8ce543f4838c964fb14d403cc6ed0bdbacc,-,Eoa,250.00,0.03%
0x71f12a5b0e60d2ff8a87fd34e7dcff3c10c914b0,-,Eoa,249.97,0.03%
0xef0c364216510dc09e13efadfd6ce8dfd372d806,-,Eoa,225.64,0.03%
0x93971b83e3e22cc01ba97f81d24719f655732ba3,-,Eoa,208.55,0.02%
0x27ee985d1e446ec71c277c89cd877ec4eeaa236c,-,Eoa,206.97,0.02%
0x8aa987d3d426940f9b3cc4a0d2b37571299156be,-,Eoa,203.25,0.02%
0x94253fd2e7e60fc21eef41a1d28a1f65482bf2d3,-,Eoa,201.38,0.02%
0xc51a147567a99a307f7ba130a7dee8328312c711,OKX Deposit Address,Eoa,197.15,0.02%
0xfcac4a3bc265e3771bccda033536967ee513c02f,-,Eoa,190.04,0.02%
0xdc927bd56cf9dfc2e3779c7e3d6d28da1c219969,-,Eoa,188.82,0.02%
0xeeafee820cfa6caf5a33c5cb64d98da6d7feb5f8,-,Eoa,184.60,0.02%
0x7f32186a7c16cff6294f5e708d07d7b4e58bb9c4,-,Eoa,184.21,0.02%
0x807de457d2432e911c4fa3513682a5020fb015c9,-,Eoa,179.81,0.02%
0x90dae18b54bf372054b4787cc7008ba7a3ec0bd4,-,Eoa,178.70,0.02%
0x2539ffc9ded82926a5aaee065e800c7d1de02454,-,Eoa,174.69,0.02%
0x1ab4973a48dc892cd9971ece8e01dcc7688f8f23,Bitget,Eoa,168.87,0.02%
0x07c5451472ba0794aae1fb8dc04cfaca81e220e8,-,Eoa,160.89,0.02%
0xd8a8aa5e8d776a89ee1b7ae98d3490de8acad53d,-,Eoa,160.36,0.02%
0xd44fd1c1fe3f3f0d93a8867af4041ab231783fcb,-,Eoa,156.36,0.02%
0xa6c37c771d81ceb7dda952cc5625e06444067e2f,-,Eoa,155.59,0.02%
0xf69d0bbc95db6287ef02f19e5b2789972f776c2f,-,Eoa,153.11,0.02%
0xdc0fed7e2ff78e085c9fd936c69aa02a2216d16c,-,Eoa,151.98,0.02%
0xb1f0d485227dbecff6f1c0f28a58bba1a97d4d81,-,Eoa,151.59,0.02%
0xbeea589d9f610156a9be124d21edc1b7213dce4b,-,Eoa,150.50,0.02%
0xedea9016b4ad8aa2e7bf45c49f80c82d752e4aea,-,Eoa,149.59,0.02%
0x111e9f4e4e226629490d66fc365cab0c74f21a37,-,Eoa,149.04,0.02%
0xcb1040fa8350cbb1575c85995d4881d08ef9a5f7,-,Eoa,145.04,0.02%
0x663b1969f48fc2ad748be46dc90bab2e6f247f25,-,Eoa,140.20,0.01%
0x142b9ccd60ec7a0da58b1e7ba1a09d6f939cf9bd,-,Eoa,140.04,0.01%
0xfa011d8d6c26f13abe2cefed38226e401b2b8a99,Cryptomanufaktur,Eoa,138.65,0.01%
0xae00f7474dcc5a0e9f4d7a65dfb938c275f75db6,-,Eoa,135.56,0.01%
0x5ea39eabd9c81b3006eeee17b3420c92ea5cbfa0,-,Eoa,135.11,0.01%
0x154e5a9055bbb781a89e7d2fb99759a0cdc5f269,-,Eoa,134.84,0.01%
0x2878c587eba4c4251f97784ce124f7387305ab32,Chainlayer,Eoa,134.77,0.01%
